subject_id,session_id,age,sex,site,breed,weight (kg),global_total_gmarea,global_total_wmarea,AUDITORY_gmarea,AUDITORY_wmarea,COGNITIVE_gmarea,COGNITIVE_wmarea,EMOTION_gmarea,EMOTION_wmarea,GUSTATORY_gmarea,GUSTATORY_wmarea,MOTOR_gmarea,MOTOR_wmarea,OLFACTORY_gmarea,OLFACTORY_wmarea,SOMATOSENSORY_gmarea,SOMATOSENSORY_wmarea,VISION_V1_gmarea,VISION_V1_wmarea,VISION_gmarea,VISION_wmarea
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,12775.33203125,9761.4423828125,757.798016089946,516.8764151334763,2388.63173379004,1826.4919966049492,623.7638839483261,413.31942113116384,95.8351000212133,102.488415107131,1558.6715437620878,1023.8031280040741,97.4168546712026,73.15885905921459,1374.7683421839029,1001.8839150071144,1422.165185302496,1176.1500074714422,4456.281412774697,3627.270457431674
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,12780.97265625,9800.6162109375,789.5374378990382,532.1025298982859,2367.658873256296,1834.604110993445,625.0572966337204,408.117053986527,86.41255293227732,97.82845003902912,1556.3693851586431,1017.3854493349791,101.20677364990115,92.78349431976676,1384.5570175647736,1018.8747543394566,1464.3394511044025,1207.7346820682287,4405.833979738876,3591.185190588236
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,12722.005859375,9768.603515625,763.9334080480039,523.959770783782,2339.318246860057,1816.4973754063249,630.2121837772429,408.78943260759115,91.10356460884213,100.10435625910759,1563.2113318480551,1021.0858769565821,96.03157615475357,83.77823077142239,1388.2324904641137,1017.5206698924303,1448.6624881997705,1193.2974466830492,4401.300443383865,3603.57017313689
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,12694.779296875,9757.3984375,775.1129396855831,527.3437238037586,2335.493564788252,1822.1138267852366,600.3858004547656,403.2660480812192,93.34862859919667,101.3970193117857,1551.128682417795,1028.2095747590065,87.21878114249557,67.79737450182438,1361.8249613884836,1004.0182721987367,1431.3091301620007,1175.6181873008609,4458.955581627786,3627.634739354253
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,12745.119140625,9798.203125,781.5798740210012,535.3386611938477,2361.6506533082575,1823.9389081448317,614.404083667323,408.99465373903513,88.92376682907343,96.82351322472095,1550.3531945757568,1026.1467183083296,76.51701746718027,81.46939960308373,1382.4127045236528,1021.4128002673388,1461.5391700193286,1195.2695176899433,4427.738579729572,3608.8090122044086
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,12800.34765625,9814.962890625,768.0873334538192,525.4681925773621,2399.1105510694906,1847.1671108081937,600.296587754041,408.0246644169092,88.74157013185322,99.17231991887093,1548.767583148554,1028.179763033986,93.53487328253686,74.9922295100987,1380.4521216806024,1005.9139893054962,1455.4474102258682,1205.7419232577085,4465.910539654084,3620.302115097642
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,12751.6640625,9806.716796875,765.8553180992603,524.6913037598133,2371.0972705502063,1823.266127601266,588.5033803209662,402.0270689576864,99.83561923727393,104.91470843553543,1559.3043513223529,1040.8013789951801,103.85613993182778,82.51880526542664,1373.1572806229815,1009.4612830430269,1420.8106374433264,1190.252845466137,4469.243405151181,3628.784644253552
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,12827.06640625,9848.6953125,780.0446292236447,534.2580327838659,2365.7949753487483,1842.770692685619,611.0581401400268,416.57395124435425,88.70291063562036,98.4245034456253,1564.6871256772429,1022.1660583913326,84.45831737201661,79.2473788484931,1392.5209123380482,1008.3213337510824,1464.4562673009932,1209.9494059085846,4475.343020978384,3636.984618537128
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,11707.638671875,8733.37890625,708.0991568937898,467.627555385232,2193.052938580513,1638.6573674948886,574.8113260753453,382.41090090572834,72.19662239775062,86.6613756865263,1357.4456147346646,874.8440200090408,57.936460598837584,69.56890284270048,1264.1363076716661,884.9955912604928,1315.4061062633991,1086.2192914783955,4164.553932225332,3242.3939786553383
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,11608.5107421875,8658.1796875,698.889185979031,464.43112279474735,2175.954835291952,1599.0117050595582,539.075998743996,368.5454006716609,81.66643378138542,92.25736916065216,1377.4982997253537,894.681279823184,60.74754010036122,65.83029038831592,1265.2774685900658,888.5879847705364,1302.4011045098305,1071.0436773896217,4106.999547376297,3213.790673505515
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,11627.3134765625,8702.3466796875,689.5116445552558,460.02316215634346,2224.296426902525,1643.857673021499,504.54353261739016,362.34984258562326,87.80263260379434,95.92643190920353,1416.7484046127647,895.08659337461,68.67436870979145,78.25181698799133,1258.065716598183,892.4394989311695,1270.5231498405337,1056.065894111991,4107.147435355466,3218.345803207718
