subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_thickness,global_total_vertices,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.5096807479858398,32492,1.6970050671081027,1.2707428751229828,1.3054229184549784,1.5975901524691987,2.1070979746782705,0.9153476155088814,1.5738582270733281,1.4644953276598784,1.4647315485045356
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.5338387489318848,32492,1.7198856321508895,1.3247261304362186,1.3043235191806772,1.643980217993784,2.1533767559181864,0.9737915894713263,1.583542713268002,1.467791407659007,1.5134334598793342
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.5293736457824707,32492,1.7016195318368679,1.311673868708014,1.2674076907849334,1.6084379447170716,2.133855434700148,1.0406409875151332,1.5971665475222478,1.4733591390170369,1.4918813033184213
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.5408201217651367,32492,1.7080152602822567,1.3127253799477439,1.299015474694445,1.6511339936787781,2.1273570144576888,1.0032686886800062,1.6194927222247864,1.4876151020721047,1.515174457136232
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.4625217914581299,32492,1.5558962428094076,1.3107396639471105,1.2826722374117454,1.5361200092125498,2.036639029059174,1.070692308701634,1.522963490002762,1.3990448491560241,1.3727351824798353
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.5268491506576538,32492,1.6914828100674588,1.2873569709022963,1.2805962706727312,1.6453505738739393,2.1096704219677616,1.0200590919752652,1.585559861114939,1.4818605369364557,1.5195797543044076
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.55072021484375,32492,1.7177200009215605,1.3257811218255946,1.3356398147136732,1.6725507715929988,2.1233013346419605,1.010376017511049,1.6223358616878012,1.4963671881535607,1.5370497275090491
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.4587669372558594,32492,1.571750884604566,1.3038950063632795,1.2943410203352388,1.5450454962568199,2.002361220103544,1.0206353319734731,1.5221155885658144,1.40278202614284,1.3605637799062498
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.537871241569519,32492,1.7814618205310593,1.237027148955596,1.238645027694446,1.5766502812810657,2.152600563083886,1.0122702482208332,1.6568499768296416,1.517241386990503,1.4208631123119917
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.4695680141448975,32492,1.6784664827962996,1.2739337949348153,1.2682990604532316,1.42171976171281,2.054046664279206,0.8145162938286202,1.5349821562877803,1.435210467264823,1.3183839442181724
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.4628214836120605,32492,1.6837713782426338,1.250145431949831,1.253494321351957,1.4987162886476937,2.0457859680547164,0.9202491758040471,1.5305787444334977,1.4253434412492836,1.3265203343634961
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.454758644104004,32492,1.6641826856304223,1.2312776177954703,1.2251292887889025,1.4991306248298488,2.0141032660843963,0.762677328814246,1.558919636145187,1.4323695267640306,1.2886424318788556
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.4890358448028564,32492,1.6754225129742577,1.2635216549851505,1.2215109829853212,1.5734805447265199,2.066803165634962,0.7643624588412379,1.5736847598550185,1.467205511225095,1.359257471937163
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.5522857904434204,32492,1.7969903780820784,1.2679804088785236,1.2899452438902788,1.582268284912333,2.143705988092838,0.9861591777094796,1.6626832702343668,1.5261027342675744,1.4537988831756108
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.459803581237793,32492,1.656798462177946,1.244176422420805,1.2259071470430503,1.4896614368010825,2.030809458304292,0.7396181042377765,1.5490107146242227,1.430345333312553,1.3293304489898818
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,1.5655101537704468,32492,1.8149594573627614,1.287597507682004,1.308406209476594,1.5700293777625232,2.180555484740489,1.0715654345342904,1.673584685358981,1.5257763464755063,1.475433411946611
