subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_sulc,global_total_vertices,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.3516508936882019,32492,0.5568658148010694,-0.19577826722173186,0.9716207824619337,-4.241197638552297,0.0391334699145337,1.8077501235258042,-0.1735757568995188,-0.6730010963536911,-0.8950561182139799
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.2885730564594269,32492,0.45443105489095376,-0.08920200098618303,1.1341962070028981,-4.597637012404256,0.07638988109419477,1.234432730744704,-0.19246531520068347,-0.5531618642726858,-0.8076964857218184
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.3309255838394165,32492,0.6635053877004404,-0.09466064190528493,1.1432638497765086,-4.424208804982772,0.07740259555666787,1.5163119499539506,-0.27629262583563596,-0.6769713116905614,-0.8267639177243618
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.3196868300437927,32492,0.5282773690713851,-0.019942745976778746,1.0402431890287707,-4.568655391204611,0.14055152094821063,1.7863024091817419,-0.3612366901109683,-0.6412826984407012,-0.8477948083379506
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.27443796396255493,32492,0.35324093094225395,-0.028269845509347292,0.9378493308554018,-4.311730526513324,0.1903440393888434,1.766075074663435,-0.10070789665381553,-0.5917399334954593,-0.837957675630136
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.31865599751472473,32492,0.4977177676270353,-0.1273003040581605,1.1517414508807025,-4.461992614954448,0.2193566980081978,1.4258177725188137,-0.2115105056938904,-0.6246539419132547,-0.9689266537616354
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.3581896424293518,32492,0.5182485401539128,-0.05067454802655993,1.0383617942180645,-4.294265265086983,0.05019223257023711,1.889207428431173,-0.3439156465950779,-0.6730682704531189,-1.037241354590031
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.3475880026817322,32492,0.4289090328873354,-0.09559384366242692,1.0994799767430383,-4.641758019252082,0.028322011855645226,1.541492619816046,-0.3111501488902969,-0.641920609412317,-0.8616962214817765
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.3807249069213867,32492,0.3316071293704286,-0.07353910164918089,1.0334524468691715,-4.834731400706683,0.2031525894977824,0.6491625461238251,-0.4575222832007666,-0.5429981933252085,-1.4206077822685552
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.37625831365585327,32492,0.19523154602259257,-0.09830472350416627,1.113661658796539,-5.188615324418128,0.35008966106776485,0.11086293750884757,-0.652040431576898,-0.5097492144951565,-1.1842798678777988
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.4285741150379181,32492,0.3897974887446603,-0.09506330939310956,1.0669324680716046,-4.5349327594893944,0.20257500857032718,0.9155784891943005,-0.7048794122917063,-0.6311253591955739,-1.3181047941383608
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.40538105368614197,32492,0.32536629233629544,-0.11268451463946044,0.9173123843627337,-4.927731844380804,0.23697125955154494,0.1650884055411468,-0.5246687029875801,-0.563710728657607,-1.3441331839189725
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.3524831533432007,32492,0.4469566409817149,-0.054760234289512974,1.0444076692081574,-4.563231110430795,0.22701143858324363,0.8483958036295417,-0.5366465938892503,-0.5330006506507398,-1.248977293965392
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.4011121988296509,32492,0.2286005873258221,-0.014600724948876051,0.8148170921005288,-5.162538834866628,0.32446414549978425,0.8841350106151888,-0.5490022501675904,-0.5914874107681207,-1.4107180590688633
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.43574294447898865,32492,0.40798002900173147,-0.1433816126447957,0.941782649480944,-4.849411859884421,0.3633923517737697,-0.40979751494690897,-0.6107176024881766,-0.6094400087025058,-1.4345283303622465
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,-0.4492003321647644,32492,0.33130749400503967,-0.08635317775742533,0.7144747983106227,-4.8581860409257525,0.12437926720713842,0.8480032037410006,-0.6107014967081613,-0.5564073396486261,-1.6832605061401649
