subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_curvature,global_total_vertices,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.016910133883357048,32492,0.027601182492143266,0.012119813812296144,0.03173638996517292,-0.029720167308798538,0.023576185717160608,0.0380688933942798,0.022909399991841627,0.013332540867608373,0.01616115152246806
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.017771324142813683,32492,0.029333150483153547,0.014264514892651183,0.0280201789249537,-0.03403832951959706,0.02477299492731438,0.019100106974374455,0.020659182529991868,0.015464306995972555,0.017737456630714646
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.017175180837512016,32492,0.029270356089258747,0.01276973958429166,0.028651002043146676,-0.031784654714936446,0.024854427316031484,0.033550057204166026,0.02041732237340255,0.014115851694546393,0.01756944380132541
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.017501873895525932,32492,0.030684251621949255,0.013920996711778348,0.028308808493442087,-0.029928736860319,0.024918023689960996,0.04089880040482388,0.019296749966737328,0.014137493653307943,0.01821043922445974
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.017816508188843727,32492,0.025187845537697234,0.014649472880498528,0.02757271390131942,-0.03301998285120599,0.023721082267437743,0.03406292905478117,0.02175675261034788,0.014910634912121055,0.019901451767225516
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.016949638724327087,32492,0.02784419706044623,0.012459868785027887,0.030240368274357946,-0.03342168350380373,0.023166985124110907,0.0199395171212235,0.021009735865445384,0.014266770592488449,0.01847488959309296
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.01708679459989071,32492,0.0288932505538187,0.013820994928944601,0.027763667477061205,-0.026633228610192572,0.023203514028818473,0.035075777998028586,0.019166874795534857,0.014226946626763442,0.017314000135355175
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.017414968460798264,32492,0.028381207926669847,0.012776114279454626,0.028652945005527862,-0.03178270898054899,0.023992744960361575,0.03330051624561989,0.020584464043304683,0.01519117909427634,0.017048757061751855
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.01958862692117691,32492,0.02761094289809067,0.0176802088470813,0.03181343050882625,-0.041401187789932306,0.027614384466162253,0.010608637234071313,0.0228209339886874,0.017667335508455288,0.017203018683577195
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.019626233726739883,32492,0.027491760206644122,0.017630826722857106,0.033479798533085824,-0.03903185471576055,0.026691948730105268,0.016390112176814194,0.02076445898203767,0.018370915843483413,0.017009938529713314
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.01943318173289299,32492,0.02850181912426407,0.018727450617130853,0.03121256779476212,-0.03909161669827583,0.027917122455542568,0.02237830128253929,0.02067692227004822,0.017386886017371053,0.015011224095162319
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.01933768205344677,32492,0.02811047991614852,0.016791502801937648,0.030990070334013166,-0.042156053957757414,0.028107912668956424,0.03242576132443257,0.021583603053091146,0.017540489791616185,0.01508238197255816
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.0193485040217638,32492,0.029566196208179463,0.017363185901673867,0.03251755342649385,-0.0383843425857627,0.027321560208924935,0.005835816311089208,0.021711004008496033,0.017358935073075083,0.017142665758708264
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.019173799082636833,32492,0.026680354283897614,0.017320154452813843,0.029883599254119115,-0.03870924274343929,0.02753098230943178,-0.006634082565509,0.022776964631184733,0.018304749959310834,0.014348310331905118
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.0192086324095726,32492,0.028223710578040396,0.01579322665758759,0.03319290605276357,-0.04119904499666224,0.028015180556779352,0.016494460446687183,0.022075283299439624,0.01815175308922456,0.013755089478357158
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08121999261356641,2639,0.019981738179922104,32492,0.028305282304843127,0.02010347445287948,0.028470155673878818,-0.041922058716731804,0.02706369119765425,0.030768779884598932,0.02379417420983192,0.018724242667038114,0.009826240129992964
