subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_sulc,global_total_vertices,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,-0.3641146719455719,32492,-1.2510655426234008,-0.17192765086758555,-1.015720039114356,0.04529632056752841,-7.044029025762689,-2.9377344782863344,-3.6798204922366864,-0.5778022655650326,-0.018272817824725753,0.6703582415357232,1.0284727855523428,0.1925104789081074,-4.419015047179822,-5.39798458274089,1.2271550325954215,0.7692140108690813,7.233796229167861,9.819872223097702,5.271539293344558,-4.155814730096608,-5.8754171548145155,-2.828980193948015,-0.8043373916298151,-1.2748042867509741,-7.238813918990058,-3.581022145780357,-1.510476785096378,-3.2553432147949932,-4.463820588497716,1.0901090012450747,9.375566590916026,8.531319007481613,6.9160176778948586,8.40695321219308,0.7892304083013403,0.5760254729713778,-2.0938982908482564,-3.3581035242053527,5.15903640795598,3.2334080750991174,0.4065161987744353,3.1003530476815424,0.20458200827447903,-5.094495239545299,-1.0029046260393584,-2.84050741209728,-0.23260192411523578,1.044839615137964,2.888953064596997,4.723963807723144,3.8745232976753923,0.5835453504087212,3.8951869366016796,3.6960567057698586,4.676481392547374,5.859526991670908,2.4312742579214532,-0.20875770694993692,2.73855289613238,-2.0197951436806947,-0.05622596155429624,3.2355075091331242,3.178345896098592,-1.2037583035367363,4.255888567405442,-0.3494823827441594,0.09624868848586927,2.285882122411327,3.480883534325928,3.1700839415813484,-0.5799228955106235,1.5075033316536555,-1.5871014151345477,-3.4157295689104665,-3.534745027673123,0.6469138453585642,1.3019367479116948,-1.8569463990806114,3.707775122806674,0.3872747827517359,2.223808065173216,1.8112640540207052,1.702298665183714,1.1159982363381211,-3.116991828173158,3.010666780798129,1.3023499197945856,-4.037838551619718,-6.562937739065715,-0.5453691622764312,-3.877063793713698,0.5371112279020823,3.9671412443632588,6.71617021560669,6.9186976791798385,1.8522246265608184,-7.640027820550162,-5.395439253428153,-2.2087960684601264,2.28984723744195,-4.73178834867231,-3.4943048379409953,3.883927838599428,-4.175990319371093,3.5215161197325764,3.5639605551231197,5.951686049952651,6.610992091206404,6.984916937978644,7.374748579093388,0.1545731890302627,0.3729267133611072,-5.740286197213341,-2.989568680480381,-4.865360252916099,0.9652793774801183,0.8950362852609801,3.2604215434018395,0.05271362009665204,-0.9588495118983866,1.1072467604785092,-1.0126370280672734,-0.9624010354400345,2.061014730655989
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,-0.3425931930541992,32492,-1.29619812635084,-0.1507079318950051,-1.0637713699936866,0.09165291159103314,-6.71321263850904,-1.9150682275031445,-4.065295701249947,0.07051699462792148,-0.09718161883108593,0.47080417438658206,-0.0650284719467163,0.6539812111462068,-3.8595109437520687,-5.272656288240448,2.38192349593056,0.6562221756783025,7.392916144156943,10.397921274448263,4.024749185901457,-4.423773542279378,-6.124539699405432,-3.007726249786524,-1.1252251449305648,-1.0013030896350594,-7.5103993423887205,-3.645645588233664,-1.659631330494399,-3.6153059635142033,-5.32208961384897,1.1112411189449314,9.796890699502194,8.87731189597143,6.45491598026697,8.332938085283551,0.7349383505215632,0.8131948975101113,-2.0677424277767447,-3.232574331532852,4.954212162445868,3.2521280805386406,0.06410353304514581,3.259903516393125,0.425756334937695,-5.180367208591597,0.236560385960799,-3.140088159934246,0.13114753559726108,1.0421665427552549,3.2393685463529365,4.848984210865527,4.669357700536357,1.5751253411469754,3.526291844692636,3.8075795779594137,4.948611303140189,5.413295921385866,2.7542267264477136,-0.19912723663006107,2.547216107108578,-2.9235203108726404,0.02949663638569338,3.2419559845851884,1.9948525496955039,-1.1039244870189577,4.173348592507343,-0.39627324857753415,0.07253143378046191,2.3465720431835164,3.5412969926341633,3.0828086027786847,-0.24837020757021727,1.8560430885307373,-1.432232712280382,-3.596780677257648,-3.369321335229792,0.6490246188120039,0.8646102461388059,-1.8627743077287007,3.8960673178194978,0.4675229343928789,0.9785122563625919,2.0721043957063574,2.1567683968179185,1.2475144792525414,-3.0251427110877,2.6722965082413825,1.0038784980196116,-4.14689228550664,-6.6264604735587325,-0.9925011271022941,-4.1022232702996835,0.6760742273929227,3.7805282087887035,6.827300446828207,6.753865670883792,1.9090706906369272,-7.613338059495235,-4.98275760281831,-2.6618743396564564,2.6505287919650997,-4.57683542378322,-3.330442608374939,4.142564390568023,-3.9575879303328803,2.5765914268353405,3.3370307335039464,6.320664593667695,6.729600724501488,6.607911687148245,8.12936570206467,0.48886181736870254,0.2904728987795074,-5.283543136091367,-3.403402892351474,-5.237506484244755,0.9255394782962525,0.8840096881838595,3.065608649735607,0.2505690385318465,-0.3892971812453389,0.7866577453718617,-0.47858709774282077,-0.651365427813253,2.169471617690935
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,-0.3850048780441284,32492,-1.2087178155158957,-0.13327883366952864,-0.8986082063913345,0.2297606901382096,-6.800359358828442,-2.5204004825910133,-3.7432374274419025,-0.5191073649616041,-0.2114436272393774,0.7844282257378917,1.3311633515606325,0.5302199236272523,-4.555494377590143,-5.309764300829254,1.1828598992146075,0.5241545104774935,7.289083393252626,9.758485317230225,5.2971843035868655,-3.8726251392508857,-6.0682190106072955,-3.23804048807002,-0.5479984084377065,-1.316816054487435,-7.377967280310553,-3.4967263990694337,-1.3002644021300063,-3.408507842045616,-4.813462363399622,0.8012308157330391,9.24111980380434,8.45787032009804,6.660342331542525,8.095240143367223,0.8589512620491712,0.5342065937258303,-1.857228797774739,-3.3018217665863596,5.006952079709421,3.2452606207901433,0.38268923503498586,3.1377306134299197,0.3630491715821403,-5.091594590325698,0.38325436126727325,-2.4549359502620463,0.1906566156418685,1.4555735731904476,2.350003033152853,4.568465088687201,3.706890937905101,0.8913220299460064,3.7801363290624415,3.5443211844827553,4.759300524951848,6.907034689141798,2.6382563715993332,-0.13029796435449528,2.806363435820763,-2.389461483959204,0.3114243301841402,3.233035347802011,3.295487783917593,-1.599130542413827,4.145808350116842,-0.5314496577643033,0.10419023344521626,2.6960852477721517,4.0116632189907016,3.4872315533104397,-0.34174405102744515,1.7512264251708984,-1.5259053780058964,-3.682017658192287,-3.870150474468258,1.070612124052959,1.5138266147804749,-2.825286721012422,3.8428621313183524,0.7045247569680214,2.046964453533292,2.495220629896732,2.0106807664550583,0.8143908427128653,-3.7079330451831702,3.089472111845233,0.44416785419611404,-4.5209625600552075,-6.571454899119479,-0.5945930708100838,-4.016294727827531,0.428304979272411,3.8961804184843514,6.336105887095133,6.954275990354604,1.7835146202266496,-7.736141896093714,-5.780816046447892,-2.734559337588868,2.2629173927401243,-4.865466192524617,-3.4354006064781153,3.8168963092438717,-4.128195810576906,5.489346791716183,3.101174040538509,6.077009316646691,6.555705733024157,6.725513684122186,7.434436202049255,0.42594225186993306,0.33896068877882973,-5.130848742546761,-3.4910820751913585,-3.178012453075387,0.851585103731615,0.40019798969756293,2.9141042762499114,0.42212924886287917,-1.0655366679292484,0.9947851208300132,-0.7812197072041546,-0.9191578517087026,2.1434675216588457
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,-0.3148227632045746,32492,-1.3519832625240087,-0.13973512644307656,-0.9737732512652874,-0.08755745543166996,-6.747221149650275,-2.5458141158201864,-3.678795575365132,-0.27371722135854804,-0.2345492742196829,0.5646293361770464,1.0297889096538226,0.07914238990772338,-4.323573988969796,-5.233163188752388,1.1849413199310608,0.8569865094730013,7.768907388862298,9.341113209724426,5.499590580110197,-4.275244653264963,-5.55961083101907,-2.5482110464229035,0.08213027913800695,-0.7209436395528293,-7.132934290009576,-4.2661050998412815,-1.4407259746110195,-3.559918375651945,-4.618637927615915,1.2345967857704667,9.701814160202488,8.664947539159696,7.053760611733725,8.247992433820452,0.6070497721042587,0.5872796218143777,-1.4131290752874928,-3.0400727056838535,5.354377381511823,3.1034666756249942,0.6422682849447364,3.4248021849201353,0.4648967164672083,-4.848161611894165,0.3963894448601283,-2.618658046711732,-0.23550358386401316,1.6584135990139615,2.0644592448782464,4.19838845375471,3.853546529668657,0.9620811157973013,3.637215730991769,3.5181086965559545,4.647627906944916,5.743443842544112,2.4167060811385705,-0.15335992334314205,2.6858548396122384,-2.3558291197444,0.18639518538029076,3.272297310869436,3.3083463856659896,-1.133991523943049,4.2320711577973436,-0.36715824938348623,0.4041034383699298,2.46146562889101,3.911511703592832,3.3631354790358317,-0.6391287040839224,1.8036278689664507,-1.5785257180922487,-3.2495650811191603,-3.320194916672666,1.0343505371619786,1.0738322758101138,-2.3745237906419097,3.548201794965101,0.8030274777035964,3.0139697116610478,2.3094096195404927,1.3137598566352335,0.9417979215478144,-3.7948137170163228,2.82845976178706,0.9944713875963426,-4.362729650580001,-6.373378479853272,-0.23425449063908035,-3.8902530715011627,0.7083655049818814,3.842600159697673,6.927858721415202,7.222924564076566,2.115816892810025,-7.731242567711863,-5.459730131551623,-2.5397743106532826,2.325062906598313,-4.77507666990738,-3.075483640173517,4.256982803344727,-4.329276808360018,3.9498234421891323,3.292395449266201,6.253346717718876,6.797146114019247,6.5475413673802425,7.522640523861866,-0.06824682535544196,0.23323087941509546,-5.685710458469833,-3.6623343822107914,-4.316238217178487,0.8783683269885808,0.8550500300655651,3.1005565189496,0.6773047149284847,-0.986705236216233,1.0491556658460002,-0.8507172215535662,-0.853552445537632,2.1940799692394335
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,-0.3608870506286621,32492,-1.1188356491923332,-0.17142685960259355,-1.015835489589721,0.008161660299325984,-6.70168920832814,-2.310412359309896,-3.4350858710316663,-0.37552136643182327,-0.11496057815297886,0.6515747197523448,1.1118931352098782,0.553598894294174,-4.114523531783085,-5.225984018662953,1.4217329631301951,0.4254891152841975,7.748610934432672,9.541201636709015,4.654135964580892,-3.660446500754915,-6.0640806674602485,-3.144541438561506,-0.581654977386775,-1.2695185586367503,-7.275154677597252,-3.866318666585931,-1.5344632126084745,-3.532366160764782,-4.865102062698539,1.2427313134274227,9.732247663266731,8.546690806950608,6.859696457552356,8.291938229969569,0.6887326630408674,0.5214443969167769,-1.8815854878101979,-3.342208540938758,4.9964963916268825,3.3186940723412897,-0.03432688356336692,3.4098847893150697,0.8394645457776885,-4.939091946666289,-0.027000401742183246,-2.8938463741830796,-0.0863826879569422,1.811161035980215,2.4764032965096145,4.555283446182928,4.140664784785579,0.9216215144668785,3.5425475049526134,3.5145419815767416,4.728671157633075,5.923099828494149,2.837699959889568,0.14731027669441918,2.6604334820200752,-2.570387745118485,0.3954918772251028,3.0028889819576934,2.731070783775334,-1.4526587483334414,4.08314603313545,-0.23680885039060048,0.12705025720417662,2.1900977766302625,3.362175697674517,3.101854096802454,-0.41502206965729044,1.5286305843601151,-1.8601077815904963,-3.6089218957043148,-3.4725628374395976,0.7456865601450159,0.972504469257565,-1.6998458421301275,4.1451979853579255,0.3781959891319275,1.4429939165711403,1.8120618405068196,2.2263409156223823,1.5041754037586295,-3.1102078107368913,2.7243477126385747,1.334260979833091,-4.014876903243819,-6.340407836011478,-0.5933804832437353,-3.893185594422092,0.38843652330195677,3.8942982203381904,6.714967835744222,7.085623495880214,1.9381269723317534,-7.635108122871867,-5.175348714020635,-3.1578765683237635,2.3643595774968467,-4.777850632330008,-3.194662965867535,4.04247267195519,-3.780548798876249,3.9232075595132567,2.9911625203562946,5.431591604695176,7.188468676346999,5.878289147427208,7.965444005265528,-0.06195317756290488,0.3965402090941201,-5.625037264388747,-3.3783019190722845,-4.734334483341185,0.793354519593542,0.8776471594268772,3.1351993885798914,-0.08036568773910403,-0.6673263726583661,0.9892186305939857,-0.8558322907955536,-1.1375767674924124,1.9022339391834349
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,-0.3657654821872711,32492,-1.1596503699322542,-0.12972637056781536,-0.8041928197741508,0.26606262748440107,-6.718231801016658,-2.1559094519791553,-3.491212992740223,-0.49473376659595447,-0.00894548069961645,0.6602705124126383,1.3336710008978843,0.6080450806267825,-4.463000119534823,-5.416719560561839,1.3431760608832888,0.5681221698378695,7.304508155705977,9.963992147610105,4.602402061040019,-3.120688349707052,-5.6478058424822635,-2.955381326735593,-0.2570254353129051,-1.2416745163131468,-7.292187275918755,-3.788274288714469,-1.673539122914232,-3.5041223966431887,-4.513971400624923,1.1652736933089343,9.732818148352884,8.754882182160468,6.937633471433506,8.226230028697422,0.027650340856438842,0.5119339018408209,-1.6855499026782674,-2.9830798494624973,5.169011756637653,3.2132280544539,0.4344137831712547,3.174745753526055,0.16362014239722933,-4.875335773286137,-0.12794816895173147,-2.890738616366918,-0.35054048704716123,1.6139648007290648,2.933553003698874,4.496007399042932,4.133832220294896,1.2741293056267444,3.4871726644800063,3.9608430570062203,4.809285021920241,5.813391921016597,2.7476539905664734,0.11982809774706076,2.681459990532502,-1.864559729745946,0.6066852523033152,3.5333052807160326,2.9893572285681653,-1.2870356064894177,4.207301073186099,-0.30185542690475853,0.0909490312223782,2.35674790055381,3.728083368207588,3.228005560499335,-0.33291254914653157,1.7882934047116175,-1.6314846817508675,-3.467499366711495,-3.8671059594103117,0.7715911828155281,1.267548669294134,-2.734895271027372,3.9328357513810768,0.8276174876250719,1.9930960038909689,2.6910727593853982,1.173879133965606,1.0556843911472242,-3.2310793532128885,2.809707657439249,0.9511570987433039,-4.120597551011348,-6.420993232886706,-0.7530354361563569,-4.134770877004777,0.2555908983866108,3.861450446703855,6.795486399332682,6.984997745217948,1.9517527222633362,-7.656912610808323,-5.5290628726993285,-2.7572785081098226,2.2286708175384424,-4.68554517989257,-3.5837345381241397,3.8404805989975626,-4.096748136921753,3.969536106376087,3.5980880500339882,6.56310112548597,6.9570453610175695,6.925408890372829,8.280715141977582,0.16022280583831858,0.4087199085452866,-5.538737635617762,-3.2099553272612957,-4.617415306275476,0.850424926125073,0.4928526811707536,2.938778633339591,0.23483005106035207,-1.1029321425478145,0.9612329234460855,-0.9781231554066699,-1.0689006857942827,2.055627072600043
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,-0.38824039697647095,32492,-1.3753973555595924,-0.15408646223837869,-1.1856177034378053,-0.18693085455646116,-6.744096284257431,-2.8152368902608904,-3.662595276964305,-0.3017330540060673,-0.2634657537081727,0.4451468191467799,0.03594307079911232,0.31534282776105793,-4.330617906325139,-5.298259371625526,1.2322337428940104,0.6238460381285581,7.737227211193162,9.422124459825714,4.92256048248138,-3.7627684166654944,-5.850340386786099,-2.763548452622042,-0.07399079920089041,-1.4294567232269166,-7.2852166689730975,-3.7797818422854483,-1.658891588427152,-3.452021908971735,-4.578479536162078,1.0066579009918808,9.75327889847033,8.72241282136473,7.255237959152044,8.633673449925015,0.9493846428163802,0.6349835872557015,-1.8872484897429043,-3.330465840056465,5.208324910809113,3.0835350094215612,0.43567875424480956,3.217575244694474,0.3020707736964579,-4.824497053343238,-0.8669572532750093,-2.6902655771958925,-0.1912394089500698,0.6887427137190143,2.720213887811853,4.40589283012626,3.1322104912908637,0.5775645399622829,4.055441336428865,3.6040016657943967,4.8015316479078685,6.137765229672425,2.4778677498207204,-0.21198646824582126,2.757776657200378,-2.1277448191474644,0.06966794780023473,3.2567625926253765,3.0095872652093205,-1.3815331868084266,4.199268452587227,-0.12952491167075758,0.23701529641831115,2.1646042587015573,3.3181454940225747,2.9659085585366167,-0.6355013319141702,1.4574319751016678,-1.898322406946943,-3.3493364664761325,-3.37889933675265,0.801435169446663,0.9415605461653851,-2.483228874348459,3.7515467225772436,0.6894294773277484,2.351128892187262,2.3240682750595787,1.2507368977470645,1.2943481694330166,-3.5820687973515364,2.740779926823504,1.3988923095166683,-3.9877300551113652,-6.272909849589425,-0.4260787580788663,-3.796360820513144,0.34150168396233516,3.646533291502034,6.94301087697347,7.149914940198262,2.663488445091852,-7.480103542373098,-5.5495662727127115,-2.7242442487664364,2.338245939398021,-5.081061576891327,-3.7099917391574833,3.8354417390011726,-4.425901964551953,4.921865423812585,3.4361913146042244,6.523844328793612,6.799704242211122,7.004212304165489,7.161293810119434,-0.09798454642394915,0.2753226214770189,-6.112534817423985,-3.099166758326155,-4.651710050236322,0.8657680129801033,0.9894263006927136,2.9867102901956413,0.31114657496360854,-1.0447759645951367,0.6725639094841744,-0.8700667680663536,-0.8995686309172375,1.7126832910572851
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,-0.3241756856441498,32492,-1.4517605448762576,-0.15656356925242826,-0.9095895384326578,-0.09859800357371569,-6.828649360175226,-2.3912972260304555,-3.652607714745149,-0.4921385350110738,-0.37788151526754654,0.6162708280194749,1.0371777682503065,0.5695984383291077,-4.350832815119065,-5.344386756877213,1.2723992934034385,0.6216550551117731,7.403221101176982,9.671676171237024,4.844684537500143,-3.858051322051324,-5.880238310655668,-2.77333161002025,-0.23578968637792225,-1.0015356891631786,-7.162176840208672,-4.087361405326708,-1.296462191090192,-2.888007812769237,-4.198257292954977,1.2855881499814108,9.194961612874812,8.84824286748285,6.801679835763088,8.425973013469152,0.6397114139029664,0.6816395674832165,-1.6851783537425877,-2.972901052515495,5.3251302215245975,3.4447545541608786,0.4300426515467141,3.057396356159678,0.4569268032028857,-4.941468619412244,0.13368417494572127,-2.741306837247653,-0.02378079535271884,1.3122122078048473,2.517405814347932,4.405887782982573,3.394631568934111,0.7773601159314129,3.438881215897012,3.7219459010358853,4.670111217571579,6.302302436542141,2.5835966663956964,-0.07744313207864441,2.8413022275759565,-1.9939516411377833,0.4703181360886653,3.1818579477163635,3.3131079164530157,-1.3994057452543935,3.9842171661886905,-0.211351965375883,0.2974143374345852,2.4170037944192493,3.8215730378373722,3.263359622586341,-0.3271970636912702,1.6175652297716292,-1.643983952884217,-3.326597420505802,-3.5801362497001956,0.7914711123862497,1.180646354743876,-2.260765352508142,3.6606319378069068,1.0273776824537078,2.5708356893155724,2.217148799255404,1.6531372280207988,1.3311245061234909,-3.3382694106724746,2.771363187097429,1.0719149743270187,-4.3884957175492785,-6.459044057875872,-0.32768881924252596,-3.8155398401749663,0.5330828053247569,3.9508753276758775,7.081252123514811,6.969856852772592,2.701584800445246,-7.397583054057483,-5.179329677112401,-3.0821578341697338,2.3496683383719965,-4.768200044628383,-3.3101155349012625,3.8971194079581726,-4.133311162437818,4.599407550166635,3.518638971375256,6.4636851224032315,6.940984132962349,6.856254652926796,7.5831636056608085,0.12692391702241482,0.17384901051681578,-5.402997976818443,-3.7798672177527837,-4.657195458735178,0.9760842021726976,1.0718693819011473,3.0478838548435183,0.35435718754073603,-0.9809116179591234,1.0875010069441327,-1.000556896586402,-0.7682799408857776,2.0525535544417552
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,-0.42043378949165344,32492,-1.2627452882006764,-0.09590836359482062,-0.846762993067503,0.9261179141700268,-5.4415140899957395,-3.001863080552038,-4.375078535011781,0.3055874235401659,0.9395093551354,0.8296822300456332,0.6550491824746132,-0.2640469782719655,-3.896017804971108,-6.628726360778654,1.4991858294669618,0.5330440638295377,7.163147253763615,9.478338763631623,4.210616131623586,-4.039462140906835,-7.244985835183234,-3.7525196503131437,-0.7137353842845187,0.7269666623139736,-7.560205134991053,-4.294965626285957,-1.6825646787582043,-3.45147204069336,-4.84870719909668,0.7239007799754906,8.077398336294925,6.026150063292621,5.389613330364227,6.045454972130912,-1.5539950747969071,-1.4121173934871332,-1.8269914009271224,-4.451641297692736,4.826040737462782,3.3679462735298094,0.43167048436792,3.2915995846001,-0.7015121708029053,-5.284952826007749,-0.2640211100761707,-2.7113651288395157,-0.27006689102446296,1.0142013763157738,2.7065560135130697,4.39653856657082,3.182042024931049,-0.4084009681349603,3.153970829983975,3.2313581074151814,5.996573253442313,7.296471678009329,3.4687950217630714,-0.21127656874134496,1.638700814628453,-1.0460961419038284,0.9942523124675775,2.933919418571718,3.394765273420089,-2.2540485155471464,4.3103151521831755,-0.19882220656178157,-0.12020825583751667,-1.6656683674742152,4.828737653181201,2.800769960478185,-2.5969235012652696,1.3123685512543908,-1.7088129243530918,-3.231647611895128,-3.0879667951812544,0.453563682272926,0.06852015076434292,-0.6797529059861388,3.5228576181670195,0.5771000291171827,-0.635498761665076,2.7123816258925406,2.3106031997621743,1.272435634254097,-3.517909145971755,1.2529152810531954,2.3720808488692287,-3.460932052181083,-7.538474751370294,-0.1520349154404054,-3.283393122192218,3.2645163110310964,3.9488510416820644,6.831740684509278,7.214410532479999,0.8382683813150199,-7.353797953704308,-5.584555938307728,0.14372354687706326,2.9027266105016074,-5.042019705140731,-3.3774047657268573,3.903720295175593,-4.416518297512425,4.520383347483242,1.7107445815714395,4.839123310464801,6.011133073996275,5.517414155759309,6.5198595572491085,-0.22391761549311304,0.45388206873485926,-6.440399595851128,-3.832421835002827,-5.8421791228884,1.1756625450422595,2.141002721675226,3.0818588195636996,-0.6658941587950621,0.5832261924593259,0.9575306400931968,-0.7543764485050491,0.43831055004398645,0.5052843562802238
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,-0.36290040612220764,32492,-0.9887540663282076,-0.05576024348275703,-0.6597578267008066,1.0339099440102777,-5.303107837835948,-2.439872738990781,-4.472799762042568,0.6051190775373708,0.8881488205934013,0.8222485486825807,0.9731672545274098,0.0016875522477286203,-3.638946892407078,-6.543938667388968,1.3250909355627571,0.5879629477574453,8.052504979834264,9.571368332566886,5.4645869614165505,-5.488192313816398,-6.694654344448021,-2.9842569958418608,-0.28072978979484603,1.0168773347124604,-7.826064905604801,-4.782367996082784,-1.9629066323427713,-3.646932416908782,-5.309722820311102,0.43618283520808954,8.232022711724946,7.016300155691905,5.173798942288687,6.297459718159267,-1.1369915913317086,-1.3912315002130344,-1.5278106112878747,-4.253602307895428,5.08845236911016,2.9820785114536186,-0.04675777665055964,3.359101884674765,-0.3014237561573585,-5.6358157000222215,1.1682505481518233,-2.6923834125514525,-0.366471529748485,0.38587991277755096,2.705968512938573,4.579690591063033,3.276131258368054,-0.16558405407051616,3.093443512916565,3.3161362144459465,5.566945543725982,7.675650149352791,3.3346252743845226,-0.5480094159921182,1.5227528175697749,-1.283048354428357,1.0344905790191181,2.446707054966356,2.9133081232462454,-1.9450298135584974,4.216401122510433,-0.04560091688424489,0.07613203200519247,-1.7100606469041484,4.6296140611416,2.9859332650426835,-2.7006887812857276,0.9217667384516626,-1.317258792039886,-3.4209285383548917,-2.795176691140695,0.8128488956266959,-0.20166376786018583,1.7723141552969104,3.6396346676056504,0.39982017371803524,-0.6442301857168786,2.1053277977521536,2.9125518204494454,1.703155485894637,-3.5825534343337915,1.2687943708671872,1.7804167121746308,-2.9867908269338006,-8.068922248908452,0.20652661989594104,-2.924194643647975,3.455270707133821,3.940306892530883,6.852036892573039,7.550239589022494,1.108399958876928,-7.085713279041751,-4.948912359468107,0.3110956703057269,3.1015832476448595,-5.000832914428077,-2.9269130601440057,4.0366740860837576,-4.137366770878653,4.770591455347398,1.6573194868680907,4.995998012297081,6.248163340947567,5.413346102363185,5.749246743336624,-0.46942125092399245,0.2926485307572275,-6.187492756019718,-4.514711567239105,-5.398997264083274,1.1595726236997097,2.0108613971841054,2.7533397010440734,-0.46465302822490534,0.6313367800762475,0.8152385834017264,-0.6344899374108905,0.5245036707803754,0.6647783521877367
