subject_id,session_id,age,sex,site,breed,weight (kg),global_total_cortvol,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,18415.315078330415,39.670711265416394,12.034883591027782,35.10139720889601,60.22836362969067,38.65043208092387,96.27372919687672,76.78628088848401,106.43679475054407,108.69328019322182,111.1413633130847,57.232172780149185,73.93559459478061,76.57621743618733,161.8774924419748,209.39301876445728,274.24612738915346,136.28970230148596,102.13906740520551,82.16484110170981,88.9603309621824,144.66771250618777,139.23532701895186,145.54782040558,188.5118165234351,62.958370750433005,57.442125538880745,74.85603544995075,53.66469532169499,53.79259698611622,32.359896111931825,42.85487772479364,56.27401139942248,61.01027958777536,54.29946478915292,59.1500411178678,79.90943115681782,52.62054704035116,66.24869580825747,380.22232625956303,301.7827518991958,338.983606432112,370.85045890854497,288.4053408072437,102.43176544572482,23.724340617389952,217.75419264466848,217.64944668821957,153.1515202373113,144.01010758073826,207.05755410825915,171.4172419317265,61.602564027362995,51.67874619724293,59.4889914695763,114.10855735496399,180.87421127648767,228.6557329789097,225.35002481675585,253.40659835121446,195.29089582575986,189.0194671331076,183.77831519492398,155.0353976921314,165.60837067718882,239.04001150059753,231.54265646173266,238.57327906673538,81.89566564143249,72.4733833696356,100.00699325555031,73.99815144462445,74.9880848038326,83.55420594919063,317.96633850497193,273.77844101734803,342.5970701337418,193.10934896152062,59.73078485674598,128.82528553229585,99.31799194596759,83.95902019356795,164.84484320617622,106.00628047094123,194.0368762553077,142.59700817738556,167.81010962798953,117.29336590451896,157.22648792831626,36.63258602982981,129.68628718155193,171.78635510520283,148.61382493849555,55.238924091487895,92.88856433107136,172.08418210868797,137.80525595627597,128.946462156978,117.28045345727271,88.65979252534439,39.69973317721502,134.46580955074865,136.25264988746872,54.694241185149025,186.1795611298725,46.15702828731886,13.889249273194388,56.52431230116139,70.89203675404954,34.13690555844522,107.75717121955061,262.8392797086337,438.01121486982305,299.6133277725936,355.2800123236948,65.63115338144048,425.04627630931304,251.47835847627215,322.4413118227237,274.27233317330433,505.6397135537111,307.6192732980798,305.14219750034823,159.8941720617848,182.38931057281775
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,18455.983929253183,39.88909106945854,11.195468678218992,38.67872168335338,52.17155123185081,38.91565216490389,102.7810885006743,72.40917788524825,97.73072528801886,115.53122168516211,122.4448018934224,53.80967524209178,75.87731462761148,68.30087852621777,162.69210415081858,217.45083844150855,282.64257401406377,134.04025942760822,92.28328627471255,68.95774069790477,81.16737467166226,129.35768065848072,145.55460717233353,128.72779122079004,194.14035313827597,63.414730879137316,61.66179195871818,86.10513027637751,61.80167297945263,48.30234731021825,43.80983838129734,45.064636553610114,55.08903941259154,69.53831954896735,54.68001076143296,56.63321958470793,78.27615739961752,47.405300075380374,62.331534211315926,408.4122840718839,303.92097897218906,326.91828744079857,401.0625622451438,311.1862739658681,108.27445452685134,25.712110709251913,219.87969982944082,217.50838277120963,141.2286122829741,130.10169841899534,197.10283504028212,143.2682709839645,54.54093399294121,44.92032347043415,62.481681978723486,98.58430790129081,154.31673363316935,234.48030887311626,228.64193983765344,261.44026071786385,186.54783005837555,196.6679998175369,180.020129403103,139.48814957582678,159.08319379796012,258.3889350724455,249.76751490213536,265.8454406343765,82.22104816287772,75.17382180598842,103.1228814696597,77.46036242472104,69.15319830431389,90.42305024327769,323.7871765489255,285.92706795339694,341.5705592196474,213.66640454794285,54.67300066528506,131.95621566730514,98.02165434732783,73.13967691709868,168.95782850495084,108.43703504262716,185.27570632935527,146.17121315165838,167.87268825489994,119.41617879411503,152.17559640400896,36.98407088141968,121.25247183412883,164.6005022815473,156.00154435671178,55.262534835065786,106.04652319542693,172.55772892997678,155.58967724272745,127.50729008090524,118.90423341441573,87.27314877014949,39.58668100769912,132.42546541739216,131.148388464648,48.76266997444121,183.4763479425712,39.43875223039923,17.39709911990187,49.28538611654426,73.89923272492601,34.6301659340614,97.52962242981451,256.9417220347663,457.6579069051069,301.18139435529855,330.1947169952283,64.53817796152038,438.5381974165631,238.0975018661571,328.19856337967343,280.9567878860698,503.4499276674055,319.0392276245831,314.00846115583704,155.92126327891816,178.44233617877612
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,18528.261579411683,40.968543326910996,11.63670600511367,36.959127709352,61.599781331185476,44.738271941117794,106.61445756597907,78.52582287384756,101.3778058918046,107.88573655303625,112.51869234023299,44.98524254153234,79.73545102590252,70.66700618536198,157.9492654942918,210.03733669430886,256.39069705989107,140.185851762742,112.8708018239037,86.66669694278427,101.4109718849599,136.10846450114497,162.53641003725386,143.47866547525427,209.59383328937224,60.435597155952046,54.13471193922978,66.39179036186106,48.87136467170207,56.40599985380304,40.016048467314015,43.70527362740894,60.82135197109189,63.35065497686083,53.64710596351686,76.29555116801366,81.89481739440409,51.805839165295296,67.13903461040013,370.00178494529257,279.8931449421157,328.9663751848389,376.67701015471425,309.0076463659855,106.79079575903178,27.219767727859757,220.00908255925253,191.04661036299476,170.3176208084132,136.82833552286365,213.6488679692856,180.23130872634326,60.71066752870677,50.359560879965414,62.3213988074438,116.81099889513776,239.3328263220937,223.916984073454,212.4267818545293,249.09494489704122,189.48370658827005,197.11920166285805,183.08470706166977,155.66341789546354,154.75634682959245,263.01470431754416,236.17352207978087,232.40956483328443,82.10016556554741,85.71030973310144,107.41157463984133,78.40124309620488,71.49755318741548,82.94073677890053,318.26670998228866,282.8278016070559,341.9766397991546,188.98194857632123,55.33284800050801,127.08041357043007,109.68322929721192,75.30987061487505,168.8575455624289,102.21910161492632,200.34234426670747,141.566465304855,183.41492464903206,103.34343723640278,162.06848990158306,38.02779999898353,138.5220955177484,172.92258950372513,147.19581253664524,55.95566176674137,91.41700637770238,164.97455569544266,139.64128809479007,125.51603371198077,119.72507336419139,81.37059882708739,35.79746197307881,128.58574514738584,145.20768115947348,49.479020162487885,168.88575744614494,39.22197105765269,15.570829704612454,43.98293989828188,63.700259791024365,30.890675199061874,97.14877154409237,259.95334108116054,441.96291024710854,302.554199893082,356.4607307668745,52.89842603820924,418.89212156160335,250.22362085106184,332.9945438448485,302.44868101037804,517.1395545756104,303.1719721867376,324.48578651905177,163.1541326307975,161.1741096020673
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,18609.257637353185,41.40862203549755,11.263118179275912,40.28399309581843,56.7415848083136,39.85905276666724,106.47072964918915,68.90991349424347,104.36384564911168,108.11472656988518,101.53343349871297,49.128896487887054,74.64628251584851,74.746928345641,161.4840295776041,208.6091252415408,270.1108754882361,153.5864521639761,98.15303493946236,78.8385870639797,87.89123554395732,134.53136237130988,158.46061520691015,141.0170207404512,203.0899728680573,66.56938863809887,54.2043807474707,67.715324050017,51.07779740056454,58.64638319368838,40.02911869337738,44.30867835120113,60.266878350701305,64.28389261325185,53.48480943787937,67.29840762022198,77.2715668442293,52.84310492420804,66.6789028593103,381.1859707983833,307.0603882823801,340.5239403791935,379.1515737389134,297.413183889941,103.88829884464117,26.80562382266973,208.58235375510912,214.32032150658767,139.5115799568864,128.92567761450888,207.26589435798613,176.84637859863383,59.70787125337977,46.116110702791694,65.03715418274781,118.85318454048144,220.77878578207975,217.0643688135444,220.39449672119574,254.27803136414462,189.9510979791519,186.38086267507848,179.94077937011377,152.2936912829235,169.78586711794574,264.67451020452086,230.72506622574448,234.17581651401983,85.62273577797431,84.88898300277691,100.11483231619535,76.42056936195443,70.62217259693418,83.70845537177166,327.99808414976735,286.02873184493694,353.8318759001205,193.63654616782267,58.41827402242299,124.03544664335448,104.33194849464871,85.6667635798796,170.6417723391007,94.32817813435493,194.583472502317,157.84375782438798,181.11751510607104,119.72001387438058,152.9455103511101,41.040717532524795,138.61313181816485,165.9523002003208,138.32211701203633,54.19144102440818,107.83404883970763,182.78887526468296,143.22023626460756,133.88594034209177,119.03793413269071,79.84494412236397,35.91006184369158,132.0635939659047,157.89249579196513,54.92254649981004,181.57686394851163,36.958229894590765,15.324849962811859,48.564650948061285,73.78112303660609,30.436614830422485,103.14733671137046,254.34877890408586,431.8217774109259,310.4142946431403,353.68981808271775,57.959230681514136,439.38390246911575,260.2979000708465,336.896474044442,298.2830834360871,523.0604740902329,313.7724175952312,305.72343196680134,161.38660491812644,160.84280338879555
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,18596.323310014428,39.35106226037084,11.183625348534688,34.833705480253165,61.84240946807914,37.92005800891028,106.66343580439906,94.4498830908946,96.69416020405453,113.10799492298341,105.36348950187434,46.70019629054884,77.60045826729092,73.19964392950799,159.85029525275746,227.39834982778714,274.4769129867052,133.58406358540392,104.28737328353631,82.26939694288764,88.9926422748191,130.54613259243797,147.72986283525358,132.33615920130973,185.92187826305778,63.89563242220874,63.829328685941356,76.28915603940222,56.92005871741778,54.16492476160931,44.41200717709134,41.53373313657014,59.50875437934129,63.3503288407565,53.39187516644483,65.25319993469036,76.45817926882299,49.560984241648235,64.88032475146309,387.6852429335938,313.20071286882757,340.1856101261204,393.07765227748973,301.4616198616423,105.68555330620242,23.612508318962604,224.08057606714905,217.69210434115254,161.3637393646779,130.61933886039466,207.40152684400047,169.42900928122762,60.10554988299329,44.89417676781498,61.34327065644264,111.84008230685885,185.9526491839417,223.55577097037542,231.77405374818315,262.8989690205069,183.81757548071803,198.29988473627023,187.25773261543472,146.28340463886772,150.94228390571715,241.50421195888046,242.09953791657924,242.64948278682908,82.77113474758686,69.49492644613035,99.5283410450769,77.72667705408045,73.01135479109467,83.91908948483417,305.14123551065654,288.83837918824725,344.2055538646108,205.59774831933106,55.89937888253598,130.3199612813538,100.85462339246455,70.16355500962638,165.06894640325808,108.21480724459103,192.2580423939317,150.54328876868183,168.67156667898155,127.27121760575392,167.05327200209476,37.772330271184984,135.91168814486568,170.2783936137446,158.27403060373217,55.54169739006548,107.45396855103567,172.2157574810547,147.65413825146425,127.51568473938083,119.80175826260354,82.04933026622155,37.501126749825424,132.7638087186238,146.2796124438238,53.120033933163675,184.56912494799712,30.97784866858965,15.735629927647105,43.096113707227474,75.7453822136264,22.97238514894738,108.16534578314948,268.26462741186737,467.45902429887013,294.5612469941444,333.5344071162468,67.38063445014022,436.97712094597665,253.32992876098544,339.99862131542943,271.63490872501626,514.5612558060585,310.9023216068953,316.7834147657564,164.06707086493373,174.45492884429098
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,18629.778468470588,43.78626400693227,11.622359424443202,36.23300048805369,61.616070325178455,41.292482817909836,104.37982471582794,77.08227058722983,102.2592176114256,103.82718610337743,109.43976446219881,45.11364982460114,76.475414115737,73.10256272933704,160.96060960476407,216.37858230533996,268.48667503407194,141.52976889154365,95.96609588406497,81.24541238137758,91.84335262228826,140.6256813075299,146.9343664251014,142.48761784677305,194.43930804015812,61.177966979948515,57.119528048933134,71.43793140677019,54.772793982664574,55.49601372817883,38.09858145311648,45.02854470982231,61.105057497672135,63.158752413425894,55.065272128444924,70.30301517800997,78.90085404573905,53.560147720517385,67.08352916355233,370.16237556567495,315.9298277875184,332.5335106666901,377.00673433584467,287.1025017404325,110.94294140948199,26.095216944443774,219.55556084595327,217.2055640319434,152.9674178154691,131.4141755556743,206.9543854993505,169.17962406937235,58.55323278258353,43.74752701897733,62.33183550628152,105.66069445818472,166.72542571775782,209.23667819944438,215.58379578062923,250.60702681072286,197.39416010453093,199.20387558483367,170.7430140319601,156.25259686527986,170.00860842845964,254.16990955191432,237.99380843479193,234.29057083491432,85.62420360514791,81.50989012199295,106.30618364045253,75.80680446191045,74.41561998580585,86.67304938895487,328.0720487430694,285.8270002411861,351.0268221798376,192.49516961943297,51.927266683449524,122.03377788175084,99.94717580584569,80.92442202723754,169.49330773240905,101.6612254796118,196.90990377772343,151.88973168722282,179.72148058694967,119.92703250673587,157.44409918937097,39.217067577719355,123.31320937756817,170.65216847252972,149.39943233507614,54.922578991502235,105.26077421731621,172.81516644642775,136.7823213401137,130.40408400500095,121.27012285832525,83.7964198343789,36.439465387984974,135.4107373887158,144.51717330630083,51.116783255677525,182.70127685239137,43.48680303844724,17.238502711353085,46.3190526879881,68.6201057385704,32.80926253829014,103.01309462284875,263.82702822386386,456.15181378783814,313.1853466396927,382.7594694535051,63.172681709163506,452.0631996175253,257.77806636793827,345.26854785026273,297.5499394254497,539.1068503021404,321.74963441436955,317.7688605019716,160.18799175726264,161.07909769780338
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,18636.267661132824,35.707274357444724,10.870979492834408,35.77912571060683,59.509926010008044,39.64933713986887,108.11648721243355,76.08400725088676,101.67550217872105,113.62866378255579,94.72236555267254,53.08844804932452,74.06636388572839,77.83867331959365,159.675449268277,207.25720442468327,263.65262192134236,149.8077369951491,99.89217026371274,79.91277513255666,95.26366356595923,148.41650101417017,145.66210430236075,144.59259490344294,189.05570524947296,59.99841478889011,55.61057006920782,71.79414058746939,50.69385807462155,61.191774236943345,37.15735358670257,51.32908724074608,59.59373925196565,63.387316448896264,55.18902062480129,69.17987704117118,92.79294648143305,56.98126335414592,71.22793973071616,359.9357836340396,301.17651409922075,340.9260707698479,371.56240411349887,292.2016636196653,107.46784450926015,20.180544007487086,224.15183722224603,214.25854415676383,158.92478885090824,136.8892088563247,205.87191278898993,171.09884265476003,63.23282663716041,52.57598762290962,71.73974637179617,121.51920133813799,235.2413023359352,214.56707608953326,221.73736961161703,257.8039172896733,194.60039577852345,192.34630655071464,168.9327298369839,154.0207573344649,163.10094298886702,265.2372553154695,241.36055820403675,231.7570810272334,82.97370341174448,75.69691752243428,103.63843738430533,75.3039556147329,72.54340588218196,82.53869825161735,327.279895950666,287.6855865652129,348.51402788325726,188.7197848243842,57.61638605336851,128.75171561607286,108.22344386417815,85.96448102685669,173.22915046101704,100.68004675912657,197.74620223709738,146.80784554091605,176.93656527675697,121.14031673022822,162.93747959411664,39.316726284531214,134.48155737771106,174.48892486854908,148.95399281133962,52.998093323465284,96.46745433461433,170.1921320679116,150.36571823723935,131.20054896632288,118.76088854408904,77.32324735310019,34.56950677742943,134.1863261028304,143.9579173341395,50.087308185640836,178.62134137082452,41.116095757117094,13.16670561825951,56.01829680235452,64.96872920970961,29.576027297677186,103.90745338503315,271.8052109715881,435.76000483632566,307.2015745467699,355.2210376680919,60.37296718655717,431.7356643108133,263.85104589401305,344.7797536321419,287.798419516504,511.79973452058016,314.32765636201896,293.3339613947576,158.4313776440397,175.72381807087544
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,18883.207070495937,43.26051060261109,11.039794868546664,38.46367814571039,63.4700092055644,36.85365991884093,104.22739585805502,74.1208938715776,101.71718119608137,107.30459430782226,101.36914895322252,49.11811376919892,78.25824475552717,73.98917820734232,161.5948604996137,211.95134595919978,275.1337995732003,154.04921287871966,97.32516785187225,79.90292729643141,95.23010247297292,140.85123255155062,149.42794584892238,144.04223978353923,210.59818739009557,68.12939570803098,59.77836063290341,69.09941879554098,51.45172306172755,58.715360142782664,41.78015407295517,47.47812524152781,65.00107520159858,66.46877777651801,57.34353469851018,67.32817597654754,80.20623544083878,53.7436079679221,66.03886444479966,375.49096733071764,316.6412528120644,338.6041120164866,390.53132529379235,298.33619404847417,113.07126505669085,25.19641027649582,214.94830645805476,213.20854328008906,154.1872358007334,137.67794563364734,212.74818599105913,175.6107553181141,59.23902775849901,46.47335211257805,67.55800303578795,119.56158239219457,194.9745493662978,213.7580661523863,213.03498684601294,261.79265864969136,201.0803360641111,193.4308336724849,178.43747135926412,161.99356203966448,157.19937438871236,282.8411758342312,239.92078450452948,240.20973853900924,85.85491729561156,82.4495460151247,104.67670898304164,79.05687741240673,69.67526960973512,85.55316628507838,328.70519419883306,287.1452585794731,355.8737367505097,188.76859815087002,56.29659639470703,125.94572698020427,111.7586947970461,83.13964749376876,170.56494456390914,111.13939421968561,201.49540688857104,144.61688082057518,182.8104885930103,113.52691511137787,163.3093119636627,41.04494664558941,144.92456441175602,170.28473753490053,148.2851849281279,58.98848689282479,105.25418600530558,185.39115051070732,138.4908073081524,132.14702451885088,122.18265500974786,77.80800601695009,35.669084281576886,134.72594861050015,151.8391176751062,55.16739585389386,185.38514062682688,33.11044411987169,14.153526397123418,47.72780735187109,70.76894739325449,30.510742947279468,107.58469155175707,258.65053929201497,450.7140411477942,316.204983434538,352.44674236966387,63.25001500031142,438.6269998761331,274.8396338933304,341.39180517584845,304.01046686554986,529.8310574915689,338.2403043768999,315.97289098574635,162.9981727273319,158.60130319973112
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,16674.894260484023,33.55380044510725,8.185738430198995,31.38499863986839,53.13806140518047,30.839074117526117,52.75259046846263,34.50438541110808,96.04064643147808,76.03315858928242,58.132632049372425,39.67812608364981,68.43851335446772,101.20574861428476,147.77401539307357,202.42915515590957,239.34318145712405,136.2736149217057,85.34772528304163,78.77926957995263,71.52810010685941,88.38148002827201,125.828889962386,128.88872660111477,194.76472354964866,62.99301406923048,53.38018699993799,69.04491750869516,58.450020388507376,51.10475493167427,41.15302294401941,43.49957536657819,26.00859796176242,57.70294326772959,51.850515569892835,60.545907210369826,61.92763261282385,55.603716183367084,65.29091250620688,366.9794392166636,246.9780999060444,328.2483886925563,358.628613392714,253.18590732909516,71.69203950012091,24.823421476607393,200.7022084624952,171.03492163502386,118.02975545563628,129.55650379900652,209.30730093632258,130.12440391225917,53.38138932099995,42.19817189260768,51.33477877791075,80.32206769256646,215.8180988355419,208.33934420445087,208.28595258568237,236.84504699594703,217.50387709702628,186.75706019790178,174.83675462413305,129.6259441585168,138.61604745914093,217.2219987354413,203.3030224159116,227.17858165774285,43.21457755229853,76.35109898534317,83.94697257560297,80.66399609744195,67.00633629833877,73.1846802324915,296.48850972273345,265.94679196641977,318.66828808159323,167.57534043349557,58.322797621380815,114.63815031750225,89.8797958073293,48.34611264429131,192.43205649973976,109.89672857686367,223.6246103600846,133.17939448255623,135.06904926165265,122.81756363159512,160.6673149855522,30.98968997911891,130.2636269532479,162.11548702162474,167.20331246798781,58.92603196013259,109.69630057415003,188.06386346232276,129.9850285961138,119.691563340144,99.48390753923914,92.64706823775875,38.31068952419248,104.59624035452784,130.14180920383882,42.49964998636539,147.37343982700637,31.520464490749774,5.233607449586906,36.404952175723395,68.46601987419257,18.437971769592323,91.9608711538135,225.98815134316564,336.4547025337721,258.0396263515239,294.4670823296457,56.59033852255805,393.8107622681207,251.7131570657763,312.41812416520844,218.0042683807163,444.63667158343617,297.03022825372057,293.5864685332861,148.76223264180973,134.81947046960767
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,16652.82871938732,33.06778189639551,7.507982849407953,36.58562298405627,57.91185908273654,33.37951431262956,71.76887970043518,40.92207752078174,99.95811210396845,82.19811630587772,83.90629857041264,33.32024148940108,70.70573888567753,82.52025479287998,137.67908542151133,198.5975238349388,236.95335042955537,129.7743482638169,74.53044144755461,79.43187117479503,56.565285548187234,92.14357802889427,132.46735556741137,118.34288210747872,206.38008173269586,58.99100684158829,56.968570007628045,80.20851857692556,62.44818634494395,46.31559494233586,42.86120967614469,43.174100564406544,38.4082912129201,66.01003283368429,58.45415540840876,58.24758871902964,61.74588630505178,53.84034886568051,66.94194538440472,373.05191794160874,244.6728142923679,316.03941117530144,364.641111570041,251.62651535106093,75.73496234622729,29.150531242594678,201.64405328123306,180.01963418106575,114.68966930729329,129.76511400858234,212.42345999893675,129.9072188997357,56.2744906329837,39.25585966927813,55.88451382975853,91.63860299755264,195.83991769930444,203.87840561064198,227.69966391672708,238.78461400999342,203.96656452549146,185.66124405900072,180.97482562785333,127.10351204362227,140.90058490247424,216.70112375339158,213.36723599745014,234.8572638229411,47.11814014088909,79.12571405547553,85.08140728065031,72.84367732211464,64.28559389711316,76.89840072591932,277.87288054636747,268.0371819933259,322.47124752073495,161.97094198315074,70.03437429009469,125.01541622773738,97.6463713482413,38.30410281859004,174.10235472656547,101.88406017104624,217.86576812509233,132.56552829451942,133.06671929183034,126.43661914167107,153.51534215212132,29.65942271346489,119.66744244408528,151.80724769854675,149.38955357956186,58.34046991654493,92.59293674047612,175.62835480410533,125.32557767825342,118.8666299886583,97.77680735549774,76.72722149869917,36.59269548791631,105.928350681141,136.89805407154094,40.24949266238484,146.43043872233383,28.90399562996112,4.809130374626004,38.20301299170232,70.16221213061665,20.224495336941338,87.54983481078155,221.34956563968177,346.1096888780941,261.6010373270951,285.7407279764545,56.82854220513487,390.1560172204822,235.51498514224716,323.8474710789603,217.70946200266215,458.4347130582278,294.91311787281074,296.9437467667878,148.1715404675212,150.2443279509018
