subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_curvature,global_total_vertices,CG_RSc,CG_RSr,CG_Rsi,CG_dc,CG_dr,CG_idc,CG_idr,CG_ir,CG_ivc,CG_ivr,CG_vc,CG_vr,FPOc,FPOci,FPOr,FPOri,FP_d,FP_m,FP_v,IFG_cd,IFG_cv,IFG_iv,IFG_rd,IFG_rv,INS_c,INS_ci,INS_dr,INS_ri,INS_v,INS_vr,IPL_gc,IPL_gci,IPL_gr,IPL_gri,IPL_sc,IPL_sci,IPL_sr,IPL_sri,ITG_gdc,ITG_gr,ITG_gvc,M1_d,M1_i,M1_m,M1_v,OrG_ci,OrG_cl,OrG_cm,OrG_ri,OrG_rl,OrG_rm,PHG_cl,PHG_cm,PHG_li,PHG_mi,PHG_r,PM_cd,PM_cm,PM_cv,PM_i,PM_rd,PM_rm,PM_rv,PoCG_d,PoCG_dm,PoCG_i,PoCG_v,PrCu_dc,PrCu_di,PrCu_dr,PrCu_vc,PrCu_vi,PrCu_vr,PrL_STS,PrL_d,PrL_i,PrL_v,SFG_c,SFG_ci,SFG_cm,SFG_r,SFG_ri,SFG_rm,SFL_i,SFL_r,SPL_cd,SPL_cv,SPL_iv,SPL_m,SPL_rd,SPL_rv,STG_gc,STG_gci,STG_gr,STG_gri,STSL_cEx,STSL_cIn,STSL_r,STSU_c,STSU_cEx,STSU_ci,STSU_r,STSU_rEx,STSU_ri,TP_cEx,TP_cIn,TP_dr,TP_lr,TP_mr,TP_vr,V1_cm,V1_dl,V1_mdi,V1_mvi,V1_rm,V1_vl,V2_d,V2_dm,V2_l,V2_v,V2_vm,VMO_i,VMO_l,VMO_m
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,0.019161192700266838,32492,-0.04271550106195112,-0.006174603227950763,-0.05424636819586158,0.03887587772527089,-0.08777766874260909,0.023532567006459802,-0.027766793640634786,0.017594313753627078,0.055444847879482916,0.1412312369352791,0.07601509971078485,0.10362094584256522,-0.059998880632506024,-0.04079633317188855,0.03164387991047524,0.023414726489821364,0.12278358007965928,0.15408692614914016,0.03665460922962262,-0.0505576852010563,-0.035545386910338754,-0.003559449139944403,-0.01480066689063361,-0.005638627953813549,-0.044136640156786006,0.024448367816328934,0.0003969680959652242,-0.00012895260667640038,-0.048961498640399455,0.050208657236938556,0.1540455198423429,0.14254112882309988,0.14976903694264895,0.17495539800396986,0.02688358531999839,0.01026893104040937,-0.02242751177000396,-0.03316658274545862,0.09846036547338549,0.044361971919745745,0.016184725055506492,0.0496783154369369,0.044492609153234365,-0.045473169767641174,0.015556942358111532,-0.008481616620173035,0.013389417018313225,0.0675370366465214,0.10055215546700101,0.0803574725315429,0.07375803940367939,0.01987547967278303,0.05216187167357891,0.04240698153978285,0.02885310774853894,0.04693332085089917,0.02976198360330931,0.01330238774545282,0.07822547868900695,-0.011535806627347111,0.01226585567748827,0.07162279138272523,0.05289434939686961,0.0048107163763059825,0.052849268149002454,0.027576705127022066,0.008979150848729632,0.024558916878629856,0.020133788663785155,0.06588538397114635,-0.01035723950854721,0.03976204869104549,-0.014450660920466474,-0.011850813546960678,-0.013806831864998067,0.030755040038336852,0.02927225268661112,0.0031005507390502664,0.03475644496521439,0.04226864183223561,0.06815453910780889,0.03488570288317601,0.06424813469451714,0.05265901916155516,-0.04579891108925331,0.03701758411629698,0.08798899995946297,-0.018899206184201198,-0.0818407024606131,-0.013681975369661727,-0.03189506163513749,0.059561409032825745,0.04636640812746277,0.17732965759932995,0.14708801863136992,0.04396556281282309,-0.0540333407533612,-0.057524316716808244,-0.0028906624642876665,-0.00067769067761235,-0.03514133276677924,-0.04213799047933157,0.07623100398663193,-0.029852671921526318,0.09238937283482622,0.10757649062689757,0.08935932095063794,0.19955186956585982,0.07851517710246537,0.17532899613701264,0.015677360867057552,0.015736715003701655,-0.03673191860027661,-0.002915837985833141,-0.0003482497612315559,0.04957892361360823,0.04030750200163345,0.07385773413347957,0.04168112701928799,0.0029756337448355583,0.08010469977382635,0.002939108814398568,0.031968232586943555,0.06411699607838424
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,0.020615238696336746,32492,-0.027681481301163633,-0.0008359276444504136,-0.05586735043674707,0.032472693757154045,-0.07978012268979322,0.05283721162205828,-0.03130788072255848,0.04710153908995183,0.17515338994045224,0.18986655762409202,0.052749897359559934,0.0916382326783302,-0.05757240898400107,-0.03893559497219407,0.04742817469436596,0.026085392551296528,0.1317975309865112,0.17314865608731733,0.00822096216035317,-0.06494877228070095,-0.038764797024279166,0.000329447458800412,-0.018261474614767147,0.0012121221262703437,-0.054899402288405376,0.03073102441395587,-0.015259069345145142,-0.008294495931675722,-0.06313824298692057,0.044861336266418805,0.1892360687030084,0.1408858082690978,0.14965904237117705,0.173681663615363,0.019980979650487188,0.011759157878695987,-0.017912944245021475,-0.033690884638247376,0.09393767794631257,0.04184837705886559,0.01094002627663861,0.05208824131673632,0.049417483432356406,-0.047351940050533024,0.034296502005487964,-0.012082531753809862,0.021956242323837628,0.07451902155732407,0.11510229967444992,0.07577557951068539,0.07650125968571314,0.045052197718313924,0.06108228265842859,0.03923707244080739,0.046467246366433713,0.05088699093564998,0.03270293516420522,0.013093324351537941,0.07430743942867317,-0.030504006028282814,0.01466917203704481,0.0675821061685801,0.036995128500424836,0.010362617225876013,0.05203824265155062,0.03474470660401434,0.01598050600940448,0.013569761703788178,0.01813423422501102,0.06425268128320265,-0.006768583787718707,0.045899108955858366,-0.009062995816308879,-0.014568434239334214,-0.01190934662965365,0.026963955850593354,0.029598417281127633,-0.0042054394892017755,0.03747814643668148,0.0363695005200019,0.04568757765991904,0.04267537869030466,0.06621500974234686,0.052919896771114014,-0.03628882753281199,0.030846875033135834,0.08052761297528535,-0.021471783627113872,-0.08171696537839515,-0.018157390092659584,-0.0323304966352963,0.05635599884318256,0.035469167215256565,0.15308321356773377,0.14138837621129793,0.0454076028097847,-0.05294321248355996,-0.050241220648604215,-0.014641401638978806,-0.00028463467248927865,-0.036599580019260995,-0.048772638933352784,0.07678404014478339,-0.0279146815923963,0.06531835320022177,0.07041072901679067,0.0910202978376412,0.18604892898255435,0.07496287046294463,0.17860598423356686,0.015131529067188471,0.01549438674863399,-0.03242320140980316,-0.009050068280855578,-0.01520803021713199,0.05144315546397335,0.03786922381583058,0.07474920295634686,0.04723386168696581,0.005298456818307869,0.06332666451470431,0.012247380097895595,0.03354739319961887,0.0651946163444089
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,0.020283017307519913,32492,-0.022479007108874308,0.008532069296690455,-0.05560910275578499,0.04840761269442737,-0.08441383413532201,0.04042007171011967,-0.026666221388439142,0.08442200352336564,0.0952055641879,0.16725616052625536,0.07256298875125745,0.15661225953399913,-0.06927597386955033,-0.041163133179676646,0.03747919302661606,0.02393054759342332,0.12385291621868251,0.1568050003642666,0.03873539802813788,-0.04926693792640435,-0.03577526520616846,-0.006809096463817136,-0.011337025636583514,-0.0041230706527418835,-0.04604492242641926,0.02766171884083248,-0.0021965094931321602,-0.005587282500081611,-0.05291019099096249,0.021774090606767698,0.17046206176393863,0.13183521737395595,0.15475862556093828,0.17806276636464255,0.028430901330803105,0.010988866955158301,-0.014989006452057425,-0.030508700300299382,0.09713645460718892,0.03359451440862473,0.020154695049606507,0.054103748918654875,0.04698329177098694,-0.04378722820224033,0.03333958112097417,-0.00553997148046073,0.012009880042047862,0.05397210009581107,0.09318750776583329,0.07708584640896311,0.07160768583382698,0.02480687874708777,0.05271047385449105,0.035324121436363536,0.03621719138610589,0.0956517302985267,0.0324747501664237,0.012444784507006888,0.07931520068882068,-0.014841559247818227,0.017788687828008912,0.0716807842620403,0.05670554470417726,0.0031365105159954724,0.052491545401798144,0.027355384156069643,0.014057687115499052,0.026398910149037252,0.026558024542535977,0.06953726346269139,-0.011571181720312409,0.04279727295469788,-0.007367957944869262,-0.015218953732356924,-0.016989247817096726,0.03944858134563789,0.03173795951954868,-0.018878659385899527,0.03331195267363925,0.04541280237271598,0.06959404542476477,0.04690118999759777,0.05999322023092844,0.05067358741325734,-0.04716772488731015,0.04379054283145711,0.07875842903009299,-0.024864329413782,-0.08437517981302725,-0.008271177517470649,-0.030906219560139912,0.0584138539757184,0.04391911631460329,0.15879074975848198,0.14653553128585048,0.04096218377845565,-0.053696126696364636,-0.054977029975322826,-0.017805080413612055,-0.003236583991613435,-0.0351315513642243,-0.04121365583690989,0.0687589896248376,-0.03035997758898833,0.13458025674609578,0.03974583165055686,0.12326440075412393,0.16725581594838354,0.08593793683930447,0.17670458684466323,0.021532600249400353,0.013696939429004506,-0.025326761985027677,-0.011522974248610865,0.009133022035434452,0.04833793436833285,0.03487965536972176,0.06961647971560123,0.04794455512776039,-0.002304872113198627,0.06474919918565575,0.010162004335687596,0.036332021355961065,0.06008620537078896
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,0.01993476413190365,32492,-0.035947243540237345,-0.003985415722382369,-0.049606347344815734,0.0433315673066924,-0.07906165055464953,0.039708795502742665,-0.027038498504659513,0.12118991670887107,0.017224478230087294,0.10250235405287667,0.07765368702045332,0.19553729505874107,-0.06605414013476828,-0.03906314768831134,0.03305571626009855,0.02909263282883369,0.1332276469162322,0.15509743501175324,0.03125372206444427,-0.06307616062076704,-0.03469853130948087,0.000655448958451206,-0.008508283118730602,0.0001329412444098161,-0.034322672217574623,0.011614326754719153,-0.004665818021549805,-0.004148802664977583,-0.05041830640513706,0.04805233892625285,0.16269956664605575,0.15106099273703277,0.14419543484718603,0.17920129759503262,0.016567619476282134,0.008917454012698727,-0.0170417243051107,-0.0333096153936898,0.09604920132525586,0.043282567993177874,0.02205919091673264,0.05241895672854095,0.04749363417008512,-0.04522371092326751,0.03481085545186383,-0.009395111204898176,0.017291166284038813,0.06997476932006759,0.07783343160471513,0.07120191549265434,0.07770827055210247,0.024441304553526444,0.06404494601202772,0.036920415271439036,0.03851754409580968,0.0552881255514862,0.03297748191483873,0.012644196744249398,0.07372177257101335,-0.01172260953925359,0.019167441310968307,0.07373681653870015,0.05551125530800739,0.007760614410491395,0.05300393532237245,0.02790495639906304,0.01168898583336845,0.023145716441666898,0.02877541433697276,0.06866416487000174,-0.00845996624420765,0.04326298609394432,-0.009848018958242452,-0.013660205525994121,-0.010134516456153682,0.034835964363085725,0.02805369695845392,-0.010919894928866554,0.02941106306054996,0.04300428911504385,0.07894331802526722,0.04240676824735596,0.04585141418822881,0.051943039779969655,-0.042650105385235296,0.03832299219279852,0.0865677134129304,-0.026367902538924903,-0.07736349351970213,-0.011549770552699337,-0.03258650275111506,0.05574674169294673,0.046003127139171256,0.19133993610739708,0.1491770474989524,0.04775631414997646,-0.05560644564222834,-0.0557826898262387,-0.010665850669210913,-0.001318843707722089,-0.03451095907497165,-0.03703624284195443,0.0760085300958537,-0.028736513035468855,0.14964659643523834,0.11770327090535586,0.09722972316244109,0.17734014777800974,0.08296990923975643,0.17698814021185877,0.016174690964962404,0.010970718895452305,-0.03256360438487951,-0.017837619564964168,0.006748371478030737,0.04839608644118249,0.04119013614241065,0.07222960334775823,0.047923794146756536,0.0020451352020151906,0.07742558866749309,0.00589665857802595,0.03585874664411064,0.05934413744037237
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,0.0199978519231081,32492,-0.005199203530016044,-0.005577618150007829,-0.05918559487210587,0.033736285171471536,-0.07897857561771411,0.039102190747923614,-0.019152521457084837,0.01669808097548135,0.11196813002871177,0.3154609346043831,0.06399366617202759,0.021390494969507148,-0.06201350921809745,-0.03905409067458246,0.03985786878682197,0.02326663927335986,0.13150708797644367,0.15595096950258674,0.022576778440486157,-0.051596863217127975,-0.03529886402975535,-0.004407861200958835,-0.018255335912478833,-0.0011494243061510006,-0.04664313167450018,0.02130159990639669,-0.00931317196506688,-0.0008872317859310318,-0.05592881952846096,0.0421064131562723,0.17683060489820712,0.13917329760702096,0.15914172873030916,0.16637777723371983,0.029879560407240827,0.008447965253144502,-0.015700368414043042,-0.03483831198178369,0.09529453804675259,0.027264632817215757,0.015063460891352683,0.05235746913686112,0.053857532357128715,-0.04770372898113265,0.030997949410588123,-0.012467744013150747,0.019488214794325675,0.06622084176756861,0.0929069366135921,0.07932407721446219,0.07144541738979408,0.034249091541577376,0.064560943937048,0.03329932103169304,0.03598702431812825,0.07555192839282081,0.0313535106282055,0.013139276685502283,0.07226376498034166,-0.028214321378618477,0.015964586009600285,0.06915843941238269,0.0450510038725109,0.005583231425608825,0.050199111325459345,0.03187300256011978,0.008885619004161226,0.01295132465719238,0.01346788944086808,0.06813410611415285,-0.01111009850146617,0.03244102457242589,-0.01812978474170838,-0.013706147355632414,-0.01042064217760762,0.031226024373869368,0.030681855385874805,0.0006721698210596861,0.04148357910233871,0.04219349485478903,0.0521278073265421,0.028282215402897642,0.07015614531902147,0.05660232817852127,-0.048563032886741374,0.031329051765753735,0.08743113924582953,-0.01770986060965901,-0.07619019658471059,-0.010939347466033578,-0.029510243292704498,0.04431800659509207,0.04089911802473259,0.16359263236323993,0.1475984756674232,0.04287297005862885,-0.054063675228600665,-0.05363263518499609,-0.029192624525717196,-0.0032886155480682327,-0.03625719996391359,-0.04083742837113629,0.08261981507406589,-0.026625435531920823,0.07548743938369785,0.044149594006651055,0.07100000224697094,0.16956492881171215,0.06795414301909898,0.17241398820995676,0.01580592032374586,0.01801833214154875,-0.029161562403780924,-0.017363355861706033,-0.0076311736177335195,0.04645068244044068,0.0430529868265777,0.07284841477161597,0.04042768852164348,0.006185866256327219,0.07027311327383448,0.005847129281536336,0.03288933619327202,0.06516259668212976
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,0.021396221593022346,32492,-0.008902873083328208,-0.001321796327829361,-0.05268681220337749,0.040051007200963794,-0.07924142087850829,0.04084254692683391,-0.02163662147035615,0.11876829577174605,0.11154470407895536,0.24829747899540167,0.08951657709355156,0.16546780174636902,-0.0649444606767457,-0.04069382685236231,0.03711859975555079,0.023833268920802054,0.12097686877276996,0.1547964085054038,0.03530024062809074,-0.04938118883546849,-0.030684816826362208,-0.004259743871303867,-0.011377150005004793,-0.004503704466578081,-0.04591043608544734,0.021773868840322032,-0.005762769204559608,-0.0003116267018909143,-0.05389105892146561,0.05174919627388102,0.1677459009894819,0.13451066386107713,0.15383711461854968,0.1734404590513025,0.019886033305929182,0.007454536303084751,-0.016228600185895854,-0.03131058258247496,0.09742152884988108,0.044109142956063094,0.012094275631977286,0.053623260920607936,0.0472118911885277,-0.045227036569761396,0.029716515886740617,-0.004299564328934257,0.01654285456175845,0.06735659949924791,0.09342610861909074,0.07793054714438324,0.07050483842818614,0.029390747768795727,0.06507724751421112,0.04545896971610056,0.04315150813008516,0.05661355604078303,0.028361508065684354,0.013247231603662809,0.07513275920986111,-0.017837712556744614,0.0208642695164524,0.07103922317351995,0.05088641212258804,0.009327838315778323,0.0550753126725451,0.032960060604453355,0.012020962429708707,0.020561706549744672,0.018906283753420242,0.06991489201004336,-0.00796944744483263,0.04030834517297557,-0.010654322036510606,-0.010176862533078264,-0.0164911252556446,0.030962005474640515,0.03125193751140201,-0.031195727050847683,0.032068834267938356,0.044305309941563266,0.05909752989282424,0.050548715959706836,0.05215570919621126,0.050957641226556334,-0.047808630444044174,0.03837657154033054,0.0879026391901227,-0.019156040489401584,-0.07829433625780179,-0.014927350518344847,-0.032462300217804406,0.047924329599628016,0.03792778074070263,0.17021903281410536,0.14700368697615876,0.04413595795192106,-0.05256538849930151,-0.054805961470577,-0.015849717107025773,-0.0020407374147652533,-0.03644949116062856,-0.03988902421994692,0.07678593758572923,-0.028225327584611885,0.11206233011120383,0.11758882171338106,0.1000037889532519,0.19386791086827332,0.08332252227946331,0.18024375469290785,0.016191386151594416,0.016527590345866542,-0.03351408328399458,-0.006865771035835503,0.008253995927251474,0.04770809283471861,0.03856049239857892,0.0704918257517605,0.04595468982316864,-5.721063111818046e-05,0.07531275122519353,0.005305637108281365,0.030729171377952478,0.061390504389014465
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,0.018548572435975075,32492,-0.044562589574294785,-0.003159282255198872,-0.050801358050666746,0.04124338108037288,-0.07767441313526612,0.026233900508282667,-0.020315079064126693,0.08648117232723566,0.010009238856232346,0.09232908174272947,0.04912683431680004,0.1564745491701788,-0.059205719708636306,-0.04239979669119635,0.03835683975670923,0.021836972422905537,0.13161233845832093,0.15709718111059467,0.0295524768966802,-0.05027958307618974,-0.03511977341085661,-0.002451738698605018,-0.013701130757743324,-0.006456169151015904,-0.04010921874657003,0.02011582955533454,-0.006684541820081219,-0.00253019861589895,-0.04788648683572444,0.03195661923734021,0.172462238055287,0.13380898243734893,0.14994496982111488,0.18251683259648935,0.026734783200004258,0.005985861689405283,-0.023578961013260645,-0.037726635883821476,0.09504321960586049,0.039571265446614816,0.018942502223660045,0.05087986400082895,0.04332095986120058,-0.04300094835928052,0.011179379957656447,-0.002829867583991953,0.019276728657166963,0.05413880553528272,0.08981242978054349,0.07824541860091125,0.06769434255667661,0.01803704114167333,0.05962292596380761,0.04352609846627493,0.048550430986984056,0.09232770327781868,0.02685184821567763,0.01223331208868707,0.07467993510670465,-0.021022778763793982,0.017372162779193064,0.07162965250864618,0.050980699556204705,0.00847164568125315,0.05096081998406185,0.030570362628258036,0.01061899246323133,0.011580902949712554,0.014585161253382436,0.06644290286977406,-0.009748150060602959,0.03925107948510678,-0.016461666839583475,-0.01341579770900514,-0.012553660375394642,0.031323346805871566,0.028655456432030456,-0.010312610571937901,0.032667810486898693,0.04963422352386834,0.06319517661904683,0.04216807223977575,0.05430230647445945,0.05407366645815934,-0.04639037219227626,0.03688579125527563,0.09739049228337344,-0.018396738279246778,-0.06845974647190554,-0.012121487299930222,-0.028262534016428538,0.04382331666449415,0.04155121361494393,0.16513485992948215,0.15469313964204884,0.050886889305987115,-0.05136818940749247,-0.05624282719514408,-0.017975192616510947,-0.0017483932938296021,-0.04129630629355809,-0.04340522816456647,0.07058082473404864,-0.029822069131653167,0.14212875911856399,0.06899693429969796,0.1112473920008845,0.20028506472515753,0.0810970118955562,0.1746007530493852,0.020870716131460715,0.014131715071877566,-0.03929734614366599,-0.002471677842297452,-0.019345147659462558,0.048872480878645916,0.04224719031388937,0.06958089722622575,0.04873014094055785,0.003653068733037478,0.06834921903470692,0.004930097555642411,0.034056695797111805,0.05107255838329546
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,0.018855154514312744,32492,-0.023893879672978072,-0.0035810391663720735,-0.05341498159896582,0.040205219205624115,-0.0850167469824573,0.036005426085392506,-0.028554148683849468,0.022801187469462015,0.045610593751512676,0.07506099790362256,0.06684116918904086,0.10809383939513714,-0.06875894543929742,-0.04117302180308844,0.037255741043531514,0.023976048906832446,0.12003905577801895,0.1468020331266071,0.034698266925485687,-0.0506515396409668,-0.03467565516335266,-0.005988789843775941,-0.012148757790617476,-0.0002906328150172635,-0.04029449395327263,0.007861361485960483,-0.001134897201092378,0.0047966764710674235,-0.05051221345499769,0.04556801165540034,0.17963195896961473,0.1295733711050747,0.1569838806320805,0.1788170568112816,0.01638851426374579,0.009254339009348769,-0.01357470273948703,-0.03000842197289234,0.09644379948962024,0.043801626998793246,0.019808664573508356,0.0539050652569565,0.04798022644024092,-0.04370295838864445,0.0231511344631704,-0.009706019293977767,0.016605122620405373,0.06931207715903735,0.08990852945627502,0.07646022824195736,0.0694538130553316,0.018274060890043728,0.06334307058615253,0.04287807046674499,0.03302716030979188,0.07268638315686393,0.033209055134522776,0.010057591464358447,0.07868452522302082,-0.0181461788518414,0.019685983067959278,0.0715486077549301,0.05317474812175224,0.004272824532660146,0.05114275872177031,0.031140879996990903,0.011812860224198052,0.019196891816200937,0.024947234855957148,0.06838964313150399,-0.0042887469308082885,0.04079692003720011,-0.00904496811309717,-0.011991919395535938,-0.013786718170244074,0.033849054737160315,0.032437959122895675,-0.018292112986749827,0.03592271810172309,0.04949617076567129,0.07030929076427128,0.039758774838840986,0.06384268623640246,0.05247211233945977,-0.04915434119002605,0.03805246439708108,0.08571884919845386,-0.025617610722441227,-0.07414677853937195,-0.008012943422754232,-0.029708233785670134,0.04946371543892413,0.037358755740227505,0.16474540159106255,0.14678754578291,0.05147086525251342,-0.0506834308267571,-0.05543788975163417,-0.02295476194905345,-0.004976795387879145,-0.038082375460240035,-0.03714265649678163,0.07235021358157726,-0.029065656974072544,0.15302043627290166,0.08493190447277413,0.09865005674884852,0.19177774029473463,0.07203681512098563,0.17040967492728817,0.017693820096146156,0.012056766544237471,-0.03425713158459856,-0.01736657940777556,0.002296092901183683,0.04681856568067412,0.044049070387625816,0.07273430635159149,0.050141838692102786,0.0001828811362966288,0.07402239420240185,0.0055597571466966,0.03445715018107768,0.054071316591522575
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,0.020879657939076424,32492,-0.04419236493607362,-0.0061654543928932725,-0.05950556852854788,0.04474227032721198,-0.06375810025629643,0.010901757431031224,-0.04022357344103892,0.04217521265230101,0.0827358007111966,0.2910465590983695,0.06004697928205133,-0.013141268112078597,-0.02574798513960559,-0.04634368178890138,0.05107663518531208,0.024616068247606884,0.12320456529637247,0.15797266754741252,0.03852795596510448,-0.059910509791961886,-0.05186851763885768,-0.0004290358158938873,-0.009648617702706279,0.013294744636116568,-0.03977021401098338,0.009027874712603636,-0.01576983800175048,-0.001950154635547237,-0.049315205897837305,0.028424384171991286,0.1653139435432174,-0.013251199259435477,0.151818374821613,0.07317518406946744,0.0014079562994958293,-0.005314084653509781,0.005373510582075437,-0.0197540067702307,0.09711650005450052,0.03963519959615631,0.027255316389694244,0.0620173567684501,0.028076794415850332,-0.05152030559471277,0.04502094058821408,0.000806510041598167,-0.00015005270960979092,0.08146679591449572,0.08888372065803896,0.07717488011311195,0.07647043920450788,-0.009711083537185234,0.050057003543305986,0.04578966813830989,0.060471844515507286,0.131893104336192,0.03450363536454649,0.007519978222889818,0.06460655848018432,0.024782857066020368,0.02560642422635208,0.06458932560997561,0.05557137893495757,-0.0020970201364066948,0.06313244461625193,0.03928600221187365,0.006200087218030232,-0.05384760660380143,0.055393177472039694,0.056842693004837776,-0.01736686525350425,0.061255018761296506,0.011973560323343244,-0.01175131724237043,-0.017971461089957556,0.03409018214528992,0.01794236354336689,0.022432327788833174,0.029270295508885297,0.047107291736296915,0.013293048998093582,0.06643865511260087,0.05297783266046438,0.05195525194903894,-0.047335455483114325,0.011948562643910867,0.09546712134338194,-0.011751627546485052,-0.07776736875862948,0.00010955945113371608,-0.01265406714030331,0.07345216853752808,0.05210582451511393,0.17698763449986776,0.14986319058499803,0.03690377096928336,-0.04986075669459814,-0.050303979318726176,0.016476648942877356,0.008972542900377639,-0.046951478177360936,-0.042818538288713855,0.06914763858026647,-0.03482909953918805,0.13343781153397524,0.02171318430067381,0.08670957050300344,0.15695231689665562,0.06841177705332245,0.15508549190981655,0.007478357444577999,0.019021033748045313,-0.04091321972401739,-0.020635328089935533,-0.028695868376313435,0.06630726421259968,0.0559714273592974,0.0773350569776948,0.040084031060751944,0.011043099850698589,0.07941093040559111,0.013655010915551147,0.030945309550624737,0.03421429417170091
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.13246337560014773,4304,0.02237054891884327,32492,-0.028135150648498287,0.008094003326014468,-0.04908335784077644,0.04742791138899823,-0.062363978421689906,0.03130291045728919,-0.03721522330810556,0.022362070458779193,0.20675831390027372,0.29231574628591683,0.0674739077873528,-0.01332895156589248,-0.032714038088586396,-0.049932321620034,0.049428836686259255,0.02681493000284474,0.13144852849127717,0.1569423044566065,0.034263041939724376,-0.08837124858109746,-0.05035000126069159,0.011565257087078442,-0.0064784562147741035,0.01973946010065726,-0.0449682462102017,0.030997136736766913,-0.018714296838829983,0.00021875359181484038,-0.05889136354325211,0.023173462653133376,0.17216962513824305,0.055812277518570014,0.13764844784989608,0.0929493441379496,0.0025692793633274283,-0.007749593122898659,0.0012084187419643694,-0.02428849473488953,0.09854681749303518,0.03740447111218851,0.0171769326094047,0.06682846889084153,0.03203523503239181,-0.05411102632860267,0.06954772892193152,0.0015736874340458872,-0.0014905122647247326,0.06297584562317625,0.08892018921122564,0.08767008830980602,0.0737826520951999,0.009964914487078612,0.06271340384920861,0.04245929052475604,0.0601638123941366,0.1202975225459122,0.034225817296201375,0.008890475622984954,0.0535694102160864,0.0057339903480636,0.02184202878216291,0.06479445359641309,0.05053724878501797,-0.0013701208951348003,0.06381722458334277,0.03768532307726097,0.006989423193120618,-0.047143477739241,0.05057763507146938,0.0596122883328621,-0.01855826430183686,0.04399808899994703,0.018673511440774133,-0.016794947469002813,-0.010515429187665432,0.034651013472226835,0.014339189086078551,0.0730561312541665,0.030822311454551814,0.05005036440653433,-0.0014424779074033722,0.0447644153132098,0.04890372527056727,0.05527948752242909,-0.045338974942028334,0.006693650048756816,0.09186311926100287,-0.01066630404454131,-0.0826509466315786,-0.005828410414855235,-0.016053613857819067,0.07705149950341238,0.04778577699942295,0.17098841191579897,0.15227105472793526,0.04014104607796191,-0.049211155665122124,-0.04947073588555213,0.020049108421778254,0.01204657663370119,-0.050470722580535546,-0.040306560112630944,0.0689531542915613,-0.03166173958090541,0.08311435037895161,0.0069313597660966035,0.09026396014925206,0.1550443387375428,0.06315422413478557,0.15887439644382317,0.006399985697266566,0.017560528712541174,-0.037303568907514774,-0.023798916655554236,-0.00447111470749585,0.06346893166081966,0.04979519982350942,0.08194757781562287,0.04881108500684301,0.014223573284162818,0.06966125544302826,0.018671844413198052,0.03345967706796854,0.05011341612024633
