subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_thickness,global_total_vertices,10_MMF11,11_MMF11,12_MMF11,13_MMF11,14_MMF11,1_MMF11,23_MMF11,24a_MMF11,24b_MMF11,24c_MMF11,24d_MMF11,25_MMF11,29_30_MMF11,2Ve_MMF11,2_1_MMF11,2_MMF11,31_MMF11,32_MMF11,3_MMF11,44_MMF11,45A_MMF11,46d_MMF11,46v_MMF11,5_MMF11,7A_MMF11,7B_MMF11,8_MMF11,9_46d_MMF11,9_46v_MMF11,9_MMF11,AIP_MMF11,AuditoryCore_MMF11,DP_MMF11,Entorhinal_MMF11,F1_MMF11,F2_MMF11,F3_MMF11,F4_MMF11,F5_MMF11,F6_MMF11,F7_MMF11,FST_MMF11,Gustatory_MMF11,HC_Amygdala_MMF11,IPa_MMF11,Insula_MMF11,LB_MMF11,LIP_MMF11,MB_MMF11,MIP_MMF11,MST_MMF11,MT_MMF11,OPAI_MMF11,OPRO_MMF11,PBc_MMF11,PBr_MMF11,PECg_MMF11,PGa_MMF11,PGm_MMF11,PIP_MMF11,PO_MMF11,Perirhinal_MMF11,Piriform_MMF11,ProM_MMF11,Prostriate_MMF11,S2_MMF11,STP_MMF11,TEO_MMF11,TE_MMF11,TH_TF_MMF11,TPt_MMF11,TemporalPole_MMF11,Unassigned_MMF11,V1_MMF11,V2_MMF11,V3A_MMF11,V3_MMF11,V4_MMF11,V4t_MMF11,VIP_MMF11
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,1.5312632322311401,32492,1.4838753067804669,1.7229749194600366,1.868235004727136,2.0566565067248237,1.7256924994699248,1.9578390609526979,1.6737821592240985,1.7463255861531133,1.4915949153900145,1.3093500125053545,1.5721685238506482,1.91927236293753,1.756128242787193,1.6190340568621953,1.3383873084135223,1.7535610240148871,1.6091523721362606,1.7581095110911589,1.5697296033166859,1.8172963908378115,2.2181776973936294,1.1627100006393765,1.5411175391296061,1.5525841016045825,1.5932280458509922,1.8971319571137428,1.6706294928278242,1.5241373727019405,2.2421868874476507,1.5911762808283714,1.2605273185991774,1.5778462729364071,1.4111339650277435,1.060251201848564,2.2778704418076408,2.039520517204489,2.3660255402758503,2.1501997198377336,2.182669424397104,2.1471305218609897,2.0000007665610013,1.704502602815628,1.7250080953041713,0.0,1.8479516701911813,1.5771743101133426,1.622816569136775,1.4571025083866953,1.5493549994761577,1.4270874909078233,1.6070377932145046,1.5640642758609966,0.4239345455169678,1.127676628571189,1.553269285339493,1.8308911596545736,1.244760000705719,1.7823664541785598,1.5882885501665227,1.4379190072788757,1.679713973181737,0.9551944547161764,1.0345153277234513,1.5189892605169495,0.6351909446342109,1.464733291177841,1.758896235903544,1.5521385457608607,1.8059685311026503,0.6396339192621775,1.3423486455128744,2.0334812918754475,1.2838098141555718,1.4587933434380425,1.2396634273628702,1.3182822075295955,1.313998774016181,1.430155436111156,1.472318784314759,1.355640717135131
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,1.555667757987976,32492,1.5048384616474906,1.8187280663035132,1.9175303663042458,2.044764226540587,1.7229557246952267,1.9839998976044033,1.700448117492565,1.8892158554947895,1.751085378328959,1.4296786296831387,1.6419265581213909,1.8160486528029045,1.7163002070258646,1.6979379629095395,1.3487820907642967,1.7802343599890407,1.641736673134746,1.8085946792211287,1.5611510703824971,1.8089163523193792,2.205391036139594,1.1774599370749101,1.5680790688933395,1.5586313970354446,1.5825415707447312,1.9050931786497434,1.7124506034573217,1.5383633778128825,2.260003601587736,1.631590970574993,1.2791829109191895,1.6179417813161634,1.3694354997112834,1.171474390059897,2.322815253705154,2.0968173380408968,2.479164021602575,2.2028178700378964,2.1986251118428566,2.13277361609719,2.107989182955102,1.725653126835823,1.8889152556657791,0.0,1.8851975783779846,1.6002287330761762,1.6780821621168607,1.4057280537229857,1.6428844100527102,1.4683282510800795,1.5708663268731191,1.4867517033582012,0.4364402580261231,1.2338191735151722,1.5812785754332672,1.7409959822210648,1.2730713427066802,1.8040161200448976,1.6683463491061155,1.451087607406183,1.7075811388971505,1.3735052547892745,1.0660834977793139,1.5366671743677622,0.8317153833372176,1.4976946603094015,1.7385788683815049,1.5307597637176513,1.802122419778346,0.7087624372093828,1.3421934109467726,2.057057418235361,1.3020787980137187,1.5046361023423362,1.2663384641799624,1.3304967999458313,1.3471412365624222,1.4129626901909773,1.4097855322215023,1.3419392636714091
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,1.5510904788970947,32492,1.5181789765814822,1.7827816348184238,1.808941949158907,2.000662215222093,1.7331998269636553,2.0103224701639535,1.7535452978210264,1.7842766357504802,1.760074110031128,1.4372226279442042,1.6148991805055868,1.8389197287460168,1.6832506113192613,1.7212214296062787,1.361052573772899,1.7838123691709418,1.6602955776633639,1.7325320908656487,1.5679483249579391,1.8051602806605347,2.2179628080791898,1.2026094826667204,1.5526543957431143,1.5949013603436375,1.6884074246680194,1.929757841428121,1.6899511945202834,1.5309535919780461,2.2720751377252433,1.5482948414266926,1.2875692657395905,1.5204240339544584,1.3822723773532901,1.0909387195635143,2.294410649003315,2.0887566447257995,2.4074097413947615,2.2009362429380417,2.2024525368914887,1.902962863445282,2.0882218714001812,1.658681049744288,1.775420383239786,0.0,1.8855773424034687,1.557188720266584,1.6129009374514782,1.4649259231389018,1.5445720665017317,1.4606740724558782,1.628054561981788,1.5066073176301555,0.39316620349884035,1.226674515568749,1.56398707681948,1.83791504743445,1.418034827709198,1.7533760713347306,1.6529173432027593,1.4498850117099582,1.6906312054681987,1.2720118983059514,1.1635219487108925,1.5615059030589773,0.7431074750396703,1.4912236625616593,1.7293756691438833,1.5589952739802273,1.8045310039189006,0.6735815257485305,1.336758540226863,2.072171265785008,1.3046645978906366,1.4836506111922687,1.252290644123,1.3403698681516851,1.3360042594158466,1.47144335673192,1.4584140084227737,1.3820155112797978
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,1.5626723766326904,32492,1.4535422428639349,1.7905856303193353,1.9363744524730877,2.1531401209365155,1.755723618544065,2.020749959392824,1.771202949399383,1.7715141902799192,1.6437781540552776,1.3786811718133276,1.6417293185773103,1.8854332134127616,1.6826351881027222,1.602253518998623,1.4056420995478045,1.7715052428998446,1.697348410432989,1.7941206227510402,1.615590935129009,1.8200380920518375,2.3044213639365303,1.1615371457908465,1.5106792275498553,1.5932379905053102,1.5810536674477838,1.9012321804960568,1.641282447522744,1.5508260122487243,2.2494153572962836,1.5816600502353826,1.3393698977489097,1.5714834942570273,1.4054757179371242,1.0620176800579395,2.303569548267396,2.056570261503969,2.4062258393868157,2.2341558110146296,2.228082304929986,2.1763546737757595,2.0006427282019508,1.731961462100347,1.880014895151059,0.0,1.9179035140507257,1.614415430267092,1.6085783153398265,1.4723644441788732,1.6081585308139243,1.4573103514584629,1.6046189711644099,1.5985317045208427,0.3364828833937645,1.1980603065609274,1.520897688092412,1.837810619186809,1.344216500967741,1.8037222674552431,1.6311724648756138,1.4641568890238732,1.7033064349770026,0.996939478480086,1.138188314068225,1.5526605008253411,0.7461389669054292,1.5307568134752736,1.759780238182049,1.5572370067819372,1.8226164529811748,0.6553760311872392,1.3894255203314316,2.0487078483790566,1.3106812541652177,1.508646861105989,1.2733945390320476,1.3443246600475718,1.3437217310021432,1.4386132003785568,1.5417217368982277,1.3494862722986527
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,1.4833098649978638,32492,1.5319390536068442,1.7817948298020796,1.71009793555872,2.061484217643738,1.668145437162001,1.8662257650192233,1.7181961254600746,1.9246162383452705,1.95710906346639,1.6087388681328816,1.7171382230261099,1.7727451965212822,1.812214279876036,1.6879820972681046,1.3357475232659726,1.6344259198951094,1.7471131826892043,1.8597973501070952,1.4957263562777272,1.706547753185245,2.029111991988288,1.2157252703023993,1.7239472502615394,1.5050228839357866,1.5046784022653645,1.8499204297860463,1.6388435031014277,1.6748105556192532,2.0986058125129112,1.7083876214615286,1.4397525015999288,1.4856541412618924,1.3656134841770962,1.021774318936111,2.187633776811906,1.9852014826876776,2.438178725000741,2.036329052277974,1.9919457312892466,2.225138924338601,2.250946692273587,1.6845825258890788,1.8065393933405478,0.0,1.7204568308977346,1.527919791785764,1.5698936913302752,1.4763897456015218,1.4743029488606398,1.2530721886591478,1.4507510182949213,1.5394896391838315,0.587837061882019,1.2042562055982937,1.3661021552644335,1.5788751358294304,1.209578125178814,1.7292019196435915,1.699038476453108,1.405495009924236,1.625048978620221,1.2820621692404455,1.1325011733890504,1.404129732900591,0.7087053105970135,1.3842334208344957,1.6160652688801802,1.357758490141336,1.6398735845110752,0.6456657723504138,1.271632479933592,1.8593816768633176,1.2477473925611104,1.3623633284353267,1.1988910246997033,1.3324971594709032,1.298703356251583,1.333785118494492,1.350691364735973,1.4167929651173017
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,1.5488137006759644,32492,1.4092751234591365,1.855563853274692,1.9071666642346166,2.1016107044721903,1.7084386984070579,1.9799657403558926,1.7216958107546134,1.7736747549927754,1.4560133576393128,1.3050309359618129,1.5514806249867314,1.8720472713311513,1.7047465776695925,1.598303809762001,1.441042239205879,1.7262548402343925,1.6046374661452842,1.7660915385454128,1.5927962181502826,1.8344191862336288,2.2331719583935206,1.0474195273026177,1.5430233136909763,1.5598386086230716,1.6221031257036058,1.8666208565235138,1.6303828378817193,1.5371299906515739,2.1918872649853047,1.5635714326819328,1.3408495374754363,1.604616938896899,1.4148964576166252,1.062774969815458,2.2846970607223827,2.0349509230681826,2.4018417389496514,2.227575422752471,2.2235821244471214,2.0894598256457937,1.981592855121516,1.7239651922384898,1.8250491085151832,0.0,1.8717367767694577,1.6037031213162651,1.600230432703904,1.4644120972980021,1.5602524747116289,1.4307317655495924,1.5780887340123837,1.5826860132251046,0.461738269329071,1.2976292865711023,1.5517229110271007,1.7512033222285845,1.225918284058571,1.7979625260576289,1.6035799186019337,1.438011779514376,1.678575185969407,0.981675752571651,1.1007977525393169,1.5946468097060473,0.762628479823136,1.488016830097308,1.7376697654360482,1.5292078238028985,1.7948455501763214,0.673153905966482,1.3382655939994714,2.0639219444092007,1.294524574458411,1.5092045382142292,1.2846922602259645,1.3401583523192304,1.373093029628704,1.4377304539409788,1.543797410264307,1.376570392200965
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,1.5730836391448975,32492,1.4316359794068478,1.887579787861217,1.9077761881053448,2.147600899961658,1.743464205291245,2.0245155100373253,1.7370163136699035,1.819916616315427,1.671515391667684,1.464281954536176,1.6901663826859517,1.942487138013045,1.606753713944379,1.662487953901291,1.540638896456936,1.774710196217424,1.7051915174180812,1.8401295321109967,1.6361179123186085,1.765547419270725,2.2572192165586684,1.1929966133573782,1.552475474956559,1.5822920732232681,1.593506291678006,1.933811998864015,1.6642788638521855,1.6034783276034072,2.217138222547678,1.5318973166485355,1.3020033789616006,1.6158077258546397,1.4191017215108048,1.1310720401083898,2.30428143818192,2.0597603608454977,2.3708718082179194,2.2035782514583495,2.2667155502473606,1.9999489242380315,1.9887951069240328,1.7450590642293293,1.7826722115278244,0.0,1.8874225592731837,1.5975320116734841,1.6586669673480747,1.5150390013850112,1.6018137273270538,1.437338172486334,1.5566408189443441,1.594020439834191,0.40957716226577756,1.2362948633030633,1.5397202624930992,1.8033208291949208,1.3557380937039851,1.8219148664609761,1.6546442303587408,1.466571682708085,1.7122424876065234,1.2579880338542315,1.1411236926566724,1.6528687832960443,0.7510304446311274,1.5098620391413875,1.7613360739575394,1.5835800438732295,1.7926902900121329,0.7095858387753263,1.3818165572025838,2.1378693038470122,1.3210226305839767,1.5285376778879183,1.2846614487590797,1.3257933730774738,1.3848965840368737,1.4981209988850868,1.5629811895136931,1.3761888169150316
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,1.4794892072677612,32492,1.471753389892464,1.7749355354092338,1.7730545298281042,2.095016086011901,1.628104458470921,1.7965894665407098,1.7967087314740058,1.8269800906595977,1.758073436419169,1.4926388446471783,1.663161759791167,1.798934818804264,1.8809289090773638,1.639784740904967,1.3171030586225945,1.6136181556472653,1.6941235783425244,1.9813398267978277,1.4896787085761762,1.6942177892576717,2.0742494795057507,1.2056639362936434,1.674247508368841,1.5289808961371667,1.4684860909526998,1.8424321835239728,1.600439159717775,1.5874615252857478,2.0285799943483793,1.6381568986259094,1.4366191835964428,1.414975734814158,1.2902502720725948,0.9913453464542732,2.1512148130087203,1.943469484682594,2.356016858764317,2.0203354947623753,2.021326486240415,2.1981531869281423,2.1127717857119404,1.648796384334564,1.7587237047652404,0.0,1.769223859061056,1.5142581861623576,1.5477793528445096,1.497734293678767,1.4970781175831285,1.2961990666208845,1.4881707047040647,1.5365809784574693,0.5853140878677369,1.238527750442041,1.3633733058834936,1.6571064432158724,1.2718544974923134,1.705928363698594,1.6635827939299976,1.3719702718000333,1.6214970930695014,1.1582550725766592,1.074990007304406,1.4997325868748907,0.6740199065362125,1.423316517541575,1.6478948298415574,1.39667835049815,1.6798584654082764,0.6839299251722706,1.2618994884766066,1.8873449750142555,1.2457332621513622,1.350574513860117,1.1950496708013751,1.301297817585316,1.290340706710177,1.3455908349681283,1.3105675359161533,1.3829478453133852
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,1.5603934526443481,32492,1.3974965232575012,1.6503279425881126,2.002631417729638,2.172842844984585,1.5456384783917732,1.9505902766317562,1.4045088010802955,1.59876163886941,0.9913889765739441,1.2466061236656503,1.0686847016863201,1.6212332151830195,1.523189803256708,1.8129787842432659,1.1835683960663645,1.7293824024106328,1.615913244359421,1.686982702750426,1.5098135100652095,1.8890903384972972,2.010849772559272,1.1274626689112706,1.7015399892882603,1.6101251631714892,1.9712903326885267,2.299759561816851,1.8283031468552755,1.373794804156666,2.2237021684646607,1.5378288169429726,1.4279605547587078,1.8027298619162362,1.5823837410787056,1.0671599539195966,2.3276860786563573,2.1329402905489716,2.2900629544603652,2.1460154262327014,2.333594820516951,2.0214937762780623,2.10452597201625,1.566693514585495,2.046997081488371,0.0,1.9967007257452059,1.6617206398030402,1.848594285952995,1.4346942418840676,1.7159562514962328,1.4298711948924594,1.657319961144374,1.6381010843122237,0.833860034942627,1.261242450930137,1.8790834422584053,1.8258633340588053,1.2548117637634277,1.8317346454512142,1.7168880352202585,1.5361107683578026,1.5652398002460013,1.173335570461896,1.0783444439717966,1.5511141855325272,0.6740706967265082,1.5451899638091164,1.7530000330044042,1.6284544119587192,1.8904492301794904,0.7230053358691764,1.3159029896442707,2.0092902689763945,1.350714025825074,1.409111121886194,1.245245023069794,1.4907777883905045,1.3346458219834283,1.5481579851201874,1.7426174270863435,1.4409239383144232
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,1.4905551671981812,32492,1.3631888463825523,1.4594982530583034,1.8981020770628343,1.9255467984909402,1.465916709258006,1.7545024387646413,1.5879836042818165,1.8072248282639876,1.405762367248535,1.4931603346863929,1.31210014871929,1.5136294136444728,1.819823468432707,1.6899274562795956,1.0839300709858275,1.5901487863769657,1.7377137604987982,1.9994591038960676,1.3579715193134465,1.7617956941009414,1.9639707936180963,1.2442429914422657,1.7543500927163334,1.517584972701739,1.8551684536717155,2.1189158926407496,1.80136963635459,1.2942441198187815,1.965226883154649,1.5594722089702135,1.4013186552945305,1.6370224750266884,1.389807585755299,0.9912512285178,2.203894702004798,2.062285577505827,2.2727283239364624,2.050047272018024,2.146463703144999,2.20264534516768,2.1760742075835604,1.54239963889122,1.892526018122832,0.0,1.7840812585840178,1.6346643447036475,1.6807475873117168,1.4231267980500764,1.6520147301284562,1.2394977205931539,1.5392708083757987,1.5066513502198342,0.5156699752807617,1.0741750494221955,1.733830001977113,1.6651391946632443,1.091308443248272,1.716355207964038,1.7617792878080816,1.5855978657994574,1.4659768094402212,1.2444133436193272,0.9534865719403407,1.4453052122201493,0.8046365929558673,1.4157965306381195,1.7153988152852357,1.5048788610990946,1.7464178048850632,0.6064049741318385,1.2579018603532741,1.8591623103781922,1.2505691860117936,1.3100781707777143,1.192435312439389,1.4429694666507396,1.2848071784706179,1.4261889479392829,1.5138850917621536,1.4410807558598409
