subject_id,session_id,age,sex,site,breed,weight (kg),global_total_cortvol,10_MMF11,11_MMF11,12_MMF11,13_MMF11,14_MMF11,1_MMF11,23_MMF11,24a_MMF11,24b_MMF11,24c_MMF11,24d_MMF11,25_MMF11,29_30_MMF11,2Ve_MMF11,2_1_MMF11,2_MMF11,31_MMF11,32_MMF11,3_MMF11,44_MMF11,45A_MMF11,46d_MMF11,46v_MMF11,5_MMF11,7A_MMF11,7B_MMF11,8_MMF11,9_46d_MMF11,9_46v_MMF11,9_MMF11,AIP_MMF11,AuditoryCore_MMF11,DP_MMF11,Entorhinal_MMF11,F1_MMF11,F2_MMF11,F3_MMF11,F4_MMF11,F5_MMF11,F6_MMF11,F7_MMF11,FST_MMF11,Gustatory_MMF11,HC_Amygdala_MMF11,IPa_MMF11,Insula_MMF11,LB_MMF11,LIP_MMF11,MB_MMF11,MIP_MMF11,MST_MMF11,MT_MMF11,OPAI_MMF11,OPRO_MMF11,PBc_MMF11,PBr_MMF11,PECg_MMF11,PGa_MMF11,PGm_MMF11,PIP_MMF11,PO_MMF11,Perirhinal_MMF11,Piriform_MMF11,ProM_MMF11,Prostriate_MMF11,S2_MMF11,STP_MMF11,TEO_MMF11,TE_MMF11,TH_TF_MMF11,TPt_MMF11,TemporalPole_MMF11,Unassigned_MMF11,V1_MMF11,V2_MMF11,V3A_MMF11,V3_MMF11,V4_MMF11,V4t_MMF11,VIP_MMF11
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,18106.273130737765,160.88332850649107,65.66977963073374,207.31744275942597,106.94995142168227,136.3163780461638,247.30442796730796,384.2995739216464,33.72328108044016,60.074389268112434,229.03934501343167,38.81544810035787,256.37807146448705,30.17411074418664,14.381299047153377,21.213800879210993,201.86224408097485,61.72698831265854,164.83410257719888,434.179016152579,92.92825645280003,62.03843044332145,37.55382694081401,172.3698682296206,504.3835564037888,211.8283068048258,172.10282795465707,504.52272604435456,43.76291235981798,92.70312936328462,170.26972483943464,9.248352065486928,133.86426478432864,112.67110172157132,283.3127238905242,1187.6403688683945,504.40356646425147,164.78997504305494,157.882681333933,324.1817651931876,30.920711135244275,86.63843565459717,159.9213148944341,55.56557769957373,56.36416315338676,143.11542610828357,328.81172006640725,190.67054840852222,254.05833336947904,176.0654570799534,114.66559541180553,87.72125230571523,228.36633645010943,10.530920925521174,30.988411636765427,72.42787104967293,86.87261189914732,32.80707475642404,77.47780519631578,166.4244299617104,161.22421196532028,302.39850871813655,27.12249433941479,50.93624820069238,26.797375866985227,39.517202811156125,255.8377465355904,403.29673147976695,263.04842601131566,902.673781084969,68.18039569556562,45.42083115198131,356.3805082542609,675.9041707764667,1842.8142521860561,1307.1374357657119,173.45547035856552,515.3536502212015,421.36161712226306,53.02043756374337,26.3762932898368
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,18418.88087352647,154.96319356328297,65.30184192792392,190.04191858160638,92.66774121974352,141.737530823803,256.8299571632826,382.69908142406223,40.823791215278355,80.42877130687444,241.965128631525,39.920048766822205,257.71164814953113,33.78906439053835,17.329730738925868,19.11174192644318,206.50497051776637,62.62768971970389,174.154006624845,405.0725592592348,114.13103476446946,53.148509708099695,43.446571661063054,189.76335707201315,506.3148201182508,217.8043239443174,176.33599275469953,526.7351060542323,49.1912295421545,93.05067832093576,183.09291127938528,10.439785918823917,145.96704259860402,111.70498340179381,305.27773029898674,1196.8002964043064,510.52194630537554,175.87939333564483,163.88332794676657,335.70207447001565,31.891192758175976,89.29102350078878,164.1646702165351,57.641504623474844,49.98556037670247,153.25969989223998,333.51170804816945,209.48114569453205,251.2373455098585,197.53726385942073,118.56708507102887,86.96041980901151,213.68552128242894,10.017933640760184,47.70477609045707,70.20379058060341,84.94169347634998,33.44156770715481,78.55329540841007,181.12257358534242,144.34970432505347,289.8142551240136,37.93549016348599,57.5771744217906,24.028754968566716,44.98387452970448,279.07492063287856,408.0797584377154,251.45515954963633,863.085668009196,68.13245494282691,43.97808880180631,333.3025055327213,686.523423615643,1946.716505928717,1352.9781717996389,165.3663499973279,515.7759024575057,398.06218410707373,46.22578503952848,25.36343815906332
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,18225.24043326394,150.92062505867185,65.75153841895789,185.45092307348006,93.35307793389522,132.12847544794778,259.823529341292,386.1405159074129,37.97160226885378,75.26401703061046,245.6220494287214,39.22259267347679,264.6024557096664,32.04209830490636,12.56151435149689,20.811782745826477,200.18134576619633,65.85846884478805,179.24141055258025,418.2992295776529,104.90629301316558,53.84968753120137,39.662843691372224,183.68928614300776,527.8988893016765,226.65340738881457,181.74717918276264,515.5787154002606,46.18640174431691,94.44626902475459,154.73933475803955,9.288849912207857,135.8460337322315,112.47337393042038,261.0082516877078,1180.2345244240325,503.38164758970396,168.6486994746273,170.54123106020018,341.35204156015476,28.05137758163919,88.05673272488308,159.7650761625213,53.08145436619551,53.5560217555026,148.14487081909058,316.645173884212,190.89904087584094,263.9087679458464,177.97035338745022,115.33344095213393,85.85041886791211,211.9479984719923,8.686887758360868,33.54514102793938,69.66604985424728,89.5562496896348,37.98699075359266,75.41118357327494,175.42834759297264,155.2412159923546,294.0107967192058,36.73059961540674,50.12343264125607,25.221381963173524,43.15873953911816,265.28062001683844,406.47226947355097,256.83908264049387,870.9844316866545,71.52142322186324,45.885488883824344,354.84817249139616,691.7818255867018,1898.2734862481711,1297.470370619075,171.0463685823576,525.2345706230034,428.4958076984612,50.15631476099298,25.59224322770438
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,18357.664668098892,145.44793513408476,67.20448732993094,208.44093904203325,102.63717121821517,134.37618957565238,262.613062563902,393.3756874997109,35.28276600796216,70.5431201421145,239.51572205248797,41.27101431328756,262.91599455652374,31.79951388953838,13.937913486657129,21.675979528103024,197.2277951132255,66.30525712935814,164.67293386536187,432.1510020869046,107.51824467764352,60.4590102019636,37.95359731494868,173.61691706877576,511.07947793148463,217.0222425870157,173.4318359368271,515.3407040647113,46.94690763677307,93.36478960732077,169.86360785572072,9.362847648140264,141.7983629538816,118.14834682505084,242.4633968992195,1161.130021205837,498.6395254010063,171.24326312731677,178.15643018864012,348.6158482077157,29.93260855908159,82.02054517812529,163.28984692870256,58.444106349950935,61.60986618658819,151.42456267738407,329.96875569919683,187.9739793260551,254.12628218720243,189.51471135526975,113.62058941759366,86.4837746894008,228.42948404151701,5.926601742260854,33.69425401334019,71.96943374906469,92.44929218496598,35.83971939261986,77.68990638750556,174.95124081181152,154.75070675882847,304.2977941756244,26.88476470551824,44.15109532383476,25.7167901857602,37.55072700262947,269.83484866019916,421.31847427166133,254.1795349091947,899.2568029163612,68.14564632836657,47.53158571882574,355.17068152422894,679.0054518313731,1909.4719176748422,1367.732775586566,174.50391742723377,527.9753612238189,414.062979530119,52.879870815855334,26.33351877536759
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,18400.10246663008,160.34452964240577,67.60726942792282,185.76018398383343,89.35331532014047,138.25281924859752,256.5984895121333,385.07151631214265,36.22063570145066,70.6575673546663,245.97740159709502,36.8421070725526,262.3209979278764,33.5315976010304,19.801578798637916,21.269987138121632,198.89799358418648,62.79539091424094,170.86481043202713,410.7523141150509,108.89861077747838,55.10275839531133,40.11224939732598,183.19040929060893,504.6989198440561,219.38395997290712,180.1022896975424,543.8526868299851,51.31074712078045,92.40223537167238,177.44562574571904,11.246976292754711,143.76080928087475,111.04361304413479,246.93668712322787,1182.470907254697,505.11136982709706,173.6610705481214,165.39999721840402,326.789144791442,33.786104338975655,90.40232247882786,165.84522705902015,55.517912491739146,52.100140603176094,153.41673100354078,324.4186381268224,197.6562520964013,255.58870124117092,184.8678744172026,117.8525348208831,91.22082116190947,215.9039745075056,17.724427851402215,47.7647408665425,75.42879102593169,86.71143357396095,34.461281939264786,82.35426870227073,179.14625924042628,147.14199788347304,284.7280813195239,36.591623590290844,60.78644488755526,25.18514927330788,41.852082576749346,267.76305199074477,411.25338445667836,244.2245892941073,850.5198928451118,67.44785012599876,44.55677152145936,358.5736239033853,706.4725883449904,1970.3621565448475,1344.2600755402193,169.4093998370742,548.6126859113411,408.7877833912479,45.736003190083416,27.827219146664998
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,18309.70376255904,142.95309325568283,64.87291128127113,198.6562129429623,96.32958977518211,130.6966602068839,253.48876213450643,393.8506929591768,33.629641270096386,56.80695138868023,231.13956715114153,37.15042193398053,253.92584638486753,34.16126632886223,13.67922678496594,21.38232236205404,198.1393302774499,62.117625990630124,165.07864450972838,424.28066322319046,107.55056760069806,57.83543229914212,39.372627461924075,184.11238191758034,505.3870855159883,231.30354768966018,165.74490838614994,504.31069706154045,48.73218031170743,92.87372607408871,169.06219330354335,11.438769928347503,140.16319268162863,114.86543157593817,269.7093120555934,1155.8299093004625,499.3091965262844,168.99764424784837,171.23128487011562,340.16494501250577,29.82486478631152,88.43817944262375,160.7739138914934,56.75155386949835,55.77791059397168,143.57155832480595,329.8646961961574,189.10270851685252,260.42789061800687,179.48406155954615,114.35553536657251,94.2510653327579,227.0816784822597,9.455574735788854,34.55293311879137,74.98791149195824,86.51717631579837,32.58885804337965,79.09486067632145,170.81608883697308,152.89299065027552,299.89400715733245,27.72150095935826,47.83728345094568,25.2669380950235,50.25883913598701,262.8869452771355,412.94835249213554,256.3517148853235,872.7689330385185,74.86562388230217,43.20286818130025,367.5612204402649,693.5139518537904,1934.7632395528826,1366.4271483286905,171.4033650368058,544.2316824470698,415.5037364755013,54.65670427988956,26.693232756575505
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,18453.956115711517,136.44151722897075,64.49842453055882,227.38619058485793,99.94755363251846,126.73219716075597,259.34913366267733,394.4049178693563,33.47862299631685,64.7990548503185,243.04987259540582,43.24722045394866,260.35511926606205,29.627219203444564,14.00766301837102,25.153793036796174,211.68688602182104,59.00159024741016,163.1364695314887,452.3033437966,93.05136443570902,51.88569932144973,41.88592032623912,172.6602182204443,501.02689810016415,214.19628627671713,165.94881020900837,509.57111628415834,48.34408882819994,94.86474050769783,156.2445043786191,8.114431782331271,139.34522449918154,115.58048989321304,290.4934705404137,1206.0160389515115,504.1455257268165,173.24157546584775,163.29973044283565,339.975945741622,26.730718817021938,81.07439772396796,167.3418398048366,58.938480749890694,55.06735532994255,147.021258605645,319.3481825163207,194.8106308313149,263.05845018974054,182.72128686801483,115.42016129352093,88.0242074864505,231.6278338737329,9.142366420904866,42.542893572762594,68.58597114920083,88.0346438185695,35.281974044169104,81.90002320445628,170.9050912886977,156.75478582562542,305.37972308330575,37.091209968571796,56.03015615501148,29.43179901634129,47.877908821085505,271.020775215435,417.0270881499319,265.45736852566716,880.339702354312,78.48477838772696,44.32610375125811,357.05631409863776,694.2201506935994,1908.8648915118638,1323.1825732438626,171.90521690689198,557.1881816050951,446.038001560078,56.58588443640531,23.61686519179362
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,18550.971783490495,147.98073655205866,68.31852024610927,196.36573067996864,97.21930624913497,134.88857291007832,270.9444085056933,392.1919761755369,32.628689754317854,64.60881512014411,246.41835460810373,38.38827813561481,277.48333129319684,35.25748220356689,16.637653840072815,21.233078298586793,200.54191056497353,60.62025310953619,186.74605142268797,417.8706159548485,108.74275948041424,59.473035572622535,41.73461379282777,181.96342612223634,522.4818932201679,216.6254674812173,182.49878173088152,527.4275839395732,50.15487783704601,96.47781333277938,170.41304962205822,11.765508991517693,140.5439418429778,108.90461068185787,250.06303929867968,1176.0303744724706,504.98050161048667,169.63392587054528,177.70040502206385,351.5478867155891,32.78087807790064,89.05140038965786,164.8590113245422,53.860440321243196,54.30438975144336,166.36910774910623,332.9702717968293,194.8046542357048,256.70074115223895,190.88609765384894,119.46646847853141,86.74321594862505,218.07084696574813,14.447382388576825,45.95477899986091,72.61518358184281,91.33937002667913,33.56556117365149,86.21486822398926,179.26531508145476,151.56599533396474,293.5847959613163,34.01575324978416,65.96412847556856,25.725739721662674,39.457312017004625,264.4747266013036,408.3864758324935,257.54871965676955,905.3030287409571,73.61174216499187,45.58814262156413,344.61697128564816,705.3992349463596,1939.6322587117218,1356.6988802394214,174.27077037508917,537.9477825509608,413.09395024286425,47.64898900487462,26.659140172456016
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,16736.088773740194,157.75298697519693,59.96113202610663,177.24199452530743,78.87384714726792,113.2818281031079,235.91423278628955,297.65774361157577,31.623495990133218,32.78521775702888,225.81854624812917,22.997253821738106,193.54159855742918,29.155088248385866,16.39799567326369,15.234178325671278,179.6524173872456,50.365449576658364,161.05108360877196,358.7572339621553,92.20196849347509,40.57634526076453,45.836574995234066,200.87581325595153,444.09925423826996,230.38762806317294,181.6500720003798,530.6184384483998,30.83747378574408,86.07401636800012,143.3014442230414,7.825128801752057,143.49333148062965,101.32371110691987,201.67227219886914,1032.2189114242155,459.42793025052646,156.78124745623882,135.95480566179714,300.2326654486132,33.66664668873472,72.98351110169199,142.3977657804187,55.69159333376219,47.4893135493814,167.12087147307798,333.1126176808934,205.89614559526362,217.36705439343444,192.6795039912273,104.24430611867558,85.33340553006245,190.99779197163812,13.97721072415929,37.85333745022052,81.5343500082711,79.52200499931966,29.32257292657303,79.77968067857482,184.440556539572,161.9810676475967,281.1133223396127,27.825744103298234,45.521000647492464,21.1048346880844,38.886934904290584,252.14606806666194,374.868644124784,249.7528382034265,814.9570765453736,64.88202271486838,45.30675440844553,292.8590977791088,688.141527944217,1642.990275829464,1253.7744761489896,159.85304754013828,476.2902950684876,406.774112976799,52.67905006784717,25.517984162797237
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,16555.314585621727,143.05885571232844,52.66675458674024,204.0349173435452,87.94541916811471,105.49470818669782,220.9011245863411,305.36166629137153,29.662208448835507,35.47146965518713,216.31514434376967,24.3728040212611,179.7919996646575,30.736394190905248,11.053240278409442,16.20080640153588,187.78147909570652,46.37152816207882,164.90297192096736,362.80381881713976,91.33983673749363,33.99336006453842,41.20030454126437,182.68323468847817,431.2844172995149,198.80188701811394,206.4618815070151,534.2434673085675,28.169979054834624,79.75418356846609,143.8227674026718,5.629205661484671,145.89345255462752,93.97868177337679,219.0812496141189,1063.8747163063028,451.7097406605643,156.84574767727952,137.07419534921183,306.213963041438,32.907509025338626,75.46004831139129,147.47208083747043,57.57928253955388,39.64977343592123,151.80963880523163,325.8868809748486,204.11529332578564,208.33406421544944,191.93246884356043,94.084750666969,82.86506982182333,193.6394956372763,15.421783167676313,33.705938793419506,82.66711175814358,78.02616128010027,21.316766339882328,81.0680911150398,168.96160985125397,167.43387939487616,276.88028790055563,32.41249315982657,47.18530183170033,23.3162128156941,39.79634649665118,242.49888373869953,377.71755747593187,253.07858522515664,837.9759762544413,56.756539490015854,41.54648482692802,261.79037532029395,651.7171948170687,1626.9526652163215,1230.047009993492,160.09296216940072,472.0007384498448,413.39020143167323,52.47837862319479,26.35910953886761
