subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_curvature,global_total_vertices,10_MMF11,11_MMF11,12_MMF11,13_MMF11,14_MMF11,1_MMF11,23_MMF11,24a_MMF11,24b_MMF11,24c_MMF11,24d_MMF11,25_MMF11,29_30_MMF11,2Ve_MMF11,2_1_MMF11,2_MMF11,31_MMF11,32_MMF11,3_MMF11,44_MMF11,45A_MMF11,46d_MMF11,46v_MMF11,5_MMF11,7A_MMF11,7B_MMF11,8_MMF11,9_46d_MMF11,9_46v_MMF11,9_MMF11,AIP_MMF11,AuditoryCore_MMF11,DP_MMF11,Entorhinal_MMF11,F1_MMF11,F2_MMF11,F3_MMF11,F4_MMF11,F5_MMF11,F6_MMF11,F7_MMF11,FST_MMF11,Gustatory_MMF11,HC_Amygdala_MMF11,IPa_MMF11,Insula_MMF11,LB_MMF11,LIP_MMF11,MB_MMF11,MIP_MMF11,MST_MMF11,MT_MMF11,OPAI_MMF11,OPRO_MMF11,PBc_MMF11,PBr_MMF11,PECg_MMF11,PGa_MMF11,PGm_MMF11,PIP_MMF11,PO_MMF11,Perirhinal_MMF11,Piriform_MMF11,ProM_MMF11,Prostriate_MMF11,S2_MMF11,STP_MMF11,TEO_MMF11,TE_MMF11,TH_TF_MMF11,TPt_MMF11,TemporalPole_MMF11,Unassigned_MMF11,V1_MMF11,V2_MMF11,V3A_MMF11,V3_MMF11,V4_MMF11,V4t_MMF11,VIP_MMF11
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,0.017196329310536385,32492,0.05684730055195441,-0.006257304171661169,-0.007316644255380114,0.019908652912223136,-0.03390952203887167,0.1441204371871393,-0.01075270482926813,0.05448584775908587,0.1277750437008217,-0.05416711791790382,-0.062262863259884005,0.07880592385287552,0.09682943258324966,-0.051470785886825375,-0.04757402945215928,0.05851174511486821,-0.004594691062458988,0.0841506878186453,0.015071350001619988,-0.040311400971791526,0.08900278302737408,-0.10683434983777419,0.08762732284386159,0.0532642926559734,0.08730704038630806,0.12789024350737843,0.04272109911982994,-0.041598480241537145,0.09418149597342843,0.08983298816258879,-0.11439025518940944,0.04352166525468248,0.01333460511724015,0.07288848170600597,0.01670008740706921,0.01506252660692553,0.06265662581021045,0.008876027259421312,0.07680534855192972,0.11010609378784218,0.045385268553863045,-0.0010174653098996107,0.007520637296731063,0.0,0.03319889894282371,-0.03147081042587442,0.11945043592986546,0.0027104390259078165,0.043343617681658925,-0.0631467479515134,-0.055616615828666206,-0.04619666741611126,-0.0055130451777949925,0.057981378005210374,0.05758996127511014,0.019111355576479368,0.006858326308429241,-0.006177880534578564,-0.0037837368086911737,-0.0008918552477573176,0.06286007627175931,0.11787956576243196,0.0038365552241574653,-0.06806718299765689,-0.0054282991512106405,-0.03869902282994589,-0.013947723359881922,0.015216431738324947,0.03925879333497136,0.056176157319801044,-0.05606424777756612,0.023260865126790684,0.01509232861536828,0.01963819147451788,0.021267606012165565,-0.04542400389965475,0.03223649364621907,0.041849150527735496,0.009455441391764907,-0.07140194210543774
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,0.018083415925502777,32492,0.052697198433400004,-0.00548229604663158,-0.011335603244085425,0.04189659912280101,-0.03580995843591294,0.14493576194281163,-0.010667448381678242,0.0314505478448194,0.13239120751619338,-0.054516086387085716,-0.059467699330011586,0.08019922769381083,0.08740828154772959,-0.017490977130364627,-0.06220983620733023,0.05561220620630162,0.0020107901571353786,0.07754500712550137,0.008314575547231234,-0.021966175947351552,0.05551050171876947,-0.10065285304217073,0.1010688585342794,0.04450638131485434,0.09598072842990488,0.12760209704526157,0.0420914481584809,-0.037610446812886694,0.09629337822015469,0.09610298146933878,-0.11710084017877485,0.04681538606890618,0.030806213793327736,0.06972538768284538,0.016171055126105484,0.01718355742279008,0.0647688675115047,0.022349247082144887,0.07508641326132741,0.1109841296618635,0.054894758739119656,-0.0021528986238020784,0.018523041812538093,0.0,0.048923764537686286,-0.029135695968682446,0.12837504380515086,0.003983453744770446,0.04102743568647939,-0.06214622186389258,-0.059661700198417884,-0.040058976963337045,-0.023202619701623916,0.035262476039911464,0.04055585358150278,0.02289570848520166,0.0032581175153609367,-0.002797130392930398,-0.0035139919447936016,-0.009920156410078769,0.06346831430986577,0.12716561584372302,-0.012080902529721575,-0.07092913842773926,0.015684115190910917,-0.03535657307197099,-0.012746827463410493,0.01306822703922222,0.037504323706122576,0.07172111153498396,-0.05724471622110846,0.019260535551927194,0.015000839594637569,0.020918880611812494,0.023124503637972648,-0.046390271487588834,0.038925544768647354,0.046712118903834345,0.006365333652903079,-0.07181306307751487
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,0.017485670745372772,32492,0.0399466323966288,-0.007370102954816751,-0.009117166755169654,0.02860522333793412,-0.03409527859056962,0.1435085391757362,-0.008402359515989926,0.052435852728946054,0.10838444466081758,-0.050814952791105844,-0.05856298909803508,0.07781594604454464,0.08586849903633051,-0.04814565775450319,-0.05849739173917394,0.05773136850305156,0.0024190844476723932,0.09017504234828103,0.015329136888892071,-0.02939353107659688,0.058782388039657636,-0.10012514903467926,0.09304221384880337,0.04210196175865039,0.0868616848826853,0.12256860200019824,0.04333509643224271,-0.041933927180009406,0.0875073818418269,0.08086389518545842,-0.10782390716029149,0.04594597334214069,0.024160786630592814,0.06254457190132015,0.016570877091822103,0.016152349209317306,0.063634285264635,0.022341791189579192,0.074216414563981,0.11782144974197516,0.052201223273796934,-0.0009225223287163923,0.012636926219859864,0.0,0.043003234186381176,-0.02828613741341388,0.12622170818231174,0.0015742986860806558,0.04663658274812031,-0.060704719604197606,-0.06253099187339943,-0.04345365976084637,-0.02003252610564232,0.05506836052936404,0.04400715533526497,0.02696591653931199,0.010036081448197365,-0.0004468603218172459,-0.0009185115556379863,-0.006127549234585491,0.06394920201934508,0.12082003433333367,0.002430278205045665,-0.0698468020144996,0.011219705622058545,-0.03860788727833707,-0.01336805776500763,0.01416075315920624,0.03587881955253773,0.07170085902846829,-0.05902510225169886,0.021326511173169384,0.014404592158952075,0.020366579890386198,0.023378905623017733,-0.048376965107324414,0.03718345245150121,0.040642205940026065,0.007483125959192783,-0.07622228780377457
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,0.017824755981564522,32492,0.044344571491906945,-0.003911428468365391,-0.008978939406998425,0.02878185403550786,-0.03555563460667055,0.13833803027633965,-0.00741745940093013,0.02749573785948324,0.1430767071309189,-0.05157052289329051,-0.05831103247280977,0.07540339725795396,0.08820062212865143,-0.056125376431737095,-0.05563743069784291,0.05551442734031298,-0.0022886649495569254,0.07947855204409467,0.015098367072243168,-0.03032301004946311,0.08442071571609833,-0.1000879700624627,0.09708464138482047,0.0420017356127613,0.08956128143745445,0.13177366694629503,0.045618963709962816,-0.03867005728657397,0.08220756268486953,0.09664223793485802,-0.10532611232323974,0.04637062942371796,0.028601798619814055,0.06807131658098807,0.015824965170585577,0.01628277859334568,0.06542949512642235,0.020386651979823086,0.07363553449420793,0.12922370006245645,0.04052107165128441,-0.00339415589075846,0.008013361781195272,0.0,0.03780092196006198,-0.02781154301591811,0.12449536233542245,0.00047047504743274587,0.045994549256109386,-0.06027649483329504,-0.06109221795296225,-0.04351350231912493,-0.009025080385617912,0.04365196819651939,0.054413911823586035,0.03228340599772997,0.010148895991733298,-0.009243880378756118,-0.0018130635870928767,-0.006981129674537629,0.06560592175810598,0.1268554679973393,0.020480594935722275,-0.06792461405744527,0.009437553850816972,-0.040191915228036994,-0.014140775714233274,0.009683874729633718,0.039939396252976544,0.07168807376296604,-0.050180918822148576,0.024593071776525154,0.014423403788156174,0.021608004855495553,0.01990327678771431,-0.046874819212949816,0.038521825611567334,0.04457278517267214,0.005109532443347401,-0.06868817321849517
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,0.018134234473109245,32492,0.05197588716055724,-0.007339450551212808,-0.01054337313991544,0.038354691050603594,-0.034812874587509875,0.14423336336335194,-0.004956108835940233,0.038079814524794725,0.12800101937105257,-0.057384101857241555,-0.060480934942303145,0.07696830402934816,0.09040971670080633,-0.007162562372589794,-0.05859177523668398,0.055007281057968566,-0.00322726976843445,0.07639975959859722,0.014053823928845478,-0.03256186585690073,0.06452850236867864,-0.09382913711116365,0.09733672045375698,0.045178819585411215,0.09219810858849087,0.13306462641145725,0.0437060437649681,-0.03074346342440498,0.08948759349206319,0.09927779141724212,-0.1159911431079986,0.045249461640882796,0.024478862589979864,0.07578578147284523,0.01620296606000651,0.014879544978612103,0.06304381275718249,0.0198511752560513,0.0744123086826542,0.1115748204544864,0.050440833724068504,0.0003128088594045645,0.01084153361201364,0.0,0.04485343247582552,-0.030104549555804803,0.11566349154128304,0.003132389179100093,0.0343984761273171,-0.059367953647531314,-0.05730572703849668,-0.04091862351018681,-0.01403167337179184,0.044617217006525205,0.051693195436225345,0.0196690947707842,0.012677873845677822,0.003471843186594176,-0.0016116080045535722,-0.001582438240203119,0.06346699153721296,0.11912031363391755,0.00855158130970401,-0.0700167218751427,-0.003633100086313593,-0.03796077716199645,-0.012656989309342228,0.011309468536940101,0.03871089246980012,0.07266266873900916,-0.055164418201177165,0.0257346440215072,0.015476459438710313,0.02282817678062301,0.017961228088493788,-0.046945709235188454,0.04144137502588922,0.046740473558145285,-0.0041728406872514785,-0.0749418483176162
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,0.017225995659828186,32492,0.048974690941430095,-0.007690784029281614,-0.010171119736531347,0.027409872469051105,-0.034986648542913966,0.14250291999685916,-0.011663396177876616,0.062329892246255084,0.10690438142453786,-0.049885374779474134,-0.06357250239639341,0.07704161253883891,0.10849885489134227,-0.054942478804150596,-0.05829969680819072,0.0606058819037954,-0.001856839672351877,0.07744807907940225,0.013325920561448134,-0.030221763157767922,0.0719319282966252,-0.08823758164995209,0.10059420662760314,0.04451618468601935,0.08661439242165546,0.13143230713127801,0.038918955261421674,-0.037796289092716824,0.09710993485955091,0.0807881786155894,-0.11405902534869372,0.04636277398698577,0.021890030618406258,0.05596144843565406,0.014827275630484292,0.013334164439168359,0.06403277258631652,0.027340428329396326,0.0708244103963593,0.1215167599095201,0.05130326059275554,-0.0005909356690244749,0.013206762638825845,0.0,0.03841103306316727,-0.028982008631211215,0.1189240512818995,0.0017441194084842392,0.03742354729458949,-0.06238538450906153,-0.05693548885834529,-0.043766082424887685,-0.024174288734793662,0.0384937764196245,0.05475061885416843,0.02466430282664578,0.014238325785845518,-0.00028563717112658506,-0.0031200428305002037,-0.0028848508696995385,0.06106411536375679,0.12695838998984166,-0.006248894039281579,-0.0711362044163632,-0.005056392986143651,-0.038094787246191066,-0.013248890566898494,0.012154387443193368,0.04060147212529834,0.060352652469630376,-0.05760441808543431,0.026893604014942753,0.015161087079815,0.02230879059214258,0.02251251625389217,-0.04744152782311195,0.034934418878388725,0.04424720126345857,0.0058390440850528144,-0.0717434624311308
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,0.01739429123699665,32492,0.04448043760839392,-0.0040439843446206806,-0.004759225395901012,0.029436758962718954,-0.033289626752286076,0.13731612862455592,-0.007754713194270223,0.06749437526678262,0.11594148175790905,-0.05359428682715101,-0.06149355345658715,0.07069434972327145,0.083056370878373,-0.06621710195516546,-0.046417862078861186,0.060275163510500294,0.002441887615008675,0.07927538177803702,0.01767846202189366,-0.04261439302705017,0.06742586513153381,-0.091878860208216,0.08902625545501573,0.04064737526718345,0.09488845722105245,0.12733247789146845,0.045974483721166554,-0.031153170706730494,0.11018546997488907,0.09159550163974628,-0.11594360833074532,0.050193776527899074,0.023925020773182544,0.05803246630513865,0.015990910848311373,0.014760249566565367,0.0653222424933093,0.012161371599566857,0.0711588206123612,0.11960024960386693,0.03886951535167998,-0.005229504468540351,0.008321152252392494,0.0,0.04365974976982347,-0.030512916887487272,0.11853348035228957,-0.00030651223899949017,0.04552081191890166,-0.06324605049105064,-0.059417926623539716,-0.041142110114106054,-0.011625765915960073,0.05686506710159309,0.04541697766897185,0.022638487523396762,0.004686645681795198,-0.00433176887677388,-0.002865384784544243,-0.008890494133456717,0.066132300268878,0.13509222922124425,-0.0034721217717426692,-0.06647596229475909,-0.009403110434814886,-0.03860714274673422,-0.013752352556862111,0.01910425428688139,0.036291137017961494,0.06151969235559756,-0.06139705540949646,0.029156846863262306,0.01696969339315244,0.021523617260380615,0.02167079854095512,-0.04894025311621087,0.0381220209199822,0.045182772682897686,0.011579461079756064,-0.07856661283041401
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,0.017740176990628242,32492,0.04660614098500304,-0.00584797222307481,-0.010402978787086877,0.031414982436935565,-0.03530484614800246,0.1409978150310791,-0.011936574357946346,0.05113837494433898,0.11450481663147609,-0.051746726737227675,-0.06389147651877822,0.07762684116823948,0.09735601417282048,-0.016963336054080475,-0.05155858940040497,0.05745224739381995,-0.005054691294913717,0.0736716770244619,0.01264289610885436,-0.03022505151834884,0.06822490350395027,-0.09224915007507661,0.08736219091916587,0.044087031745105705,0.09369185289721248,0.12998343756601874,0.03930850009247048,-0.03544373159021349,0.1105510512366891,0.08231765592362324,-0.11869921462208617,0.04787924458637377,0.016331971553572185,0.07120391800717756,0.013677957432929986,0.017483814834018372,0.06905530763986567,0.024759660328050985,0.07599157888227423,0.12622209927278824,0.055245119099847126,-0.004139332171471324,0.011517317692020393,0.0,0.05001040196147011,-0.028315651203972177,0.11699572810903192,0.003484502329004171,0.048282360602021984,-0.06128334154309047,-0.06216421099872185,-0.040962279942712045,-0.020242078974843026,0.04799410081167837,0.05383340823571596,0.025442656427079754,0.010474618093576282,0.003447380042403725,-0.00443895610726887,-0.008295826018846613,0.06512638615496982,0.14706514283482516,0.004005669433869017,-0.06737002669903103,0.008723729734064703,-0.03947869637599313,-0.015429766232576208,0.01406272228727081,0.03896541555924331,0.0719374896676794,-0.05629975203639613,0.017160162610186852,0.01579127693947025,0.020223594418004583,0.023246412939044583,-0.043650202035341666,0.03829355353791914,0.043213905247143206,0.00683202745145833,-0.0726510809533625
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,0.019955718889832497,32492,0.039883896865684006,-0.015271615838917734,-0.0026756085768614535,0.048523531454664315,-0.02892407854353103,0.1467111565053937,-0.010063303340723464,0.02192958550016477,0.1174465723351265,-0.03469102487188617,-0.07579924882156774,0.06638063315719288,0.13657860636628946,-0.00959394231904298,-0.06500470265746117,0.05868034496530814,-0.005745764015679897,0.07131203022063112,0.005025872486732798,-0.02070147363206451,0.040293961057129006,-0.062280315465455795,0.10377496328869822,0.049550473791896366,0.10696658740190204,0.13396772156023265,0.06075373681792405,-0.08941991831844961,0.07535660021150341,0.0604313305572747,-0.12688747353340482,0.045189523256168575,0.015246506784306207,0.07565462109041561,0.02120770180405433,0.018572326612723244,0.06704165357782124,0.019794282828418847,0.07401827690003249,0.17973862605338747,0.02267948509034807,-0.002078128549013248,0.0031254181849362794,0.0,0.07076127824619116,-0.02658780063576275,0.11390213249981887,-0.005291372704334405,0.05661839417405148,-0.06265210263319948,-0.046476562245516106,-0.04998616197654022,-0.01717224409803748,0.024596050692315713,0.05785707509599265,0.02584034997262487,-0.0025514277163892984,0.00557971345355688,0.011934096114846932,0.016766997107065675,0.05888131988658285,0.16780169646502757,-0.004401376025115912,-0.06929639109702253,0.0010100331646468565,-0.037837391696035554,-0.0170090269845394,0.012744488457350859,0.03900686634789441,0.06785366966525887,-0.05281718500079408,0.024713234687925714,0.022497820297250327,0.02145932946238633,0.028619198043678292,-0.04724755907979883,0.043901208617405436,0.04498009704560082,0.01944799654480374,-0.09229673958518578
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.09491567154991998,3084,0.019949276000261307,32492,0.04042949454794766,-0.013005529199621047,-0.009739357712037005,0.0376835148094425,-0.03174621666954948,0.15057273918384875,0.0016047370398995391,0.044333996230979326,0.09080448017145197,-0.039629084085211805,-0.07533832641986563,0.07417496320679978,0.10538195402306669,-0.031292647026324026,-0.06332694177041974,0.05749869514626258,-0.0068260115779897506,0.07649592489682479,0.006931119341158455,-0.02740724657122244,0.01174255791378932,-0.06672710716931919,0.10995986441820406,0.04722052558402758,0.10107355859707406,0.11838092477798151,0.07245435832458709,-0.09167795061645373,0.07209924439756343,0.06826813564959144,-0.12590194654230977,0.04299845747351905,0.015776091744116677,0.06581969124538847,0.021847492830252703,0.0162509911793677,0.06515644754298315,0.010817894376530256,0.07184257070184685,0.17527245967225594,0.03782995082937178,-0.006047576285976295,0.0025590794890983184,0.0,0.07076543480544745,-0.025563165309927492,0.11200196558179014,-0.003366675917219847,0.055907999062675226,-0.06683961250272466,-0.04509886643410517,-0.05196498909067302,-7.027387619018555e-06,0.03602935691256055,0.062683232817673,0.02526965479440685,-0.018343657445439022,-0.0007935342022237625,0.009518522252790932,0.023490436874662842,0.059998799827446506,0.1456586003531607,-0.0033223637173948593,-0.06963498039004296,0.0018482091476422454,-0.041682705494814724,-0.016573274038519555,0.01225601822657922,0.03633753720819677,0.07716534239031583,-0.0519430271046869,0.020269725091551265,0.017632478553205377,0.022805115017232487,0.03071472330523246,-0.05305873145970257,0.050516695350043564,0.05002776713936089,0.0198224300651678,-0.09783275372114118
