subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_curvature,global_total_vertices,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.01809614524245262,32492,0.03524143987798195,0.012509403183558407,0.026824543335681243,-0.03230997167036675,0.024829477430813124,0.023150482734864843,0.01775402860103437,0.017581376788884696,0.016047335118836138
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.01783258095383644,32492,0.03369569194108946,0.013818829943391113,0.02997365589376988,-0.02709264232766868,0.023672564466631414,0.0023500408777701004,0.01913721810399069,0.01651274086501381,0.01604014426826023
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.018913092091679573,32492,0.032985630683104006,0.014814321508207983,0.024244635194417375,-0.02948464454432262,0.026204710667858566,0.039022512538192264,0.018779690661839907,0.017680075465050522,0.01707590612817828
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.018895450979471207,32492,0.03662478271424579,0.014107428452587237,0.02498652962734641,-0.03278211953999087,0.02653931496609408,0.04043510198426832,0.019384515055335033,0.017974115119326235,0.013400552643141113
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.016904765740036964,32492,0.034124710890107726,0.01148011562212584,0.027294193969564395,-0.032566764388194495,0.024766208797712554,-0.041178061973436604,0.01889974408834248,0.017006336802894807,0.014849442843676581
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.018655216321349144,32492,0.033729829799361344,0.015134160067332545,0.026010505766514563,-0.031970233240198605,0.025571163769549578,0.02428508012755109,0.019228487711459595,0.01700438269383322,0.017513181407433284
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.017625832930207253,32492,0.03389600814677587,0.01306963839857753,0.025276846691637454,-0.03205097366255405,0.02450998188903619,0.03053802800664146,0.01927403530764873,0.016068689805082532,0.014826533604569724
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.018289171159267426,32492,0.03400142136634337,0.013948451762499751,0.026972818142159412,-0.033957713801178374,0.026699980821510674,0.04127323696664202,0.019372546860040838,0.016686851207013992,0.013220444984046295
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.018901366740465164,32492,0.030999287684788435,0.014360022682528858,0.032518447052283884,-0.03489070486437826,0.027756466694425636,0.032729354512079485,0.020994507105178146,0.017873796608799696,0.011498108220797392
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.01951010338962078,32492,0.03214369105823189,0.014165174439062272,0.030961052410313033,-0.028973849604496796,0.028096959264972052,0.02469212124423523,0.01999968227799112,0.019540523868346257,0.012854510723555106
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.019516266882419586,32492,0.031613781549427566,0.014467544033857305,0.031712612870203695,-0.03221846611807505,0.026545792878687247,0.026516657153011432,0.020765296099723884,0.01897029780419211,0.015580363485803456
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.01977260783314705,32492,0.03385051005543654,0.01543703774810285,0.0325272893557211,-0.03397280701235222,0.027046589552706043,0.02644801266279371,0.020437481327200906,0.019727594094811018,0.011396460650317866
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.020209988579154015,32492,0.030675666443452657,0.015810479139483354,0.030447809339055002,-0.036950695457866806,0.0282533516703043,0.0381509180390276,0.02133251612254658,0.020536083176694996,0.011182549580776845
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.019050203263759613,32492,0.03183820764394204,0.015148062988284743,0.031660242267514634,-0.035497189376595774,0.027913056621045693,0.009752427888202613,0.021515404679069282,0.01823013180178992,0.011988778753732015
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.01963626593351364,32492,0.032565993609245183,0.014988492292290012,0.02846827163432214,-0.03400280277008978,0.02713062578588535,0.03838677637977526,0.021926857049983248,0.018903382456624835,0.013206088617077559
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,0.01939886063337326,32492,0.031885062983478735,0.014550301272285274,0.028800554702243745,-0.036261633678254225,0.02764165929252503,0.01666531644013178,0.02067824384916568,0.01962955609248504,0.012953309951140397
