subject_id,session_id,age,sex,site,breed,weight (kg),global_total_cortvol,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,18439.84252476308,1141.4044095750141,3351.2990539468606,864.0343591008228,162.990527985164,2858.9472238050357,89.63491569015143,1853.6074605897322,6249.612189558799,1868.3123845115003
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,18511.728246852872,1140.9472000078347,3298.319448693035,822.4645003256355,176.02961818818895,2897.5997254567246,128.42552677196275,1909.0089411209551,6271.9295899859135,1867.0036963026232
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,18645.109593514117,1117.6349468597914,3373.2207736896767,952.500151453585,147.5058776532173,2887.8035935861603,122.28366229369774,1867.384055063745,6301.383581408732,1875.3929515055127
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,18648.308668104903,1193.8075884811612,3348.1603253975513,870.8262186374615,155.29212917487635,2856.5391675875917,92.64996259932657,1900.2420505357647,6357.259608474601,1873.5316172165683
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,18636.163024730115,1174.2792965855865,3315.258839788928,886.6200010328348,169.2925027302329,2882.8067639965548,126.12376798356223,1876.3522210561416,6317.636283665934,1887.7933478903394
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,18669.912337994338,1162.2638128919,3319.592738360836,864.6561612395625,163.62423912274633,2830.518420794089,131.05594238624633,1869.8046137947292,6370.263258027355,1958.1331513768723
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,18731.306190465843,1136.9999653846905,3426.533715364439,908.7857486926945,156.2228661524777,2844.1392376096455,82.42108382056902,1896.6028865214441,6370.634551741735,1908.9661351781492
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,18917.953203758567,1195.3300280169994,3400.2875685263925,894.9657657927544,159.0700648688988,2888.0982794808597,79.88606574362059,1955.4140365933958,6447.910662197053,1896.9907325385905
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,16810.20370661638,1132.7465358608267,2919.950880869039,806.3183513189857,148.510416964663,2657.573104767589,98.4720504103043,1748.2770664273519,5699.837077160756,1598.5182228368642
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,16771.917732847047,1092.17207913058,2931.3628184813724,783.836576356078,153.9860008354505,2697.1030516372884,102.91940429007373,1724.8666775582658,5680.970696495288,1604.700428062649
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,17021.62740316503,1104.975389262688,2980.897260753905,789.1815970733344,154.29643542257904,2668.828286491527,107.8179179236215,1759.8920348355655,5804.613737738508,1651.1247436633005
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,16893.994124205918,1133.8771791316706,2949.9859545560184,770.6229560477673,154.1009928903991,2619.2735934480897,99.87930084829034,1797.4417839393143,5764.799070666855,1604.0132926775113
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,17066.41813843279,1150.8008710960455,2912.986173920805,809.3903677721669,144.5869467505165,2638.6102467866726,106.24032066932563,1816.423096873695,5834.538663818181,1652.841450745381
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,17110.594537549863,1159.2950978941906,2998.546397334192,761.1349501752793,147.51466689689804,2666.0987861709687,81.37542611260135,1807.5643775681283,5842.995045263768,1646.0697901338374
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,17022.18647856637,1131.100809231179,2913.228579125221,794.47051794994,160.38385003132404,2671.980558967088,83.52604065272799,1772.3038951913752,5839.2044912107895,1655.9877362067284
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,17059.617445025175,1142.5982227070456,2968.571451508207,794.7101513284969,149.9176630732204,2683.808540633413,72.99711790131254,1801.1490865945418,5815.317732035377,1630.5474792435607
