subject_id,session_id,age,sex,site,breed,weight (kg),global_total_gmarea,global_total_wmarea,AUDITORY_gmarea,AUDITORY_wmarea,COGNITIVE_gmarea,COGNITIVE_wmarea,EMOTION_gmarea,EMOTION_wmarea,GUSTATORY_gmarea,GUSTATORY_wmarea,MOTOR_gmarea,MOTOR_wmarea,OLFACTORY_gmarea,OLFACTORY_wmarea,SOMATOSENSORY_gmarea,SOMATOSENSORY_wmarea,VISION_V1_gmarea,VISION_V1_wmarea,VISION_gmarea,VISION_wmarea
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,12707.03125,9747.509765625,805.7051284387708,531.8412887006998,2419.2988796131685,1857.619284644723,624.3463379777968,439.4795570448041,83.49555482342839,92.791016086936,1526.6362245045602,1006.3534745723009,72.63137666881084,66.13784236833453,1292.4360269242898,963.1263385936618,1351.3864017426968,1138.9310421645641,4531.095529505983,3651.229156821966
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,12772.27734375,9721.4560546875,810.9202613849193,528.1177392452955,2404.6037456262857,1837.60485339351,608.5562812052667,430.4794367104769,90.88269919157028,100.2096136957407,1535.9266063701361,998.9399008452892,61.952935406938195,70.16054812073708,1333.7680573603138,977.3640451952815,1335.9894767217338,1115.591345012188,4589.676796514075,3662.9888815172017
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,12700.82421875,9699.5751953125,794.1455612163991,530.8534578979015,2429.068593384698,1874.5636033006012,669.0841373521835,447.06646143086255,79.04001948609948,89.46668423712254,1527.0046169757843,989.8619643747807,58.80830744281411,56.373449362814426,1293.374133065343,955.2530702203512,1342.6968441456556,1134.2838188111782,4507.6010681139305,3621.8524910248816
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,12755.751953125,9785.0810546875,824.4009127244353,550.9146321117878,2458.1826111292467,1905.876301964745,631.7681950610131,438.68966134637594,75.49098850041628,91.80526611208916,1525.5633514430374,994.7317620962858,70.173848150298,70.49202778562903,1294.6812699772418,948.9898690581322,1319.4460856560618,1132.587393194437,4556.045174986124,3650.9939655959606
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,12801.333984375,9765.619140625,817.7821570299566,529.6457423716784,2420.558460299857,1865.7338917646557,643.6420911755413,444.78748405724764,81.80207709223032,98.00240318477154,1538.2780607361346,1004.4442003667355,88.5552916880697,71.95640835165977,1310.4205770175904,973.3879038766026,1327.3334969170392,1113.7012431621552,4572.961849107873,3663.960035394877
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,12746.8408203125,9751.6201171875,815.7911299094558,534.9417268037796,2411.892078531906,1865.9658684246242,615.6478187032044,449.3271945863962,79.88726229593158,93.53421126306057,1515.5707333795726,994.8962554931641,69.15726742520928,67.90386539697647,1300.9491086248308,961.0099991858006,1386.9007531292737,1144.9639076590538,4551.04378397949,3639.0768144875765
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,12785.16796875,9790.0703125,803.8611537907273,530.9695101827383,2492.460299629718,1906.6303206644952,648.6159149501473,442.28947500884533,76.53239568322897,90.07218165695667,1506.3403442334384,998.2546752393246,68.24219054728746,54.94581035524607,1298.2559524290264,957.9734945297241,1357.4417501948774,1148.935942620039,4533.416797960177,3659.9987281039357
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,12894.349609375,9831.4638671875,828.7151317819953,544.2366571873426,2464.246604652144,1907.6620920188725,638.6003058105707,445.1446022875607,77.39050084725022,91.25436712801456,1527.5010851360857,992.8275252580643,71.0198863283731,63.0079387743026,1326.3484952794388,968.4917284399271,1328.6521233636886,1135.3556651473045,4631.87463930808,3683.4838930368423
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,11701.974609375,8752.734375,750.3060720749199,489.591465651989,2284.7963896915317,1692.2172268815339,616.4514144957066,395.3394094482064,77.31144041568041,88.76436150074005,1363.3014369681478,872.3900223374367,49.59859887883067,57.29541330225766,1213.581830742769,876.3090268298984,1199.5372438263148,1038.523671284318,4147.089272628538,3242.3033389933407
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,11597.93359375,8706.0859375,722.9064376894385,480.7391739785671,2238.055196052417,1663.863334596157,576.5760472286493,388.85199842602015,80.76432934962213,88.9624417424202,1391.988880686462,893.7589057385921,43.16108948085457,53.5215858630836,1213.2742358446121,869.7264899536967,1175.0863378196955,1015.4406175166368,4156.120421114378,3251.2215774403885
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,11733.328125,8721.427734375,731.2225096896291,477.01347011327744,2272.631460512057,1664.3586989277974,584.510475717485,386.5837808176875,79.82168966904283,92.60077074170113,1377.4252607151866,887.1131861805916,52.75900599081069,55.690447475761175,1224.3506965627894,875.876620978117,1200.043416209519,1014.3661991208792,4210.563301151618,3267.8247947096825
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,11688.80078125,8751.4052734375,748.3832636196166,483.88275299966335,2276.1063557453454,1709.445670723915,591.7881479896605,396.29455027356744,78.43981897830963,90.14641697704792,1362.7576166857034,878.4842370599508,59.42078318819404,60.63626308739185,1231.444645166397,873.492014028132,1176.2228788770735,1022.381148815155,4164.238059883006,3236.642423041165
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,11718.8115234375,8773.2158203125,766.5846141502261,497.0012148320675,2253.847992932424,1683.9650718905032,606.1515929363668,404.37328174337745,73.22433719784021,84.81727868318558,1357.7270541582257,869.9714071899652,41.04963088594377,61.14216009527445,1242.6286120647565,885.5340965092182,1190.7771149650216,1031.248242110014,4186.820320917293,3255.1625285074115
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,11825.234375,8826.2041015625,758.3822493515909,493.74433805048466,2327.9612486492842,1718.717672791332,603.0383338686079,403.91780933737755,75.74870258197188,88.96218992769718,1376.2357017472386,885.8290042132139,55.54086085036397,57.76871790364385,1238.4647900611162,880.2079214006662,1199.896742992103,1033.5253535211086,4189.964905262925,3263.5309918150306
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,11808.994140625,8820.642578125,762.2184611763805,488.75060853362083,2293.769970804453,1711.5885886773467,621.0653944313526,407.0863559767604,80.44402469322085,90.50911267101765,1373.029850507155,880.3419926613569,55.88516664877534,58.740263409912586,1211.0972354579717,857.425460472703,1192.285033615306,1037.0994472801685,4219.198458588682,3289.100416019559
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,11810.533203125,8784.7861328125,750.5242932401597,490.7559340149164,2326.812641106546,1711.6695456504822,604.8700879011303,406.2003081589937,78.82596454955637,88.29483740031719,1380.2690556813031,883.8667784780264,69.35338616650552,57.447745747864246,1246.0200013872236,877.9760204553604,1181.8434919156134,1024.2411552369595,4172.014560391195,3244.3335474468768
