subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_thickness,global_total_vertices,AUDITORY,COGNITIVE,EMOTION,GUSTATORY,MOTOR,OLFACTORY,SOMATOSENSORY,VISION,VISION_V1
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.5443745851516724,32492,1.7177366428710847,1.3628246114949807,1.329736058316072,1.6684719843067206,2.102844339882904,0.8167565425804683,1.5839431225623712,1.5043798869059037,1.5026911913478795
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.45698082447052,32492,1.590464560936623,1.2986800754772365,1.2462264987045746,1.5952731942528806,2.017800700793104,0.7859571364947727,1.51067456326101,1.4076158557097913,1.3985673158491079
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.4770746231079102,32492,1.5901240732662838,1.3274826560527355,1.3349603830319499,1.5555798531706777,2.0126271538213465,0.8090623758520399,1.5327189289854974,1.4374563949981045,1.3729637979247968
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.5508365631103516,32492,1.7214419749824883,1.3386926925836706,1.2807524165626478,1.7005700027152943,2.1153601096708408,0.7865357858794076,1.613361122307174,1.51683751198485,1.5372287858329061
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.4706923961639404,32492,1.6233751543456159,1.329049677285514,1.286069756184313,1.6180919089151857,2.0332188684864017,0.7246855116741998,1.51611356538539,1.4191562325328764,1.3807669229313342
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.4801714420318604,32492,1.598521113640402,1.3228223836108757,1.3036418947936927,1.6494756380466256,2.021513550084087,0.8252902855191911,1.5278950068273056,1.440716302488121,1.3954120092380065
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.5565773248672485,32492,1.7042783247410727,1.3489310507855714,1.3366103689215614,1.7148896019541502,2.1148029339131003,0.8036899069377355,1.608475152214379,1.5264138494178223,1.5293821777158436
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.561553955078125,32492,1.7329044674848182,1.3684865121122631,1.3204300424786541,1.729402355215151,2.1343455727347584,0.7929003045388631,1.6169124345926695,1.516198140586183,1.5430751551406174
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.5256586074829102,32492,1.779425367337168,1.2265072743641048,1.2826848392761259,1.6225287914276123,2.176962190335545,0.8068910454000745,1.6197060924240387,1.5071746613194652,1.4264759410590437
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.4630966186523438,32492,1.703152412018818,1.2428904752664252,1.2396021446164507,1.5574401718584896,2.087516491373297,0.6535849312373571,1.534250076031562,1.4251045803204954,1.3536878159289718
sub-032218,ses-003,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.4650858640670776,32492,1.698203325061854,1.252672518101921,1.2755640205985035,1.54286606924767,2.0402579764234745,0.7131561081750052,1.5329587422422328,1.4312236928187152,1.3639215313115611
sub-032218,ses-004,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.4693893194198608,32492,1.6974912540304345,1.2277549343072907,1.235105654860165,1.6006758154754759,2.048628091438827,0.6816658500262669,1.5687849470687991,1.450848568377837,1.335747654147778
sub-032218,ses-005,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.4845112562179565,32492,1.6944736397161513,1.2566485392122206,1.2411191051173704,1.5821146278727318,2.0826180220562795,0.6247684686524527,1.5559518408626762,1.4624741807033086,1.3847039681265614
sub-032218,ses-006,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.5403900146484375,32492,1.799772604679432,1.2410852741212792,1.25333572142195,1.6256484505882023,2.167984999462226,0.7991069211278643,1.6389307123443615,1.5248877681356727,1.4677903500432792
sub-032218,ses-007,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.537867546081543,32492,1.7660851892488094,1.2285191776930906,1.2599561952933012,1.7085030661772478,2.1732409410204587,0.7814889182363237,1.6457429026498023,1.5202459120023772,1.48271721809782
sub-032218,ses-008,5.0,M,ohsu,Macaca mulatta,,0.08405145882063277,2731,1.539864420890808,32492,1.8032039164448064,1.2440654024197038,1.291399162540985,1.6154274414014365,2.1762779595624595,0.7255996138708932,1.6221368988979414,1.521398581025321,1.4779554455785708
