subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_sulc,global_total_vertices,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,-0.3810116648674011,32492,9.22514603199897,-2.962094164556927,2.763282966604711,-4.380236716831432,2.6692506638784077,5.328109005391846,-1.840558318904043,1.1300774365473463,1.4774253294936248,-3.8121632720429406,-4.217799910704448,1.1793661539987572,-1.5160184675163921,5.289424924463581,0.3335350951827245,1.6633444113558844,-1.8175000004719637,-6.482902338215406,6.680140573151258,1.057845282245357,0.4102290904819965,-0.9902135650888656,3.526460690806902,5.956763634150944,6.226105060617803,-0.3082068575044664,-2.7447263951265906,2.294279978615897,3.5712230424086253,-0.47483994188192097,-3.063874595412394,-0.5767102757809868,-0.06931378166465198,7.050028582413991,-4.276225825458502,-1.2765537648447576,2.8821725127608495,6.512392312004453,0.8565116955037858,1.6157506726833895,-1.0231940505929804,-4.197895445674658,-2.0293743247393428,-0.03059945265452067,5.921570275668745,-7.706634899589913,5.648778332207276,-5.6668848658516175,-4.527519236532883,2.3806232993100016,-0.8050339686892792,-5.048185722107457,-5.710786088993971,-3.8130359969214895,-7.8728957083937745,-0.04063452838195695,0.6137801291516576,6.8424822162914944,5.275359488139718,-6.017342434589726,-2.223679711491093,-1.8840762615203857,5.617684807888297,-3.5645138836064474,1.911985695362091,4.650447261129689,-4.470274480319889,-2.6474762090650166,2.896668682767218,3.0494415124800676,0.615082472976711,-0.7553097867674178,8.379878836570025,2.9820946344533508,1.9638209280624888,4.203471264267554,3.603682966571925,2.0343018773921013,4.883963128571869,4.488914905844263,0.41176103380018175,3.5400205354824243,-2.9928795329215836,-0.5743938519950995,0.529545674413081,-4.838227445016329,-0.9862397943964396,0.5101222760554256,-0.9244573086846707,1.0705523862522137,-0.27455931035849046,-10.708098775885079
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,-0.3129846453666687,32492,9.662246704101562,-3.5288802224704776,1.8502698383523337,-3.8647138160817764,3.193076209742233,5.243593751493086,-1.7816906654846802,0.9924758462881555,1.151202847861818,-4.314104954744208,-4.1607668914759355,1.4534511196883924,-1.5663476012561512,5.236322191549004,0.45659309001715204,1.7532008922217708,-2.1408571328741344,-6.3477347818189775,6.879273570313746,1.3015370312726722,1.8752654635906219,-0.0839430040546826,3.5715083744438303,6.190285369057746,6.622604796441935,-0.16067229518487763,-2.1440302552439587,2.3305512526631356,3.2531054118914264,-0.7479962601825811,-3.1738912281466694,0.45448820104061716,0.1937982928226976,7.0141584277153015,-4.313559277658969,-1.5477606108799804,3.57751268111515,6.453390636898223,0.7895377055761983,1.5822424801167656,-0.6954997434794646,-4.177024997770786,-1.4875075946243979,0.01198190321524938,5.881064426015924,-7.341423451854773,5.71840716077357,-5.71757966618937,-4.211722482355801,1.8500909404301982,-0.34667142769139186,-5.292276076577906,-5.913883539939675,-4.24928518577958,-7.5304413308854405,-0.037426350058780776,0.33832520889357115,6.505436194318158,5.209803130667089,-5.71965385877317,-2.8120851190237515,-2.3580448389053346,5.8512375604274665,-3.0860801227693635,1.930821716785431,5.267575869957606,-3.429908587035395,-3.054046476503856,2.863882860882692,2.899716261841789,0.450885191929364,0.8838981307778485,8.58182141763701,2.9297824672266213,2.1700460738898104,4.1258335433533935,3.405873694301105,2.7985028289524574,4.938636245266084,4.621780664759936,0.12812453802703447,3.3738157699041276,-2.833117937250558,-0.5309078468997586,0.47840140958724886,-5.011504290026411,-1.0869717873018825,0.7761792684136409,-0.5572867537307185,1.2613125045582618,-0.31199401331507615,-10.221746565250868
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,-0.35605335235595703,32492,9.562131745474678,-3.419813774230461,2.0981734916454573,-4.133260747089105,3.141520427128563,5.289148090896119,-1.7494656578215138,0.8830239370617331,1.1492724111569779,-3.6687789616528255,-4.433224254153639,1.5683942731505014,-1.388744173978252,5.306529711419289,0.6822651100413102,2.065459807805325,-2.096143060838707,-6.236986841412558,6.951776879174369,1.257979707476103,0.057968081086874006,-0.6416432878800801,3.3723731630407214,5.965945602279425,6.226646762783244,-0.02886555424760072,-3.0737688916818056,2.4405643466966493,3.688060731831051,-0.5572303976449702,-2.903280558564314,0.6920264131638786,-0.12877785624826657,6.967224026719729,-4.415188083804287,-1.3580306951845358,3.296703246710863,6.40845768338158,0.8384365352766739,1.5863952832043642,-0.9015275901022913,-4.261583552807569,-1.53912485176527,0.11111808801690737,6.055761345006801,-7.403216884591463,6.355165840411673,-5.691259537499734,-4.193826140513331,2.3054408019008816,-0.6758205367927896,-5.120289772748947,-6.104361763085298,-4.236682660328601,-7.601829029404316,0.0042919945592681565,0.7964638594442454,6.781460005503434,5.495149183071266,-5.592580684785706,-3.1422461943233504,-2.276584655046463,5.493915754695271,-3.0563511772732426,1.9831643104553223,5.150241671337022,-3.5985870648477247,-2.98389564532436,2.7078643841627934,3.1769749615408913,0.778755419488464,0.4696281297661408,8.234842880166692,2.9219998606559203,2.323282417031675,4.127623987819266,3.5529997850470436,2.2972119186250937,4.811888023089337,4.669983729049822,0.3550481534019141,3.4837371623404674,-2.8229646398586796,-0.5831558236821567,0.530876549070423,-5.014705676276555,-1.185874314617293,0.4693221654378203,-0.7914889656700367,0.7109723342354419,-0.02967571020882747,-10.793763811668653
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,-0.34987106919288635,32492,9.715717106670528,-3.350802710353737,2.336392725803705,-3.844348272856544,2.4227375009331418,5.114049956561422,-1.7735461404175985,0.7775517714266874,1.2578121095363584,-3.741156277043381,-4.1060876535259405,1.2201887719192595,-1.5436582449266965,5.066125758494669,0.5681272080637575,1.8004089338802978,-2.0060545996983135,-6.016322591463509,7.073367697851999,1.6794791485903398,1.153405650138855,0.051693990177116164,3.413178034739355,6.14954975520059,6.482860781378665,-0.13954496480157383,-3.121525418000749,2.3879073933192663,3.178035686484405,-0.31951307391090955,-3.1701492819844224,0.7344542132218329,0.8829706102828769,7.331620606283347,-4.151024314368852,-1.58420639526723,3.2131352161492455,6.795291550954183,0.9046355073828553,1.6272858137884325,-0.6278952852951298,-4.330594729632139,-1.52537394226983,0.31933748128513495,6.138486201564471,-7.716687687701243,5.731238518670505,-5.978492550328054,-4.452444887285074,2.1476514249060408,-0.6212108507189364,-5.140562561511808,-5.899113070952924,-4.435293395696692,-7.579491443296321,0.273178355789019,0.7005673331518968,6.528637155682057,5.0676635993739305,-5.923768870707306,-2.2784681692161364,-2.3023752093315126,5.332216784011486,-2.7120989820942647,1.9292787114779155,4.851332388276982,-3.9493951849410487,-3.299671229858501,2.6886173917200122,3.2605417366477027,0.6578838665127045,0.38008800631708645,8.260852124193589,2.952216375509771,2.3582645860908467,4.283445468695346,3.2783391314941612,1.8081607764320715,4.80905463874981,4.572159961033548,0.4795746341319257,3.523549697109472,-2.541721259917509,-0.5942409874095994,0.46240712581149523,-4.842532202470393,-0.9564085755227564,0.5904032134981284,-0.6074921385666658,1.0175688779221397,-0.1914424102205008,-10.612629487273399
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,-0.3024682402610779,32492,9.27959929425995,-3.55930602175021,2.081291971057314,-4.015444513300762,3.0921701590981954,5.5404414580113865,-1.7051731719036214,1.0683932258766524,1.3515345196638788,-4.58896223414989,-4.155974981547506,1.1243816012481473,-1.48730257737461,5.312782643195413,0.3683720115133054,1.8146043731193793,-1.9647624768072285,-6.305296373108159,6.95559396549147,1.824148511259272,1.8337810431718826,0.17907386265543043,3.5524449857475244,6.057049455870058,6.636034279556598,-0.10708187222003172,-2.556837128122916,2.051078770841871,3.294344086980536,-1.0333521819722968,-2.9211477201159406,0.9745891793093211,1.2964586889042573,6.638091123352448,-4.138552032806705,-1.684613906111814,3.275323980679028,6.413895202818371,1.0111004328717654,1.8066151531969463,-0.6487384295243577,-3.921747508943081,-1.297774734262309,0.18414189020792643,6.108512099142428,-7.186000406924932,5.317119869498574,-5.7795564039678275,-3.9542829303723708,1.8485076713709618,-0.5637207488678517,-5.444484689455723,-5.975366472870983,-4.0454550057143575,-7.520559254326699,-0.18035660597185293,0.5500356962814784,6.381620328638937,5.2747447187617675,-5.920944988902363,-2.774844151311153,-2.2534252047538756,5.537742437318314,-3.0307836674335524,2.4474324782689414,5.2891299368925075,-4.165036150493643,-2.9639007854406687,2.962488481159515,3.0155060881612976,0.4676456531834981,1.0553813164932488,8.766271591186523,2.723673123395048,2.5726677881054627,3.8108511411081083,3.955574513351554,2.338177873655444,4.902876710378996,4.5273176667805775,0.24176933321362462,3.303775591270946,-2.685406487712518,-0.5663302061266532,0.47836155984403983,-4.957635967753565,-1.2144106631375422,0.6659357153153568,-1.0063221591719709,1.1359089395749011,0.1007836621141222,-10.44269603557801
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,-0.3415174186229706,32492,10.06938202040536,-3.221158812916468,2.1673404025904675,-4.15171144661658,2.997441817657805,5.410450786933848,-1.961401406298557,0.9910185197178198,1.2625256649085455,-3.9675116745819308,-4.420167202076303,1.2704685779885863,-1.5946555818142047,5.211362576026708,0.6990924813459075,2.0798301174844567,-1.7735675816550591,-6.265803321764089,6.867032284639319,0.7833462058092063,0.7554770441651344,0.2697773247657876,3.432756435898026,6.213681895559481,6.3113365486516795,-0.14952457542322242,-2.728357432478442,2.4824955707415937,3.5778488931201755,-0.9046865757014873,-2.7556305909302177,0.45936339080963334,0.8807239895796075,7.005681129793326,-4.235608506486216,-1.7400221043375088,3.3825170154719895,6.802323441278367,1.0621651167664174,1.7285407098659158,-0.4916542540745938,-4.026437954604626,-1.4094663648298238,0.5358788265287876,6.235398082821457,-7.455576175103889,5.756540025983538,-5.272144673248281,-4.286716406173888,1.9891256206704058,-0.6900651902447339,-5.350683393624156,-6.173557253940863,-4.230085286338722,-7.697882919258882,-0.2482601534575224,0.5323579576153021,6.552479375596647,5.246182522026159,-5.8894951289350335,-2.7222974049555284,-2.493274688720703,5.504201439924018,-3.0332973621240478,1.6574478944142659,5.264345893047304,-4.395836280752493,-3.181422731225961,2.5339783664940474,3.135191860291567,1.0648882063105702,-0.42031928727998447,8.559492450823887,3.1297479658836433,2.4937939870633867,4.444965109729101,4.041886239733339,2.5495208466159447,4.967711648633403,4.501566607956243,0.777180100400143,3.5189258539788075,-2.9773163266797016,-0.583934946365016,0.37589200826722563,-4.848300281575128,-1.0112296092786222,0.6355510840736728,-0.8324219943132511,0.8484246626761814,-0.19843958098167166,-10.539812334467856
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,-0.3913290798664093,32492,10.00661603816144,-3.0729287909362317,2.337999864478559,-4.434138180578456,2.9630848672840906,5.306365193383756,-1.6812981923251427,0.6945101392208314,1.1702071161940695,-4.2073789692173404,-4.5035096672766,1.0932754268254734,-1.4370946726579776,5.058068256203188,0.7423613644470044,1.965716297561793,-1.89122343509178,-6.083527167206225,6.711859021868024,1.7864654126032344,1.111731297686696,0.2823756259999105,3.312033682655151,6.091432692617485,6.6589054778470835,-0.3297839153390855,-3.043681289195209,2.1435048804964336,3.1882018185974585,-0.23120476616825458,-3.670589646756104,0.4117221244623963,0.7406539603191263,7.395534443358581,-4.443843395177242,-1.1753494458150138,3.4226930725132014,6.753646696181525,0.8974171829263906,1.6359874886487995,-0.7559239076900071,-4.092412987425924,-2.121945425118433,-0.0031647197032968204,5.767243327917876,-7.595737798265153,6.472811602208079,-6.094362392893677,-4.492249211798704,2.285150806801745,-0.5769410913481432,-4.970503924019937,-6.158025882801319,-4.136588236973809,-7.5506794457182735,-0.5780361063985361,0.7355347275542907,7.028871742161837,5.310632767313618,-6.173131946004555,-2.953004352148441,-2.2831955552101135,5.7124437010565465,-3.1454263978857333,2.1305028398831687,4.27298246553311,-4.775214829799516,-3.022480231227514,2.944533908994056,2.791890307847559,0.4925676653132079,0.03235496874876629,8.839421543286,2.9971319652661816,2.4193162800732,3.731697059007453,3.1005939133087086,1.7559272384914082,4.698217480413375,4.719312040077258,0.33569788666911254,3.569682695041193,-3.037118388379508,-0.6258601536056011,0.5707668407938414,-5.211707250968595,-1.0871676776808552,0.3923243089167551,-0.24669996623036472,0.8892916350818357,0.045497877206558804,-10.69842169525918
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,-0.3769214153289795,32492,9.594626223886168,-3.5380918931748186,2.012938456823568,-4.0171888774699145,3.1948223550306873,5.119934770702524,-1.8703551788029598,0.9803747505101622,1.299409479341869,-3.991904442080821,-4.291558050845631,1.1326866570842575,-1.6508425566549787,5.20818915471708,0.4688993266866944,1.769564681873951,-2.206084733763508,-6.369295258938834,6.820645541560893,0.9596309563461339,0.8316981052756309,0.2520141405414562,3.422672839861603,6.05998751235473,6.335702566777245,-0.2972731602942356,-2.7086895097579275,2.393118890005031,3.4846396496253353,-0.5223574534346516,-3.209379758776688,1.115370716217538,0.8015147268772125,7.074554977317651,-4.497044239621775,-1.3805680587358282,3.047326281601685,6.859266821543375,0.7165518977795098,1.5769611598962783,-0.6561744319900252,-4.252647042460739,-1.4079129171853022,-0.02404255380233129,5.7214862847769705,-7.6097394493094255,5.6755889979552245,-6.264310829837051,-4.357138902753653,2.187290713385424,-0.4489188193133576,-5.250887573780811,-5.929366445386822,-4.365115365691785,-7.635070661264078,0.1305714892430438,0.7005679314717268,6.477941290377737,5.294167877253839,-6.123493086557584,-2.6020381725236272,-2.33559308052063,5.764135859733404,-2.9528735299571984,1.8920660217603047,5.3364845799584675,-3.586514536920914,-3.2092719367449676,2.8824452708930695,2.985990794141021,0.3981211757775219,0.6474359033948923,8.495334913404726,3.0686145054109124,2.236209835394535,3.2925486436541207,3.3112456740452174,2.3144684096886996,4.883691786437907,4.559409720462241,0.5998234832588271,3.5452884301961025,-2.833657849946634,-0.5737322947710309,0.4391667391262013,-5.088207682042415,-1.1217108989231301,0.6543012204943452,-0.7902885609587957,1.1568018664628732,-0.5583455353067611,-10.72291898995303
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,-0.39866819977760315,32492,9.232818990849056,-4.073070968427356,1.8996227615623307,-4.053916593958788,3.203110534309244,5.212109703880014,-1.950146874703637,0.8883179585088272,0.6943026088178158,-2.773404300812332,-4.271782442436788,1.5921608344563898,0.02592755323168875,5.111061344671687,2.1042832867280254,1.0323802941919942,-2.175961665525632,-6.284746030804472,5.525796447481428,2.6759646722941466,-0.7031106980443,0.3371139467142674,3.158986054153256,6.488500167817338,5.39036593901909,-1.4336989883584186,-3.536807112453297,2.8817009830448246,3.0525592061735334,-0.7458294106350429,-2.952441930248425,2.1672137019709803,1.5264831754652892,6.623772730429967,-4.064458142339656,-1.4902622544485602,3.777125606890849,7.871852886109125,0.9282650200121507,2.396637657766833,-1.3581385527103176,-3.5359431372582915,-1.961255684052026,0.0454500228477021,5.590587985184458,-6.898083640753857,4.837434843334616,-6.043455980718136,-4.269421761034246,2.0269305024181827,-1.4277231852947034,-5.127292403504485,-6.045900461680078,-3.0856602101551767,-7.737776281172484,-1.2979931295538942,1.0023125361937744,6.204526295195093,5.2684383518615014,-6.512049246918071,-2.4705425801683454,-4.059078574180603,7.148815692857254,-2.753664768202518,1.4489155411720276,5.766472557527769,-4.384228836136282,-3.2121912561369377,3.344292265564072,2.809519987060702,-0.1824971047481374,0.36608034488056185,7.564973630493493,4.181762164211776,0.4930129278134676,3.9051202800063813,3.479689048536992,3.769117019857679,5.654451570203228,5.162282921451186,-0.01609298529970737,2.110576335427778,-1.683890594724328,-1.0587050805643718,0.4725015691707672,-4.037188557468018,-0.6072300423022786,0.36701485996202726,-1.417041935719723,1.905923086710125,0.2680112828127094,-10.672615420952273
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,-0.39325591921806335,32492,9.7685359174555,-3.6698338787943596,1.1998341232594838,-4.8990468847401,3.467584958379985,5.462815495387363,-1.6687442881059904,0.557015883755319,0.6373631223770124,-2.954699318194976,-4.22092392405978,1.5637613864580415,0.14989968913810692,5.060198879720421,2.2581691659562955,1.2010519370828805,-1.9690308705328645,-5.057822551429812,5.887235446852081,4.264004692997572,-0.14531890960037708,0.09129467230214149,3.039918017149662,6.461108264196472,4.538392622465804,-0.8886805588069061,-3.9996461037503246,3.0101777895007813,3.0003169655445077,-0.2549531285601538,-3.5597530703355624,1.7576493776180375,1.0291050632429473,6.674799869457881,-4.593160079248183,-1.246510000700878,3.658873097507454,8.20108651206607,1.172658333279998,2.6504798079777627,-1.153344470786798,-3.6130420236103236,-2.280247027491696,0.8017111013829709,5.961218514376217,-7.493022798760537,5.225265775522103,-6.479456332140471,-4.9558726878292925,1.881396861000092,-1.4014189955261018,-4.894417376266183,-6.266831846972135,-3.4071252727988743,-7.90942824192262,-1.8129245158491862,0.5434118209167933,5.632883629195027,4.844369110414537,-6.539796106189577,-1.8546766844414146,-3.6701687574386597,7.699549480926159,-3.0836860486646978,0.20679297422369322,4.6662687338315525,-4.315399537372856,-3.6440444170291943,3.215538104298619,2.8377414983629747,-0.9587396295770766,0.7777435233893656,7.191312954580184,3.9222584163702754,0.45181500152045606,3.439527361363661,2.2837168003626283,3.389668961933681,5.406106748888569,5.101304960910837,0.11401261345888594,2.8216616314635656,-1.7599331329953163,-0.7883866080411871,0.6341149331495792,-3.777573897376956,-0.5300075242603469,0.185425450380605,-1.38887325275776,1.9939940251909893,0.6094380385918439,-11.278201703275188
