subject_id,session_id,age,sex,site,breed,weight (kg),global_total_cortvol,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,18006.066252359808,105.13377528259869,79.90454525876227,340.54498649601777,114.88548927143911,180.48026193434868,231.89960178272935,363.67539686287313,32.76743911219074,53.69008053611729,87.84360602339734,96.01689089912531,99.86471964521606,26.778238734885534,428.3780374406887,58.8462703977225,94.05354159845854,499.51229880664454,60.44890749709394,68.97189328880843,50.68894322612742,118.90274066728121,127.76087163069779,362.6176757678571,256.6604447887549,93.24957046667033,294.50052472718164,86.3147704658875,178.1649918820108,122.87349839243954,163.7253732408886,61.39710756340874,73.33108349675811,61.64994657222144,117.21029416810958,27.445334965042726,126.14242676931919,130.96125461543903,83.31366482048955,1020.1052843128155,439.7172022852509,173.53159034139412,86.16233138431262,321.3148363861153,60.765570537407086,158.27315429239783,125.02070599753029,80.80705141410932,79.15607798154784,357.238009136836,124.64541867676898,233.23017002721252,110.28539504956652,120.8484174574515,129.03017160383925,228.96220777716064,65.37771356104597,125.85168570322826,112.9689241229825,114.35981186217498,134.69526110775007,105.77260422815777,1.6056762147051609,126.24091980454321,49.99046035232825,1.149230271984556,155.46559111080845,99.58085346955363,309.53027410976455,142.83245852226176,215.41885682258246,102.90588034023156,21.56165244036863,276.25754757654164,300.4483207076725,108.17777416279318,150.56697395584155,164.17841936149466,63.400236931240556,140.92067051576487,264.96685497864314,178.47472369189705,100.48188078316748,61.13845171202581,1997.6864682628664,1229.0635074670568,153.1829555003461,463.52826470456057,603.5398982224891,41.645047822266335,279.6351983673831,96.09983019299803,37.66527964087052
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,18271.761030967136,103.86887822804135,77.81071975585894,325.37381216037414,117.59313194475436,195.0150409613373,236.38138544227743,350.4463653669774,34.93099971186371,63.694636115775346,94.50410698109295,116.73065382436936,99.68196079969937,27.554136408076474,443.2860260180523,71.0810222620232,103.441494299603,483.84742438168547,62.77851977095415,67.63344687377065,55.26882795446104,134.60423670497258,144.22428901272073,360.4728131276477,262.0646449181587,94.99565958152505,309.06600177726455,104.27208843133387,183.02855065479366,132.9276720530532,161.6508397495214,66.29845093913852,86.40451040064488,68.58465975717336,117.42212338751783,27.136459528887475,133.182085455486,127.36717161770213,101.51819808455731,1026.071304405975,448.8334870177526,185.70590056906792,86.87665802812641,350.08762027290334,61.73668591412572,156.4928492892441,129.5310227774333,76.37482880641122,80.95432229724345,357.97203431147256,141.06013724274757,226.08663131044275,113.4011573809654,121.9580097291639,127.93267807143911,215.36445766025915,57.47756627098561,109.35899025063182,123.92264443464272,130.86630326733842,134.4555772299224,95.10226804140822,1.208392788225511,121.09606250945424,50.01265976812511,1.6081257189330282,163.38444432745035,99.54517003492606,299.2418676240212,140.2738960802587,219.5426043367484,102.63469527271002,17.29251234462973,275.0172939392479,288.77102793585954,98.51742414486927,140.410294825543,167.0708749719669,63.23286565293787,121.28564055888265,251.62353774542223,177.1523608575103,92.56614662000659,60.242791500704485,2101.9865275769994,1291.4617491010597,143.03974902045724,442.9188175645677,592.5113064004657,37.716098923298176,269.2581706673136,96.46965024954525,40.90209288214569
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,18125.62634442056,113.37949003500762,75.74321930649191,320.7649668265871,112.84065132918464,188.97280972977381,246.53651055578973,362.3055101564027,34.71319498463967,62.95512830702961,88.62110201863047,113.44730498127925,101.51250572129165,30.418569442997462,431.2282152324818,63.66766031192246,100.32606891833031,505.047900947293,61.66204787631974,67.40652159339213,58.27591836411593,110.56267842730854,144.6041131207504,371.48632458382764,273.67352286313667,97.25407080951528,307.59181805380007,93.23303034724916,171.658148235111,133.1941261537801,167.55649650726815,62.655789159884954,75.70305161520113,60.529605398797386,111.75579001584853,29.50070436122784,126.51445883712842,132.54590972140494,102.83751558821695,1012.9259127086307,445.07087054658246,181.73605961423166,86.41912828802174,346.73599415347985,58.494490325845256,146.2472585025575,126.38163054152498,84.728330227945,78.5574526501657,335.61166747144017,128.07498192323334,241.17378308805021,103.86141012853457,119.59838902123721,131.88731059160085,212.91951784375848,64.09376438879225,117.43241061231787,110.95444030635267,116.34242356106755,143.68244837355587,98.03301390581998,1.3798446975859389,139.63118874609373,46.46802964110054,0.9727826204122518,162.06835613278966,98.21091467144667,303.33463431589064,133.12343552827213,218.38698652860595,103.74995414158946,22.87117455268321,259.7972585454256,292.4043520589713,102.39064971317475,134.36219409817585,162.89297934840798,65.4392992104371,127.21062956072882,242.52864969702617,175.50697875604018,106.0668577126147,61.693187231745554,2059.7979468333588,1221.522341297645,151.36563087435692,462.8199494124703,613.9590994126024,38.94147069474979,279.41281736201176,93.03670493404397,40.634906876939645
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,18253.49631870198,95.5923818673538,76.97535851979269,343.2200951174323,118.51730542773375,198.51071069988427,240.50297563310144,355.4640889568028,27.58662804252508,53.79312470154556,90.10028844821673,112.44468065187986,93.7767391800479,27.538473659990785,442.36207082431986,67.40704022371253,97.98012218085256,509.16745785490895,64.26181912172764,65.6910983495244,59.51846326835309,116.00003077890125,132.64700179455065,362.9488784635375,260.3240894910543,94.7368953519961,310.9911797810554,89.63017774771643,171.96698839034778,119.9090121267228,155.4198635438784,59.163447044331186,81.99750352732583,60.72803114666315,120.99419251722094,28.09161261605345,127.91009647115797,125.64848704701957,79.8848393088298,999.3469119156844,437.5377697767197,183.8035665230962,86.00716795813948,354.1230846585765,63.88913083234099,153.48673166487418,128.81822720511383,88.8090575993794,83.025425021406,350.6343222685449,131.1776851325206,236.14691506755088,111.76876670129761,117.82381703422158,129.42862600842423,230.94300856683498,54.86215963764993,118.71690816517004,105.9404420600855,120.75562429379973,144.98730194992416,101.31184139781854,1.4303439577046841,115.52331914926265,53.00951856657103,1.241851899787258,166.7053987729979,101.46070235850688,307.7926725423701,142.30162897714814,222.7729838297948,120.17017547153165,16.012170805264315,251.09020078109245,294.4906077039298,104.4861174110864,152.43323978060752,169.51079226600942,62.47669431039851,138.53093692431014,260.2311482648395,189.65719955187947,102.92862056957098,64.35492808810983,2064.9253242539903,1290.2339917198951,153.1959583965479,469.04310401902944,598.6585601294773,42.98097830182822,280.4597816569327,100.78357893123518,41.8560479930298
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,18259.08791733286,103.74744485562573,77.95785960669886,317.95823718300556,120.78589748162995,191.8012889957952,237.47462503185153,355.358638589293,33.839902145609955,57.54038567035222,98.35756301181746,115.05435511035213,92.1326398375516,23.52891078963389,446.42443600994005,63.32651750492001,97.26598871911904,480.38225491184505,65.79922968412576,61.29041361870207,60.96334192980473,130.96888848211,148.1128762024,360.95067777291996,267.52834942803565,94.82497529804773,313.8773498777646,93.98517822223234,182.4804747066318,137.50277061391407,163.90593341351544,66.98370215655639,84.49659200545207,67.71698294022993,118.75405891762436,30.439849039805154,123.44670942873447,121.14184316396434,99.22221767738206,1010.961509066543,435.6906091733025,186.82072436020087,87.67837838345797,345.5741905748731,66.98289314420244,154.1525269595345,132.36982431620766,84.26085621789528,83.91192990392399,350.3122923005685,135.60144189198343,231.00088103500562,105.56321288271427,122.33818468876618,130.2772999037857,223.60145633873836,66.58472960487771,104.35517582000281,117.67874102684318,122.061098882928,135.53634271329463,95.46900479567365,1.6171772944408762,128.28506952833737,47.84022292874879,1.5467230504662843,158.17105245323654,105.587567256232,304.87131839876963,143.88408994517212,220.16297504710815,108.32522998219756,14.78522077244946,264.13350721587454,279.23827401891424,96.9054629914681,144.03408372360167,168.06871115870763,67.8533654705938,129.5788857991848,244.76596724528406,173.57188152744467,96.11583237471382,61.496671266034625,2123.7822777924416,1283.7349561817316,148.27667980213477,463.48678614919373,600.7819633748929,37.4708988450978,265.1910680015109,99.17817930554864,40.233154411010624
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,18200.35246101666,96.81156558342639,78.35596511966226,322.45486303661374,112.94289789532867,173.45586435727847,238.52226381942938,367.1938250712716,31.330389962785073,49.356926686793116,82.98986970202044,92.39124803803873,112.11881275111722,28.869974929261655,433.52561241625955,66.43962169087496,98.91017137308783,504.71303520453677,61.04098024449382,65.85663506400617,52.43180359699764,120.4735239531424,137.86447453214376,354.7011671117557,270.7390087739183,91.8720704254962,296.80475726145625,92.26478612451456,173.86521451764148,134.85175738709225,149.60878442506322,63.20773438921459,78.94139393170772,67.39127618543027,115.88184813848686,30.77128988818661,126.4781012227891,129.99266283166583,80.99959220736478,988.9048048292763,437.39903609606074,177.89507306246455,86.31325692421413,350.70942539445826,60.44324397943113,151.88577406961014,129.51700119050582,87.27640409019533,80.46616996971697,346.4237327184225,130.09143291195858,237.21619646351436,108.8437619704358,118.9340664075279,136.57790822535526,230.2996232453882,64.74539470738738,113.84941395250952,113.58365304095261,116.87664647085069,136.60315372216536,100.76622364081626,1.7077269857914912,113.62072260697511,49.711211947240606,1.4365919702813346,164.1550917101348,118.60165195452849,303.1074141018704,144.19441790209478,216.04543884242474,107.69548604568506,14.623463387406419,278.36637111723456,289.3644755868724,105.17705657647423,152.73673733759466,169.251232773301,63.92237631659145,138.13031922801053,245.37931535176554,187.6455231101238,112.89916872122177,59.83479656753829,2082.9467784197104,1295.0303444612127,151.63867866994082,484.66214691116056,600.2694212352449,41.80849514805152,281.43908717904037,93.97399275351786,38.933759164048894
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,18305.03549066609,91.34768912986188,76.32361769111809,316.3920731584147,112.17194149461773,178.2848296144705,243.35252146358607,368.06319138284056,28.65796616007325,52.419512951105084,89.30221602548447,111.3858353911951,108.72573137477215,25.274348381127737,433.3234443285552,58.901854809861966,100.6748723369612,534.6064859786951,60.033205804243984,67.00887992478192,52.353001557237995,109.81444960545771,142.0734527044814,356.30006804324734,257.67381995031343,89.11841072981036,302.0092206722802,94.96519815424627,164.41576769872134,123.87411649124167,163.05568765288427,57.53694662957174,78.91155589727472,63.90292109647175,109.24070681718979,26.04335979348921,126.45501642158754,129.7304551745948,92.65829675221516,1034.954073401204,447.0783238200304,188.81275413482106,89.25346914015002,325.2925103757228,57.2778503691424,148.84787143130248,131.09201574593112,94.55186913796696,81.04681863000332,366.3598014151994,133.78969007970966,244.2104227925453,114.196013031991,121.88861837853557,133.22971122149474,231.3159066367253,66.56286047191746,136.1261011309915,114.18571112134276,115.82783832128764,142.40011184401448,102.1857899832963,1.4344587088639909,120.6977843364011,47.7208551218267,0.8753672114105282,152.46905343974026,116.42123480473192,327.7222349080543,143.5453889436413,216.54075678611252,111.39998539685091,19.767734165435346,265.05605983589265,298.37991533269957,110.63698968636584,146.67346810241884,163.7992537824008,62.08610254273619,128.7082587249487,245.3506591332422,185.0400220681803,114.96455538934197,59.93125899490939,2048.9959180105134,1271.6232168725094,154.00108064329436,486.77781119006374,624.331306092054,43.71683870746203,282.0856753154872,99.27509305618082,38.13835150291057
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,18397.112088818067,102.85837962889815,79.88106234211865,322.9436829658249,112.36665437270189,208.3081002147795,246.87317625898922,363.03085181348695,28.489933163984187,51.46292906847392,89.51632289481103,100.40200321945147,92.37826677544048,25.762757683593094,460.74758516899493,67.47476790599318,108.26232311346213,489.7782843741057,62.47322924663872,71.1862167747891,52.10637453462355,118.45364338252945,142.55719266725697,368.47210877749563,263.0366383256847,99.11926109601143,306.3784040647325,91.54589728683032,185.312157547854,133.36475767905011,161.4119497444816,63.969523320537014,88.43960795594367,69.22065609971861,123.9786467468181,29.607283526281602,127.15590458962257,124.90046244719458,94.23622981850515,1012.4821555691235,439.14264279010604,183.91559159371886,88.75907008086371,355.0031136058568,66.52651113544083,154.51332133452863,129.45786760624452,86.05245018251529,80.24313177741783,361.19273394699104,128.55775234049963,236.85774097620498,107.88122618220952,126.2690382884954,129.0237002452157,223.29091761875605,69.95262218126439,114.59439199811689,115.56551062356198,131.18513556618413,139.2564940572799,100.53764558273753,1.4001241587266882,117.5510085335882,48.71355641747036,1.5168632126660848,171.66169658730996,91.82844490690935,303.7624992338022,142.50467565675856,224.233204871419,106.0160530207091,17.953995889174156,255.89811909292564,287.1647034167338,98.80371583791738,143.18036641414974,173.3378405166626,73.70964150735144,132.98226631640512,268.57075864918534,194.12219411082347,107.73942849377198,62.11536112910359,2091.1480664698342,1297.946740664767,151.92706335369357,470.45490578949335,606.0372875583937,36.67916895361276,275.5388058997004,95.25252395508826,39.637016318877926
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,16599.273217579346,102.72728170314419,72.52283601219963,301.50314436090054,102.55050291570798,133.29899738670886,210.79124724382586,294.93044391921677,16.79343149782579,31.6675671848792,111.7539309007407,65.22677249363974,113.17231829661395,26.164294089234097,427.63097299528096,56.06722057984886,84.1259010458371,420.6448595997069,60.82518477176124,62.029959722202484,55.67603285421946,91.69246599684917,152.7151209571092,319.0387470493334,263.32090885428465,102.64342328464937,275.35923466936714,92.86180143813363,171.01922347075927,115.06486443113327,157.75717798643848,55.08446475541754,89.50538166805616,87.10379839680937,115.95532629680933,21.40399761452067,112.61345843956221,135.52028088115424,76.56055672161393,876.4718600337693,421.2871273006188,142.55535698544776,78.81912593323796,263.7996217141195,56.61964887142643,136.96969382377327,127.9495397034354,64.38466594862321,69.53065759297608,346.89541410559565,137.01218622741166,197.23999969227552,100.81337888239383,107.10189187313608,129.86454435110676,197.17902798288642,51.18759263299302,99.52445455601185,134.25665701345454,130.38413148255387,111.12196734771824,95.80438223362923,1.2158393138778136,116.12975193594058,38.398401896090036,1.3731194765106574,153.11370808931645,91.12715354866731,275.80475347316406,168.58702425195563,205.378153356314,81.12217933792698,32.81359358650484,207.28468988339992,300.2396579551264,87.55152315836385,116.908804954,157.98335019938477,71.8719288228668,108.55403808479869,247.7402662004131,190.19828951310518,83.57210351794726,60.96883556716629,1790.3061415132563,1181.2359957030865,135.72022673652688,412.26577621804006,591.1475014452285,32.205010654015496,257.75136368217056,104.52930659656077,34.078670133531816
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,16398.697632220727,105.41324653416493,64.88788298702342,274.87534958545695,97.46673594084619,122.04734171884735,199.1468614245029,286.3042884271252,22.28961156372224,35.79504304438599,104.92633882549116,67.29442346848185,98.29144180026368,22.07351255769869,419.00040306262645,59.471639026460636,82.96766666746858,421.9458116084025,75.48272532968858,58.35463654657218,62.07177558963817,90.44225592152435,137.56539759260684,317.32668553609113,240.71447131422036,115.84471295929976,260.6637697673868,79.40517104969994,163.89806322604016,106.47791548063802,151.30075824002296,45.735366677833234,89.5561198391213,73.79525356563958,105.88014203790823,19.555000400672544,119.51072858441728,111.48597566566721,81.46329221255306,900.4269090015719,420.6688262348382,146.4578270980635,82.90937297884541,262.68185650029125,57.57118305438149,133.38631068307092,123.94339248617605,75.04845664482912,71.10250363324107,358.1837259040026,133.0249259156986,200.57164272015703,98.09680444695118,97.82220043320946,128.11948416197075,200.64968722235923,51.90219819434667,133.45844692213328,132.0175471532887,123.6245142540216,111.99573524800222,105.39974916816568,1.2015130457851615,99.38667395633298,38.67465694267724,1.7300545369881422,135.62107986683165,91.87090662039554,289.25861875056006,166.5724926837088,207.74608865242567,70.11496664252934,17.90632381551749,212.8894572315472,312.539044610983,93.02021076252227,126.0185119748063,147.11299651224198,66.22264825039093,96.45855413489373,250.70030455425254,204.13311258108072,86.6357779554435,55.83949173723393,1758.852202004849,1165.4081708130418,141.74437258946082,417.41770256241574,583.0496563719424,32.544095450169245,252.69753893809235,104.05882101542589,31.48047081635714
