subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_curvature,global_total_vertices,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,0.01807698793709278,32492,0.20428951439000181,-0.043115562998637974,0.057052268847818895,-0.023178996481018496,0.09974979256933977,0.1395839619211639,0.0019183171498852187,0.37774254090855924,0.08452778295613825,-0.06800278776255704,-0.042711717015757024,0.004436383072181411,0.052126368068843736,0.08321898564479502,0.01802391316826887,0.013756390182779318,-0.020435004621018014,-0.07800945843484731,0.10243094463212586,0.031185297051637945,0.04432112087495625,-0.021477333373510116,0.06447819286629428,0.1117431482860636,0.15069157408029474,-0.006342205803752548,-0.014379249355179513,0.025648743977903257,0.09599874473975173,0.03899254458214062,-0.026618563643196688,0.039877285144593516,-0.009198196064629455,0.0916920668532839,-0.07084649745261594,0.020571280653153542,0.04111804691545958,0.14298291871590274,0.03264664271116458,0.04276470147516806,-0.0012306839032040944,-0.026340096754138356,0.009747902516321075,0.00907531574058036,0.10004731133718721,-0.053091806118902206,0.1321999455555057,-0.06845272614524696,-0.023573428172974795,0.04549072454543455,0.00016298052125623345,-0.04799345296403579,-0.042314640683817996,-0.022438203859470335,-0.05620458943553169,0.022914796422183928,0.031070784031926917,0.15032133018602845,0.10303249151714272,-0.05911074204500451,-0.0026793607156584214,-0.08182438537478447,0.05306006130575592,-0.06029814093684157,0.055862673868735634,0.08051810135819121,-0.05393076368819599,-0.016373343792353806,0.06871009010414897,0.05155639793667723,0.007558081522426893,0.010126352902589994,0.18769390902502073,0.07884964472943838,0.03191084255239153,0.15311435142772456,0.08856645052712458,-0.042334946679572265,0.0839653925861292,0.062450703679806326,0.001963517733083999,0.06420194460992988,-0.04142263909152268,0.020970942494927366,0.031595229366599385,-0.04245257752478923,0.008268252859350627,0.022534037212888228,-0.014164630488118937,0.04642054524829737,0.024895737112528137,-0.11036005596305883
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,0.020085761323571205,32492,0.1902475973300926,-0.04410594318427944,0.03815516918889844,-0.017963827605319026,0.10009542758579429,0.14809188504697154,-0.0016022155091354416,0.6023021261492858,0.12173627206856119,-0.064539396849022,-0.03799706245456351,0.014197867866967945,0.1179122438349215,0.09243625817508565,0.02611417200121029,0.013337276137654522,-0.025524384173710325,-0.07816940624827007,0.09919923416585946,0.049836619961391784,0.06774574789218604,-0.0017965836569248717,0.04880675375652558,0.11850511612928384,0.15892983989206033,-0.0045215698701737824,-0.006496931210027209,0.022321989602808442,0.09147346706373528,0.029156794922273372,-0.02996248435143881,0.055084996909217934,0.003969961382886943,0.08301315467178938,-0.07589868771940453,0.02494805114347308,0.04895817955453091,0.1042797208120603,0.03216849006913804,0.040891051096989185,0.001002739878835012,-0.027999057713896037,0.018703794507817336,0.010694647671965261,0.10745033200429235,-0.04810362770486383,0.1288415923885697,-0.06982036408580553,-0.01819168676350576,0.05367906142178844,0.0027218132867453866,-0.05209671911882161,-0.04201580823905715,-0.027832777340152177,-0.05184563637007278,0.008519754615715809,0.0426148825947446,0.15589055767847823,0.1004466166309381,-0.058323670965394064,-0.016824235312321505,-0.10667092241346836,0.06533986066608842,-0.055680705798502136,0.0876548836628596,0.10108565726978147,-0.014184423502015637,-0.024433166479226973,0.06309078759848426,0.05147703650937478,0.000977396423372233,0.056698031089759085,0.1786021170534676,0.07739681324287576,0.032601522271493995,0.1392185860151257,0.08503067667707138,-0.030989915467909582,0.09104532442526311,0.06630098259690376,0.001456107689647132,0.05174430811377329,-0.039648876225754144,0.020771966985263145,0.031201501465910716,-0.04515495618887774,0.008061729025842346,0.029956728507666133,-0.01547032667068104,0.050921072600044325,0.025624358278420294,-0.10867284119045467
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,0.0191242303699255,32492,0.19506162467984145,-0.0461165641752323,0.03917913947594642,-0.01989410876044798,0.09697101955805396,0.14067372993335586,0.005461610048145959,0.25353677306628347,0.08637086880958772,-0.06824517434435473,-0.047146037186461466,0.019872514038996876,0.22319543197879504,0.08759283300218441,0.03157014819962348,0.016399897561457596,-0.02012136357123889,-0.08180760159882704,0.09272955421700466,0.03771949897274234,0.03620901167480042,-0.004934211374681897,0.0465574646228929,0.11037406251845598,0.14393712977989245,-0.0019478678409657918,-0.016479553044957924,0.02148805579303631,0.095111424426016,0.03888869848426269,-0.03161027732662993,0.06813755365167286,-0.009768282350919703,0.08361899717495665,-0.0726545820717362,0.02367499222574746,0.04480916028016239,0.10928403403099982,0.03451037660676898,0.042361106151742316,0.0013496520779003262,-0.033502737302333115,0.014456015945653213,0.012113456244114786,0.10824584681756312,-0.05066018255550323,0.13867550846474358,-0.07091046367719961,-0.016536433104528254,0.056256343828726185,0.0004070679615027259,-0.0529185988118138,-0.04092164276755013,-0.027968214863993368,-0.05525077076830976,0.011355941043196557,0.044052813199456205,0.14961322736633303,0.10251145909335148,-0.05402434513309446,-0.016311041143773408,-0.1074941927101463,0.05505260106292553,-0.05183576783013901,0.06628863451381524,0.09338283677322742,-0.018162632407718104,-0.024158658166234512,0.060456679501988214,0.05648572737348898,0.012609169209012873,0.04408591021384118,0.17806420445763807,0.07884610263065853,0.032939169426552124,0.13242464118563668,0.08696730930280168,-0.03365201502484048,0.10551757764970003,0.06283333829785762,0.0035257026364756677,0.06111533060304333,-0.04275554634922957,0.01957110759864522,0.03261703590191123,-0.04276001364289287,0.006156064238655041,0.024022664145612826,-0.015595420399074291,0.04937565699919751,0.026639090241098465,-0.10878747741932447
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,0.018517689779400826,32492,0.18948019696883373,-0.04727370947708435,0.04545024239531036,-0.014502022084557479,0.09778127526877622,0.1331203492544746,0.00022454520431583567,0.2980828718947513,0.053551857841167866,-0.06321179944467892,-0.034219851775800066,0.002863251630497991,0.04604782632434334,0.08482713110022964,0.02528155276578344,0.012792284450934905,-0.01991182776897587,-0.07646747415814045,0.09733712592884441,0.04197371660573584,0.04233073530020192,-0.0059785798681443745,0.048130709660629975,0.11400124069356381,0.15282120589577294,-0.002636053017014115,-0.014991785948767964,0.019565894012672027,0.08822785553721978,0.03705405229916301,-0.034294512591370174,0.07039176925859401,-0.0009285048487500343,0.09266187257556642,-0.07264461286316536,0.021917873305808706,0.04965682971285144,0.14018276085040443,0.03278130917636854,0.042954450460151894,-0.000564229342264047,-0.033764129714109005,0.014789929812761286,0.016139551270753144,0.10714936956625294,-0.05322208407797788,0.13576692572737836,-0.0698707892233206,-0.019851185497311803,0.0534542193787566,-0.00014071998057439559,-0.051882462748705345,-0.03984098622969852,-0.026909761138211915,-0.05539289667613454,0.0003482613531458709,0.03221148402185346,0.14767715495024397,0.10265094645013559,-0.053889666042492734,-0.008259919185578573,-0.10533045195043086,0.031381996191474935,-0.04755837861893365,0.06424502904216449,0.08877275569531588,-0.022232976623478493,-0.02212257333480943,0.06458542396634713,0.06026733272301499,0.03364174544537765,0.03258769826814753,0.17450791873413024,0.0746659432132504,0.03253235572110557,0.15124176745684664,0.08246670608517483,-0.04483579784476509,0.08968767235637642,0.06467354223518842,0.0043148117138602496,0.061149070822746954,-0.035259792182106585,0.01932867914248842,0.03241277053687666,-0.04374154884932415,0.008077944905416124,0.026588591753231222,-0.014527191504765691,0.04713943228683017,0.026709627763127086,-0.10730143857261773
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,0.019124964252114296,32492,0.18647469693527244,-0.044833990669946026,0.03648753945717848,-0.017883779973250486,0.09726979744179957,0.14429514595861254,0.0057257234734121995,0.3294775597062152,0.06306355360762349,-0.06811197008937597,-0.04018190841635099,0.004227955476380885,0.06589760645774417,0.09289380157379211,0.019035127394164467,0.010501069558698586,-0.023212819010690035,-0.07856126960562677,0.08571097323176813,0.05201992372332035,0.06717231133021415,0.0033515178229023075,0.050087346671148406,0.11588903310373858,0.15777364279680206,-0.0017152981480392509,-0.011667928961937182,0.021226858270487616,0.08683393345258775,0.026937512612276247,-0.02767277022017302,0.06398228070211702,0.018146358871394222,0.08576723855124631,-0.0763907277625903,0.01163703923114826,0.04615503739754722,0.0968531458926875,0.03146990597820715,0.03891084437117368,-0.0006907812478010751,-0.026930339904502033,0.018612631399153586,0.009207591679490482,0.10867824230808765,-0.04888835935234742,0.11813001141275223,-0.0684709787696536,-0.019032606432582064,0.04566594902609963,0.0015382455405855272,-0.05475221702907339,-0.041839240434320406,-0.02285722960385553,-0.05220044532998174,0.01583348154235864,0.045165650554610276,0.14233099815429195,0.10119359741397833,-0.06040884884940788,-0.007994851555931643,-0.11388486083596945,0.05202987285122427,-0.05111617874354124,0.08578644879162312,0.09281759863494474,-0.04297328136819701,-0.021996142982053886,0.0673388596206169,0.053115309527999234,0.013281175953572586,0.058921259010077,0.1868642941921306,0.06952273074508762,0.038140083981215274,0.13825678812114706,0.09752578192643424,-0.03483028104528785,0.10379255894866962,0.06314869346737598,0.006322321170969433,0.05529544599872152,-0.03845313851513523,0.021544996192295524,0.029985969714089473,-0.04548369803385172,0.008680405639402821,0.03161254075534546,-0.0174546507295481,0.048776704189912076,0.029443445800730324,-0.10854807994956298
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,0.01820424571633339,32492,0.18975239658317009,-0.04440615571285081,0.04016010801585272,-0.019019602078033666,0.0946872015255132,0.13797540745645315,-0.0023164928475887395,0.31390060556634347,0.08851254316312926,-0.06838519146474246,-0.0487585458003843,0.018743719377490156,0.00805467770210114,0.0860825987396027,0.03784963171796616,0.013359881767935709,-0.019529826382347792,-0.08070132473611907,0.10196261697125678,0.029720541476359906,0.046450917404145003,0.003928336193987017,0.05026314433892436,0.1125452047548156,0.15219616086490578,-0.004563600664998655,-0.011894290334465069,0.029151764830374825,0.09678571786997574,0.023593019059429548,-0.03052364262218428,0.05921253408174175,0.00847492009291754,0.0858550637164323,-0.0713031947987764,0.016478032270815166,0.045141504668439004,0.16821177825109945,0.031659640321253193,0.03758440989362523,-0.0003738622130938517,-0.028289563208818435,0.015051214798415636,0.01508596805545191,0.10722387987361462,-0.04984677984906672,0.13149376556381812,-0.06804317280514238,-0.017192867091283696,0.04752366223464429,-4.625335576170995e-06,-0.0538739865116548,-0.04329674383180123,-0.02469078547925543,-0.05439288057580901,0.005844621516815904,0.03251656353807984,0.1480882024604964,0.10306617527631885,-0.05959548784694375,-0.011572347669090469,-0.1056143174879253,0.04454991817853392,-0.04992409751606666,0.09413341867427032,0.08808147278216341,-0.04577264174127655,-0.024300534014916744,0.0672389040602369,0.05592502323481207,0.019660790567286313,0.02128594736816615,0.1739557032748092,0.07861759110125265,0.031036487429743645,0.14792531351849902,0.09995882514635808,-0.03180185784932248,0.08939748962900491,0.05833998624340931,0.007695680942727637,0.05932028050682394,-0.043957338317921583,0.022601346170939427,0.03219959387692997,-0.04609270251788089,0.009735364748136403,0.024942272463723054,-0.014992225216024793,0.049458354863015114,0.021153707634586707,-0.10443229736823044
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,0.018224231898784637,32492,0.1977988856469656,-0.04531242604721301,0.04201419892822432,-0.020703428820364505,0.08861700745754407,0.1338339602896492,-0.0001402139126826645,0.12225525257918908,0.09028680627566896,-0.07188460152138268,-0.045860073557928385,0.03179444494121269,0.1057120401468449,0.08346136158263874,0.027792652376086975,0.01440459848534757,-0.018282542747802166,-0.07295272974432379,0.10623241301473914,0.042848913647006,0.03781624063011259,0.0067092646147975015,0.04705230216543666,0.1159426889034407,0.15177460121764344,-0.006028394371568515,-0.015172663377485558,0.018863168539745467,0.08752642218356153,0.04073309801982329,-0.036775451204625935,0.06068173649025635,0.000276586802347618,0.09350044249367784,-0.07970738367937852,0.02774170834968826,0.045620944543373586,0.1463746493283127,0.03288449301806002,0.04233561357869387,0.0005487542477002817,-0.022239097715355455,0.0057752362758392555,0.0116631062705225,0.10290430271049479,-0.052984562472503154,0.14728108726974046,-0.0707280056774936,-0.021832777588076703,0.05563765766632025,-0.0009325708006442072,-0.04791644195381119,-0.042362052730426356,-0.024715321429539472,-0.05377908995722194,0.01626436270825151,0.04890291281611635,0.14854500374522295,0.10462038162148606,-0.05960155082765838,-0.014289897730511225,-0.09454619572497905,0.06412430196529427,-0.05799253462109624,0.08797719081242879,0.07007658587018442,-0.05327748938648332,-0.017081234488187585,0.07014098317433654,0.051749636440945324,0.02341311954567948,0.02772630493297137,0.1707348275340075,0.08123885153335904,0.034483338576845,0.1435536647894893,0.07947035789960134,-0.04267077502750215,0.09351289139369563,0.06781661652764112,0.003628369879513181,0.05846230645237543,-0.047850633897704685,0.021555799592831135,0.03397561614975758,-0.04555657778861251,0.009531408481676527,0.023555276990470306,-0.013228924218077906,0.05129978864532553,0.028635001252937192,-0.11189472249426534
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,0.017918836325407028,32492,0.17632575663314623,-0.049257228800487364,0.03816703580417897,-0.01893305829135523,0.09698270368279976,0.1379862769353714,-0.003144504770111803,0.14754289483214367,0.08417949846812657,-0.06762251491028141,-0.04546946859266992,0.003975116398475431,-0.0694076231113453,0.09370528335037957,0.030205450543179746,0.014141867915781117,-0.023222562533805863,-0.08197769067972305,0.08962934053674036,0.03408349055427847,0.03918673670291901,0.0057207155339859365,0.04816656533535702,0.1185477990618086,0.1516467022563536,-0.006571462661889736,-0.012942125864082155,0.026532134552419716,0.08575011310112175,0.030550114001745836,-0.03372958869809603,0.08009671732048754,0.006813317094244721,0.07506166220991872,-0.07631162394340917,0.023297496835097225,0.04222184369405609,0.13864914174413398,0.030742608688337527,0.041878931778438315,0.004312015313064029,-0.03385916908242507,0.017959806744018838,0.018681674789016445,0.10509078855749168,-0.04895206704813247,0.13220880784056321,-0.0705681459122845,-0.018739911561619093,0.055440568133561546,0.0023343460148098055,-0.052304609696320226,-0.041791045057408986,-0.02831901098847809,-0.05326650255976877,0.011248550941106966,0.03753679017103516,0.14427298235432637,0.10507617807173628,-0.058980119141000334,-0.010229053807576546,-0.10426794402301312,0.042857638096604714,-0.050814493190179146,0.0818714089691639,0.09423884078283182,-0.02226784341047029,-0.021313311810677433,0.0630829891456515,0.05472742231527725,0.0018764766065278164,0.04375212471026338,0.18489730457286183,0.0788550957368865,0.037022765340843526,0.12867554472558979,0.08867520865065939,-0.022184281356610536,0.09636376981272347,0.061307485791400176,0.0095637395352797,0.058978617387153556,-0.04067778313641456,0.02101350630194659,0.030207863486687733,-0.04411567634248863,0.006402146171412625,0.02730748926095645,-0.01513709274960875,0.052465534344384106,0.027874436346473654,-0.11164492079883478
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,0.02386896312236786,32492,0.1707685422726798,-0.04546654316419292,0.040776502541839614,-0.006342813789909568,0.08818167884297744,0.1513250301688936,0.02043263716131598,1.040483855889464,0.12954982076522095,-0.02822929303176519,-0.03349111988132536,0.04955704531298494,0.31765713314953975,0.10855749030180976,0.07734929704688474,-0.009131824933482628,-0.026596383796132526,-0.07155925400582129,0.03520867318314101,0.05660469234588266,-0.007383042953908444,0.017523498180058335,0.05156923783815128,0.12824205643194067,0.13884498745645002,-0.01733901441790901,-0.0066971712710666665,0.042379667941880014,0.09405474969895468,0.03554133714316188,-0.03253849457222514,0.09674121213707546,0.04130589775604141,0.06699593483062927,-0.07998372281003183,0.03107232976761566,0.05271142254193114,0.15197140839438708,0.037394951631415735,0.050329841627035216,-0.008874143788489164,-0.005561450636014343,-0.0009868723461361852,0.024761545723304152,0.09791310864966363,-0.03691451333778692,0.09514106696053427,-0.07613133446037641,-0.018922354273405207,0.055034944262105166,-0.003748908658951157,-0.050903967793304125,-0.048534555245652804,-0.020254147192850208,-0.0599447706479237,-0.0001969728166133993,0.060467606756645136,0.14114465598437048,0.11227895877466111,-0.06989867844376638,-0.00865545629786174,-0.08365789104718716,0.07326882574582055,-0.04332116855747574,0.0501372671375672,0.10806216528782478,-0.038089286198316974,-0.024212420971935367,0.07494303116674632,0.05779447660746012,0.006878538781570064,0.04341889773416278,0.18210719828661398,0.09196421209773951,0.01991463572759291,0.1132816542741522,0.08297995589436404,0.009435400145039671,0.09858429403124397,0.07289025736436937,0.01417560299193284,0.05321777700098388,-0.035944799650175635,0.0231346311633725,0.03533179189659076,-0.047567271133890636,0.012440213824421155,0.027600912301190526,-0.020612595998140616,0.05810190289861959,0.04936644145929335,-0.10753600117802788
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,0.022487284615635872,32492,0.19245559022181316,-0.040184438802368404,0.024190617174491863,-0.01599162066122517,0.10630966628815242,0.15505260631652468,0.013029215220057023,0.45009590843775577,0.07498809113000919,-0.03870398179365686,-0.03928397376944959,0.05579778934139231,0.2930389164154814,0.10185325021613624,0.06192940367670631,-0.013450845863706873,-0.025142033637932947,-0.04577307874991464,0.06716486210079521,0.06747934973429677,0.006733395929448306,0.011219553803260039,0.05156167939021486,0.11896066693229045,0.12282915450277407,-0.01616942651628797,-0.016845806718904625,0.0411956729670471,0.08509138547371896,0.042028559226731675,-0.048054706418131504,0.09850532106373092,0.03315937881672974,0.05557637449889322,-0.08574707746872497,0.03515439396600007,0.04911066494845505,0.15887247008005423,0.03769177891782051,0.05245870412912718,-0.011506663389119584,-0.012389064584858715,-0.005402721833045844,0.02756475158346196,0.09475274280878322,-0.039999714687586604,0.11801689323417995,-0.07758899921223585,-0.016831301137431795,0.048628750754121354,-0.002153649847410289,-0.04631625799131449,-0.053412197339744755,-0.019666398277356844,-0.06135996718892079,-0.0035530012214116547,0.06674101287797571,0.13944407828865327,0.10316294699441642,-0.06917653527282194,0.0008049945256320501,-0.07062812596559524,0.08534400095231831,-0.045313802489071964,0.06933884384731452,0.0815008405643778,-0.016312281170914565,-0.02006184573103419,0.07817615165492102,0.05892992215381852,-0.011364465603412735,0.05437764594470531,0.18043908683194532,0.09360462974644135,0.018986494085611472,0.12344683787106063,0.06340977126616644,0.007992001636219876,0.08641022068989132,0.07743340260388488,0.013077050567656144,0.06915359182944783,-0.03628392692251587,0.022779415488418123,0.036559215020556,-0.04967955555915082,0.014121655439363862,0.02611620503614098,-0.014942030838980382,0.05830415189919583,0.05215325344886943,-0.11357605166398407
