subject_id,session_id,age,sex,site,breed,weight (kg),global_invalid_ratio,global_invalid_vertices,global_mean_thickness,global_total_vertices,10_M132,11_M132,12_M132,13_M132,14_M132,1_M132,23_M132,24a_M132,24b_M132,24c_M132,24d_M132,25_M132,29_30_M132,2_M132,31_M132,32_M132,3_M132,44_M132,45A_M132,45B_M132,46d_M132,46v_M132,5_M132,7A_M132,7B_M132,7m_M132,7op_M132,8B_M132,8l_M132,8m_M132,8r_M132,9_46d_M132,9_46v_M132,9_M132,AIP_M132,Core_M132,DP_M132,Ento_M132,F1_M132,F2_M132,F3_M132,F4_M132,F5_M132,F6_M132,F7_M132,FST_M132,Gu_M132,IPa_M132,Ins_M132,LB_M132,LIP_M132,MB_M132,MIP_M132,MST_M132,MT_M132,OPAI_M132,Opro_M132,PBc_M132,PBr_M132,PGa_M132,PIP_M132,PO_M132,Peri_M132,Pi_M132,Pir_M132,ProM_M132,Pro_St_M132,S2_M132,STPc_M132,STPi_M132,STPr_M132,Sub_M132,TEMPORAL_POLE_M132,TEO_M132,TEOm_M132,TEa_m_a_M132,TEa_m_p_M132,TEad_M132,TEav_M132,TEpd_M132,TEpv_M132,TH_TF_M132,TPt_M132,V1_M132,V2_M132,V3A_M132,V3_M132,V4_M132,V4t_M132,V6A_M132,V6_M132,VIP_M132
sub-032217,ses-001,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,1.5966516733169556,32492,1.5893228464312368,1.5269564730780465,1.9561650575475489,2.0923073037582287,1.7661306945824184,1.7365345111320978,1.6077840037000966,1.6005409384260372,1.547040047815868,1.3300301213374084,1.2509247901017775,2.1058751862004117,1.3876650011402436,1.8197233750185835,1.9850565437378922,1.9667878364261828,1.5616510459322843,1.608946455993514,2.155819289538325,1.8191106589335315,1.4874084916114807,1.274504647267108,1.577583294461249,1.6848114375601109,1.9117861147654258,1.5467477474266138,1.4090228603153154,1.8424888644899642,1.838153320267087,1.6875602962890108,1.5777719747729417,1.4677380197484728,1.3497417660320505,1.7019228612383206,1.4094495667820484,1.5818181019749133,1.438808456779047,1.1847689844313123,2.4439717330159367,2.1571859458452978,1.879029512148479,2.0450947451591492,2.1278397291898727,1.6636992041269938,2.2726906306213803,1.6896689855979263,1.9229796090904547,1.6913379246584848,1.6595955634088944,1.4399609318319357,1.4654712618566026,1.2939550780061622,1.4103372604288953,1.5499084919174282,1.55520100931992,1.6875732998053232,1.8804060333814376,1.5411525773001717,1.8892049213587228,1.802911019744761,1.4824300294511774,1.1778266310691834,2.5251685838366664,1.640036029544303,1.772917648156484,2.274681036288922,1.0255624513927453,1.6188842568231459,1.5758001951394103,1.8736461098643318,2.0122837235057163,0.111700387616482,2.5741399123514297,1.8089901061661273,1.730564155609779,2.21062805906671,1.9136615967387476,1.9256107421148392,2.5618411853749263,1.9045737701303818,1.8170238128145233,1.2464970176186516,1.3598457241946078,1.4642819264277884,1.2400950852287822,1.3401343650254771,1.4084877724920166,1.39442109821214,1.497427487096121,1.6947204614004208,1.3658607281404098,1.3586142043049416
sub-032217,ses-002,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,1.6203080415725708,32492,1.5961820227759225,1.5151710510253906,1.943622997466554,2.1439300775527954,1.7719847402689648,1.7362890997994382,1.6076430929493783,1.5600809381932628,1.6567064779145377,1.3823646039798343,1.4364340231742387,2.0043447996085546,1.568395557759822,1.844254195033957,2.0618424182984887,2.0001547512255216,1.58264503149802,1.5612396295519844,2.142291409628732,1.846394363439308,1.554700017929077,1.3588202659572874,1.5786249143549562,1.6731753939205838,1.9550682730593925,1.6150061871187809,1.4888796060702054,1.9531372444970267,1.8915533202035086,1.6722005853330455,1.5951020695814273,1.6285706959979636,1.3400148833499235,1.7426725029945374,1.3645242326027525,1.6121343153382315,1.4213629013586253,1.767135359843572,2.4793494587975577,2.2272140278535733,2.006075935630963,2.0924003493785857,2.1913016994551913,1.7050692415237427,2.331265190133342,1.7239433261880115,1.9014918889318193,1.6389780694323037,1.69105527333334,1.5220655115707866,1.4058980577521853,1.3527752138743891,1.4527080347563357,1.5073451890766276,1.4814880520723273,1.4879306611087588,1.9551812719076107,1.5923809930161164,2.0051260459221014,1.7659555327507757,1.474919316027495,1.131725263595581,2.61424228202465,1.745501402916947,1.9405499895413716,2.289218131293598,1.203176871191856,1.615590391368613,1.5990633134799908,1.8421074851699497,1.996934129132165,0.12250857271209976,2.589853258441678,1.8249074784388024,1.684620523764417,2.213500937477487,1.9326334265888039,1.932360197248913,2.4469490948543755,1.9003744286236879,1.7403747298335301,1.3027260775599525,1.3669216372865312,1.5024775181589438,1.2814115265434378,1.3500010640776936,1.3987326954838133,1.3833660980997569,1.4576655709466269,1.7253501895806838,1.396971706508985,1.351712697007683
sub-032217,ses-003,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,1.615839958190918,32492,1.6130043035977846,1.5291304455863104,1.9316995281578921,2.1300609751659283,1.7199436762581575,1.8009788479123796,1.6700323988792254,1.5820155605977895,1.6755720274788992,1.3409747080556278,1.4543677416357974,1.9992857732862797,1.5377893420471542,1.8365664054494386,1.9463588280406425,1.9588688800209446,1.6055728489222334,1.5710715953854546,2.1448508257768593,1.859282873711496,1.4607559452056884,1.3732163428652042,1.617254083534612,1.7720007013107084,1.9558390934588545,1.611485098225948,1.4479238911024852,1.8994471965517317,1.8961445002328783,1.7299565623923776,1.58473695996331,1.4770442599981604,1.335945176377016,1.6383667898674805,1.4162146064032495,1.5737098897169084,1.454045818882738,1.5826209033174174,2.4455827728477684,2.209586329589602,1.9787622253442634,2.1137032651901246,2.1742184660056743,1.614643588066101,2.224765619745961,1.6479616808745028,2.038036126263288,1.6502747684077643,1.626006256956299,1.4112287194661375,1.4757739617154488,1.3314782501752502,1.4357625766003386,1.5436374264300903,1.4996022034489938,1.5565356661876042,1.8662919194270402,1.528617522099635,1.879802611924834,1.8224522385779014,1.4694808105404458,1.1602678894996643,2.6288605512574663,1.6452437358173897,1.7189508080482483,2.2618388844351482,1.1240432552119206,1.6496243240623727,1.5579176474247736,1.852120076832564,2.033282352818383,0.11080197355098273,2.5914759301453185,1.8218938801662032,1.703627337817273,2.135618805885315,1.9384599869626427,1.9767663013367427,2.446966645538166,1.8228669632677388,1.7428633657120567,1.326903188479281,1.3729309398443141,1.4916983686197869,1.249009978008889,1.3576082155932134,1.4119531547791186,1.4399680697671915,1.4840039680170458,1.7261663874432875,1.3481550219700422,1.4108369772353868
sub-032217,ses-004,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,1.6275994777679443,32492,1.5830599828199907,1.5589876241154141,1.9896675694314905,2.164346233010292,1.8662969195769608,1.8029619197908826,1.6752622896039546,1.5385488648803867,1.5741559215954373,1.3417607484192684,1.3698494147371363,1.9471038821733222,1.4241619692451652,1.8591784093358101,2.024273308312021,1.9715107691915412,1.6162935685257547,1.5765947379927705,2.0774287277338455,1.7939007957026643,1.4964343709945678,1.2886075146344242,1.6199099004175075,1.6949513560717868,1.900829792022705,1.6220874551397104,1.4188381005438138,1.867809270450047,1.740822318054381,1.6381627301087127,1.538166392867158,1.5545796449755278,1.3335940634503085,1.7519592742125194,1.4390813428743752,1.6102759832053015,1.3795785555152393,1.197698682262784,2.467275959607717,2.186913175011113,1.94539457302669,2.100890164375305,2.1846585215591805,1.7544636964797973,2.2220829007802188,1.7109547597498982,2.0097068961785762,1.7001462274354926,1.716872269802905,1.438859816148596,1.4857890940959158,1.3548983636303482,1.4379578476890604,1.5342911759208393,1.5884766960828498,1.5064136428965462,1.9540019209568318,1.4983393862530903,1.9618838985087508,1.7980238884425233,1.4698762458361936,1.1452927589416504,2.526857261047807,1.668553802056041,1.8505019148190816,2.3019476283309808,1.0720172284077332,1.6618810952401675,1.5778973632972146,1.8426236985386282,2.0664014258081953,0.1177622416558174,2.5972937748586533,1.835616670818214,1.7813976504444298,2.1880189600538036,1.9628693573365963,2.0037750800450644,2.566767482347386,1.9081179221196158,1.8496930612862565,1.3155404326688742,1.4123053148071816,1.5152066764587055,1.2747106774053274,1.381125989721049,1.4343210329684608,1.3968151489632663,1.588920881581861,1.709009240491353,1.4055468470312011,1.4274910587943002
sub-032217,ses-005,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,1.5444940328598022,32492,1.6174823564368408,1.4490333388722132,1.8475506126337138,2.0744771177277848,1.6924921595977127,1.634407563661024,1.6682381401509803,1.4558817914554052,1.774672625746046,1.5629352680568038,1.6751912464330225,1.8114267396477033,1.2707322287833553,1.7294018556218629,1.9838350555761073,2.0221934908314756,1.5131868675674165,1.5140321457731551,1.955469964718332,1.6653867015298807,1.56825594997406,1.4450862562778044,1.534651483059678,1.6358298018728334,1.8364955964735,1.6696038051293447,1.2856657896262798,1.9685536009924753,1.7885542097545806,1.6082798300157999,1.6410195805677554,1.5782228355676355,1.4845047333661248,1.8894827676316102,1.4750568687388328,1.399614985219113,1.3492062005934236,1.6213159053098587,2.3124220510431237,2.0988899809203,2.0362809958129096,2.0070496368408204,2.075540229314711,1.79249081770579,2.3739590644836426,1.6503174063618198,1.7337540826018976,1.546192809235896,1.6128155854717778,1.36851426621653,1.4840741001702602,1.3200037510966958,1.2204933703896848,1.4090221558692138,1.5369167383017532,1.6742088423834907,1.8672450398787475,1.5432402124771705,1.8003913830902616,1.6210454296855983,1.4563304708245095,1.3435978651046754,2.449389044628587,1.6642504804502658,1.6400679349899292,2.0712328385084104,1.041532054751612,1.5043535969941375,1.4058647003467912,1.6387187540531158,1.7755086568612901,0.06921149188509354,2.45544708890023,1.6636567315064281,1.6691823878319434,2.026679419103216,1.8269505174026877,1.7442327113378615,2.2303814785454863,1.5818524987639853,1.6161341635325484,1.2393488756198192,1.2671845552135022,1.3686062039419415,1.210627683881149,1.3430852442231012,1.3567845027377134,1.2998237967714807,1.4040421677190205,1.6424917183102903,1.3405305631269657,1.3474444552753748
sub-032217,ses-006,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,1.6138495206832886,32492,1.5785209993263343,1.5784967513311476,1.9349081005368913,2.14045653711347,1.7289169397822186,1.7318491381268168,1.653810983079339,1.5033404389206244,1.4775018291813986,1.25734812432322,1.247717382731261,2.149747759666083,1.396309762850575,1.8184359774677032,1.9954404317266572,1.9783005413256194,1.6047325139895123,1.625246555045031,2.0841899526362515,1.7918038548163648,1.468117386817932,1.240234231462284,1.5797685118073383,1.718210643560616,1.8647750969660484,1.5445734592011342,1.4600479989438444,1.7910811308452061,1.835372723851885,1.5935234764347905,1.5685991157845753,1.4755709716971492,1.3322126458672916,1.6845981230338414,1.3969046046248579,1.5586954433905897,1.4400882455459327,1.1672690008367812,2.4353427057008488,2.1889728040716765,1.9111105242166027,2.077476316690445,2.1755822911495115,1.6562307612101237,2.1734821984061488,1.6990950952278325,2.0318895712190743,1.6293644316718303,1.6883446201505954,1.4683009821851298,1.473401600823683,1.3395315726226735,1.414380818922469,1.5199625245753052,1.559364199353177,1.6415379504362742,1.952007689842811,1.5426774596000885,1.907210717766972,1.7861131314308412,1.4788377133201571,1.3331910848617554,2.5535653593928314,1.6954799212091338,1.986944893995921,2.3084004118911223,1.1498896416547246,1.6527938402904998,1.586559108700521,1.7978252651898756,2.012158801631322,0.08866921572025711,2.5973776784732188,1.7841027716556228,1.817711645481633,2.247024039753148,1.9010375804707484,2.0349887473242623,2.58310797650327,1.8609245116322923,1.8290632585532793,1.3474243804116115,1.3744016029733293,1.5066927915493107,1.2981128222943457,1.3664047975636007,1.445879652262314,1.3911542645873987,1.5868414058241733,1.7378509869023262,1.3330959220828138,1.335801502961791
sub-032217,ses-007,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,1.638183832168579,32492,1.5291077966813917,1.6451527324933855,1.9226361429800016,2.169572776731323,1.7749613567363995,1.8026619900104612,1.6338475526589427,1.5054500857178046,1.5432536584990366,1.459641777920997,1.4423745718512515,2.188021536143321,1.399942963287748,1.8272739388527126,1.985983743900206,2.1179185541052568,1.6487719774470928,1.54972315352896,2.053082602364676,1.7702264785766602,1.4867301664352417,1.3228300274634848,1.607391929420609,1.7031138436388724,1.942533599118055,1.6360699877333946,1.4377376264586872,1.8855779130118233,1.8025006566728865,1.6897865522310929,1.5577942249251575,1.5414129873396645,1.3475161769810844,1.6730345984299977,1.3841697383770901,1.6283248626641211,1.455085672926174,1.5273961244594483,2.463104472418089,2.1728979961365056,1.9828423652155647,2.096352816820145,2.1764780777256663,1.6322109413146972,2.180137339565489,1.7057143745978185,2.0585525899517294,1.6953843878062498,1.6948799481064998,1.5090926601639334,1.5363781516458475,1.3687950372695923,1.4247674225492681,1.5146418224180365,1.5721593595197516,1.7076975961526235,2.0273248684711946,1.5688089940931413,1.890029377856497,1.8089260460694165,1.494643143053805,1.159948968887329,2.6858191240665525,1.6409803958443123,1.909140904744466,2.3000094564551983,1.218294665508763,1.7000110755314677,1.569441167268459,1.8471663646076038,2.0853380352731734,0.11651816701836135,2.578399487536588,1.81258800356503,1.848728963752198,2.2220242072324283,1.9829583845767877,1.971926862852914,2.516366647135827,1.8127773237063398,1.825152607364509,1.3613894095069894,1.4055508089826463,1.5179581787475935,1.2990390680474855,1.3693067548263014,1.4451025489472995,1.4271735718393415,1.5947446809258572,1.722159854951574,1.4399726330326292,1.3946183042579823
sub-032217,ses-008,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,1.541348934173584,32492,1.634987431687194,1.4473385370913006,1.8786139506337127,2.0346472920740353,1.7549109897730542,1.5959979705636287,1.7349946027631082,1.3809619777056636,1.6604222127369472,1.4405940366887497,1.4581578243907096,1.885425425925345,1.397933694823035,1.7394106730408625,2.1177787218636612,2.1498318396116556,1.4981974245915426,1.47490191416464,2.0474732700659306,1.5801465398860428,1.5199204139709472,1.372101899312467,1.5523766488819333,1.6158500753112675,1.8535276449332803,1.630047700726069,1.3533091878798937,1.9187014712606159,1.672692422639756,1.5773315996939434,1.5624207301837643,1.523883559334446,1.4783521848566392,1.8635897897183895,1.4561903160230247,1.3354957433521446,1.318253003093353,1.4432553669526464,2.299718827814669,2.061580967309788,1.9831728323780258,1.9157995855808259,2.052762980868177,1.7951182572046915,2.27328477523945,1.6057391386090611,1.734049738669882,1.5359188696857173,1.602309415526424,1.3125449992575735,1.502773605530558,1.3092256160540001,1.2905535425277466,1.4566567071600456,1.527642953528932,1.6984008471171061,1.9101761093506446,1.491238618647302,1.8457149893550548,1.6728726586987894,1.4852891992986872,1.160365629196167,2.454935141774111,1.6855256819143527,1.8560616771380107,2.1407878745315423,1.0182736781451789,1.5421783903344948,1.468361156102319,1.6788964187321456,1.8096349012284052,0.08560741350010655,2.397354010197756,1.6377802498369332,1.6355286571714613,2.034783081930192,1.807202175789073,1.8318889447620936,2.289612573962058,1.6466046802725347,1.705920691026076,1.3306363183552417,1.260875498677822,1.3544806185782532,1.2025527823733664,1.3212319784727529,1.3775412404769238,1.2992997759949647,1.367260749256888,1.5930968784542552,1.3301553826041632,1.3593940132119682
sub-032218,ses-001,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,1.6235326528549194,32492,1.6249389354284707,1.4517982081761436,1.9260138997915668,1.9799786823637344,1.4564338103393835,1.6474308773528699,1.4051271137701073,1.0060467604471712,1.1361050861222404,1.4448364126956326,0.9448223943082393,2.015882323373039,1.4448430503921947,1.9017381390300365,1.8249278441677248,1.7427229743254813,1.5459750372772505,1.7325510987337085,2.2199422121047974,2.122004616935298,1.3941360397338867,1.2498983634369714,1.684249104005014,2.0425750161569143,2.424915583456977,1.546967282318152,1.700434372231767,1.931658922263554,1.757995078677223,1.752149950766909,1.4597395658493042,1.8284343917604904,1.5830072928877439,1.7645670771598816,1.3448264208515133,1.5481407273239292,1.6442833446519343,1.3752489468881062,2.447036848454862,2.3424590979765982,1.5695356593049805,2.2818903905153274,2.1991129771965308,1.5434421785672505,2.3044581645064883,1.6764247786779345,2.0370368592593135,1.6647240537430597,1.7917744384871588,1.704163226878868,1.4601279453319662,1.3630111809831542,1.418642447349873,1.6485138645750939,1.638725504730687,1.6999025464057922,2.084583045886113,1.9183700017995768,2.195979236546209,1.6930502530766371,1.53926694661044,0.8434982776641846,2.522358398104823,1.637052134769719,1.72599462668101,2.3249945864718184,1.0270472082345845,1.582510862283248,1.851802756082644,1.8733585779217705,1.883602345746661,0.1966585385221878,2.5442858316915498,1.955037654882454,1.6064358700334636,2.1521875281802942,1.9058220053687314,2.002885650453113,2.389818424819618,2.0510044687759503,2.038756956580941,1.2194736339500016,1.3759714339641815,1.4252306369950414,1.2488949415692585,1.4560796149711512,1.4126881118818502,1.530029425813378,1.552066757235416,1.617716657557838,1.4045210253768765,1.3717550521486261
sub-032218,ses-002,5.0,M,ohsu,Macaca mulatta,,0.12781607780376708,4153,1.5527656078338623,32492,1.76681205823824,1.3626767638183774,1.8663420140924425,1.7848525498719776,1.3946850749612585,1.50151377243061,1.5317354516178219,1.4255314347695331,1.443675227676119,1.7454557011182281,1.2159987923539715,1.897981218571933,1.3741436093703083,1.6986599230985029,2.125230518783011,2.096789484275015,1.4360668123274003,1.7131616222685662,1.9462487770586598,2.0106565794854796,1.3323200540542603,1.3030541718614346,1.5826040339806764,1.9582498964575148,2.0997318564835243,1.6081348866797411,1.4916716450429792,1.9878602235657827,1.6777801093601046,1.7229220066669482,1.451402517353616,1.8064151565793534,1.6654446587843053,1.8466952505211036,1.3714972671154326,1.5397946247594612,1.477464316713758,1.4260941285462607,2.316559068190085,2.254868494709153,1.7012973589629963,2.1899666357040406,2.095424847813641,1.7093030865987142,2.314937926001019,1.6263240985343792,1.8674009259866209,1.6465260537397197,1.6956169292436425,1.5199709514964301,1.4473780461775712,1.4018083068069267,1.205429860252015,1.5459790465804193,1.5086813460696826,1.4524806141853333,1.8640768937575511,1.721075131759777,1.9966282844543457,1.6560943591629655,1.5660689546820823,0.9470051050186157,2.345218065173127,1.6695456824651578,1.5394412875175476,2.0502486830083733,1.0940640743551306,1.452768360599752,1.747507815319011,1.7558325913505277,1.6432498693466187,0.1101555362476047,2.2274857656561213,1.8157879300864346,1.5556584086293488,2.0216156850095657,1.762718698094944,1.8984513907205491,2.1034375006152737,1.8252125780475181,1.8727946759180258,1.1933656815683173,1.297701509392008,1.3285803828734402,1.1871566294353244,1.443793256378653,1.3674965337680205,1.3959652061310315,1.3419319065504296,1.5433236928718923,1.330538582075671,1.3942029630200248
